variable	value	Label
"CASE"	"Variable Label"	"Interview - Case Nr"
"DE01"	"Variable Label"	"Please indicate in which scientific discipline you are active. If you work in multiple scientific disciplines, please indicate the discipline you feel most affiliated with or in which you spend most of your time. [...]"
"DE01"	"-9"	"n.A."
"DE01"	"-1"	"I do not affiliate with a specific academic field."
"DE01"	"1"	"Natural sciences"
"DE01"	"2"	"Engineering and technology"
"DE01"	"11"	"Natural sciences ? Mathematics"
"DE01"	"12"	"Natural sciences ? Computer and information sciences"
"DE01"	"13"	"Natural sciences ? Physical sciences"
"DE01"	"14"	"Natural sciences ? Chemical sciences"
"DE01"	"15"	"Natural sciences ? Earth and related environmental sciences"
"DE01"	"16"	"Natural sciences ? Biological sciences"
"DE01"	"17"	"Natural sciences ? Other natural sciences"
"DE01"	"29"	"Medical and health sciences"
"DE01"	"34"	"Social sciences"
"DE01"	"43"	"Humanities"
"DE01"	"48"	"Agricultural sciences"
"DE01"	"101"	"Engineering and technology ? Civil engineering"
"DE01"	"102"	"Engineering and technology ? Electrical engineering, electronic engineering, information engineering"
"DE01"	"103"	"Engineering and technology ? Mechanical engineering"
"DE01"	"104"	"Engineering and technology ? Chemical engineering"
"DE01"	"105"	"Engineering and technology ? Materials engineering"
"DE01"	"106"	"Engineering and technology ? Medical engineering"
"DE01"	"107"	"Engineering and technology ? Environmental engineering"
"DE01"	"108"	"Engineering and technology ? Environmental biotechnology"
"DE01"	"109"	"Engineering and technology ? Industrial biotechnology"
"DE01"	"110"	"Engineering and technology ? Nano technology"
"DE01"	"111"	"Engineering and technology ? Other engineering and technologies"
"DE01"	"1001"	"Medical and health sciences ? Basic medicine"
"DE01"	"1002"	"Medical and health sciences ? Clinical medicine"
"DE01"	"1003"	"Medical and health sciences ? Health sciences"
"DE01"	"1004"	"Medical and health sciences ? Medical biotechnology"
"DE01"	"1005"	"Medical and health sciences ? Other medical sciences"
"DE01"	"1006"	"Social sciences ? Psychology"
"DE01"	"1007"	"Social sciences ? Economics and business"
"DE01"	"1008"	"Social sciences ? Educational sciences"
"DE01"	"1009"	"Social sciences ? Sociology"
"DE01"	"1010"	"Social sciences ? Law"
"DE01"	"1011"	"Social sciences ? Political science"
"DE01"	"1012"	"Social sciences ? Social and economic geography"
"DE01"	"1013"	"Social sciences ? Media and communications"
"DE01"	"1014"	"Social sciences ? Other social sciences"
"DE01"	"1015"	"Humanities ? History and archaeology"
"DE01"	"1016"	"Humanities ? Languages and literature"
"DE01"	"1017"	"Humanities ? Philosophy, ethics and religion"
"DE01"	"1018"	"Humanities ? Arts (arts, history of arts, performing arts, music)"
"DE01"	"1019"	"Humanities ? Other humanities"
