variable	value	Label
"doi"	"Variable Label"	"digital object identifier"
"v1"	"Variable Label"	"Teilnahme an den Wahlen zum Europäischen Parlament?"
"v1"	"1"	"sicher teilnehmen"
"v1"	"2"	"eher schon teilnehmen"
"v1"	"3"	"eher nicht teilnehmen"
"v1"	"4"	"sicher nicht teilnehmen"
"v1"	"5"	"oder wissen Sie es noch nicht"
"v1"	"6"	"K.A."
"v10"	"Variable Label"	"Aktuelle Parteipräferenz"
"v10"	"1"	"SPÖ"
"v10"	"2"	"FPÖ"
"v10"	"3"	"ÖVP"
"v10"	"4"	"Grüne"
"v10"	"5"	"LIF"
"v10"	"6"	"KPÖ"
"v10"	"7"	"Keine"
"v10"	"8"	"K.A."
"v11"	"Variable Label"	"Bundesland"
"v11"	"1"	"Wien"
"v11"	"2"	"Burgenland"
"v11"	"3"	"Niederösterreich"
"v11"	"4"	"Oberösterreich"
"v11"	"5"	"Salzburg"
"v11"	"6"	"Tirol"
"v11"	"7"	"Vorarlberg"
"v11"	"8"	"Steiermark"
"v11"	"9"	"Kärnten"
"v2"	"Variable Label"	"Können österreichische EU-Abgeordnete mehr erreichen, wenn sie sich auf eine hohe Wahlbeteiligung der Österreicher stützen können?"
"v2"	"1"	"Ja"
"v2"	"2"	"Nein"
"v2"	"3"	"W.N./K.A."
"v3a"	"Variable Label"	"Weil ich durch meine Wahlbeteiligung den Einfluss und das Ansehen Österreichs stärken will"
"v3a"	"Variable Label"	"nicht genannt"
"v3a"	"1"	"genannt"
"v3b"	"Variable Label"	"Weil ich grundsätzlich für die EU bin"
"v3b"	"Variable Label"	"nicht genannt"
"v3b"	"1"	"genannt"
"v3c"	"Variable Label"	"Weil es für mich ein demokratisches Recht ist"
"v3c"	"Variable Label"	"nicht genannt"
"v3c"	"1"	"genannt"
"v3d"	"Variable Label"	"Weil ich die Partei, die ich bei den NR-Wahlen wähle, auch im EU-Parlament stärken will"
"v3d"	"Variable Label"	"nicht genannt"
"v3d"	"1"	"genannt"
"v3e"	"Variable Label"	"Weil mir die Teilnahme an der Wahl die Möglichkeit gibt, regierungskritische Abgeordnete zu wählen"
"v3e"	"Variable Label"	"nicht genannt"
"v3e"	"1"	"genannt"
"v3f"	"Variable Label"	"Weil ich Hans Peter Martin ins Europäische Parlament wählen will"
"v3f"	"Variable Label"	"nicht genannt"
"v3f"	"1"	"genannt"
"v3g"	"Variable Label"	"W.N./K.A."
"v3g"	"Variable Label"	"nicht genannt"
"v3g"	"1"	"genannt"
"v4a"	"Variable Label"	"Weil ich grundsätzlich gegen die EU bin"
"v4a"	"Variable Label"	"nicht genannt"
"v4a"	"1"	"genannt"
"v4b"	"Variable Label"	"Weil Österreich so oder so keine Rolle in der EU spielen kann"
"v4b"	"Variable Label"	"nicht genannt"
"v4b"	"1"	"genannt"
"v4c"	"Variable Label"	"Weil die EU-Abgeordneten nur auf ihre Einkünfte schauen"
"v4c"	"Variable Label"	"nicht genannt"
"v4c"	"1"	"genannt"
"v4d"	"Variable Label"	"Weil man vom EU-Parlament nichts hört und sieht - außer vor Wahlen"
"v4d"	"Variable Label"	"nicht genannt"
"v4d"	"1"	"genannt"
"v4e"	"Variable Label"	"Weil ich gegen die Erweiterung der EU um Ungarn, Tschechien, Slowenien und die Slowakei bin"
"v4e"	"Variable Label"	"nicht genannt"
"v4e"	"1"	"genannt"
"v4f"	"Variable Label"	"W.N./K.A."
"v4f"	"Variable Label"	"nicht genannt"
"v4f"	"1"	"genannt"
"v5"	"Variable Label"	"Sollen EU-Abgeordnete österreichische Interessen vertreten oder gesamteuropäische Politik gestalten?"
"v5"	"1"	"In erster Linie österreichische Interessen vertreten"
"v5"	"2"	"In erster Linie gesamteuropäische Politik gestalten"
"v5"	"3"	"W.N./K.A."
"v6"	"Variable Label"	"Geschlecht"
"v6"	"1"	"männlich"
"v6"	"2"	"weiblich"
"v7"	"Variable Label"	"Alter"
"v7"	"1"	"bis 25 Jahre"
"v7"	"2"	"26-35 Jahre"
"v7"	"3"	"36-50 Jahre"
"v7"	"4"	"51-65 Jahre"
"v7"	"5"	"ab 66 Jahre"
"v8"	"Variable Label"	"Schulbildung"
"v8"	"1"	"Hochschule"
"v8"	"2"	"Mittelschule"
"v8"	"3"	"Berufs- oder Handelsschule"
"v8"	"4"	"Pflichtschule ohne weitere Ausbildung (Volks- u. Hauptsch.)"
"v9"	"Variable Label"	"Tätigkeit"
"v9"	"1"	"In Ausbildung (Schule, Lehre, Universität)"
"v9"	"2"	"Pension"
"v9"	"3"	"Nur im Haushalt tätig"
"v9"	"4"	"Arbeitslos"
"v9"	"5"	"Selbständig"
"v9"	"6"	"Landwirt"
"v9"	"7"	"Hilfsarbeiter"
"v9"	"8"	"Facharbeiter"
"v9"	"9"	"Angestellter"
"v9"	"10"	"Beamter"
"v9"	"11"	"Anderes"
"version"	"Variable Label"	"AUSSDA archive version"
