variable	value	label
"version"	"Variable Label"	"AUSSDA archive version"
"doi"	"Variable Label"	"digital object identifier"
"FB_Kontakt"	"Variable Label"	"Fragebogen-Kontaktaufnahme per..."
"FB_Kontakt"	"1"	"Post"
"FB_Kontakt"	"2"	"E-Mail-Reminder"
"GI01"	"Variable Label"	"Alter"
"GI01"	"1"	"bis zu 35 Jahre"
"GI01"	"2"	"36 bis 50 Jahre"
"GI01"	"3"	"51 Jahre und älter"
"GI03"	"Variable Label"	"Wie würden Sie Ihre berufliche Position beschreiben?"
"GI03"	"1"	"First Stage Researcher"
"GI03"	"2"	"Established Researcher"
"GI03"	"3"	"Leading Researcher"
"GI03"	"4"	"Sonstige"
"GI04"	"Variable Label"	"Mein aktuelles Dienstverhältnis ist ..."
"GI04"	"1"	"... unbefristet."
"GI04"	"2"	"... befristet, mit Möglichkeit zur Entfristung."
"GI04"	"3"	"... befristet, ohne Entfristungsmöglichkeit."
"GI07"	"Variable Label"	"Welcher/Welchen Fachdisziplin/en würden Sie Ihre Forschungstätigkeit zuordnen?"
"GI07_01"	"Variable Label"	"Psychologie"
"GI07_01"	"1"	"nicht gewählt"
"GI07_01"	"2"	"ausgewählt"
"GI07_02"	"Variable Label"	"Wirtschaftswissenschaften"
"GI07_02"	"1"	"nicht gewählt"
"GI07_02"	"2"	"ausgewählt"
"GI07_03"	"Variable Label"	"Erziehungswissenschaften"
"GI07_03"	"1"	"nicht gewählt"
"GI07_03"	"2"	"ausgewählt"
"GI07_04"	"Variable Label"	"Soziologie"
"GI07_04"	"1"	"nicht gewählt"
"GI07_04"	"2"	"ausgewählt"
"GI07_05"	"Variable Label"	"Rechtswissenschaften"
"GI07_05"	"1"	"nicht gewählt"
"GI07_05"	"2"	"ausgewählt"
"GI07_06"	"Variable Label"	"Politikwissenschaften"
"GI07_06"	"1"	"nicht gewählt"
"GI07_06"	"2"	"ausgewählt"
"GI07_07"	"Variable Label"	"Humangeographie, Regionale Geographie, Raumplanung"
"GI07_07"	"1"	"nicht gewählt"
"GI07_07"	"2"	"ausgewählt"
"GI07_08"	"Variable Label"	"Medien- und Kommunikationswissenschaften"
"GI07_08"	"1"	"nicht gewählt"
"GI07_08"	"2"	"ausgewählt"
"GI07_09"	"Variable Label"	"andere Sozialwissenschaften"
"GI07_09"	"1"	"nicht gewählt"
"GI07_09"	"2"	"ausgewählt"
"GI08"	"Variable Label"	"An welcher Art von Institution sind Sie aktuell tätig?"
"GI08_01"	"Variable Label"	"Öffentliche Universität"
"GI08_01"	"1"	"nicht gewählt"
"GI08_01"	"2"	"ausgewählt"
"GI08_02"	"Variable Label"	"Private Universität"
"GI08_02"	"1"	"nicht gewählt"
"GI08_02"	"2"	"ausgewählt"
"GI08_03"	"Variable Label"	"Fachhochschule"
"GI08_03"	"1"	"nicht gewählt"
"GI08_03"	"2"	"ausgewählt"
"GI08_04"	"Variable Label"	"Pädagogische Hochschule"
"GI08_04"	"1"	"nicht gewählt"
"GI08_04"	"2"	"ausgewählt"
"GI08_05"	"Variable Label"	"Außeruniversitäre Forschungseinrichtung"
"GI08_05"	"1"	"nicht gewählt"
"GI08_05"	"2"	"ausgewählt"
"GI09"	"Variable Label"	"Und in welchen Bundesländern sind Sie beruflich tätig? [Bundesland]"
"GI09"	"1"	"Wien"
"GI09"	"2"	"andere"
"FL01"	"Variable Label"	"Welche der Aussagen beschreibt die Ausrichtung Ihrer aktuellen Forschungsarbeit?"
"FL01"	"1"	"Ich betreibe hauptsächlich quantitative Sozialforschung."
"FL01"	"2"	"Ich betreibe hauptsächlich qualitative Sozialforschung."
"FL01"	"3"	"Ich betreibe quantitative wie qualitative Sozialforschung in gleichem Ausmaß."
"FL01"	"4"	"Ich arbeite kaum/nicht mit empirischen Daten."
"FL02"	"Variable Label"	"Welche der Aussagen beschreibt die Ausrichtung Ihrer aktuellen Lehrarbeit?"
"FL02"	"1"	"Ich betreibe hauptsächlich quantitative Sozialforschung."
"FL02"	"2"	"Ich betreibe hauptsächlich qualitative Sozialforschung."
"FL02"	"3"	"Ich betreibe quantitative wie qualitative Sozialforschung in gleichem Ausmaß."
"FL02"	"4"	"Ich arbeite nicht/kaum mit empirischen Daten."
"FL08"	"Variable Label"	"Bzgl. Ihrer empirischen Forschung: Welche Art von Forschungsdaten nutzen Sie?"
"FL08"	"-1"	"Ich forsche nicht mit empirischen Daten."
"FL08_01"	"Variable Label"	"Daten, die ich selbst erhoben habe"
"FL08_01"	"1"	"nicht gewählt"
"FL08_01"	"2"	"ausgewählt"
"FL08_02"	"Variable Label"	"Daten aus Datenbanken, Repositorien oder der amtlichen Statistik"
"FL08_02"	"1"	"nicht gewählt"
"FL08_02"	"2"	"ausgewählt"
"FL08_03"	"Variable Label"	"Daten, die ich von anderen Forschenden persönlich erhalten habe"
"FL08_03"	"1"	"nicht gewählt"
"FL08_03"	"2"	"ausgewählt"
"FL08_04"	"Variable Label"	"Daten aus anderen Quellen (z.B. Open Governance Data, Mediendaten etc.)"
"FL08_04"	"1"	"nicht gewählt"
"FL08_04"	"2"	"ausgewählt"
"FL08_05"	"Variable Label"	"Sonstiges"
"FL08_05"	"1"	"nicht gewählt"
"FL08_05"	"2"	"ausgewählt"
"FL09"	"Variable Label"	"Welche Art von Forschungsdaten nutzen Sie für Ihre empirische Forschung?"
"FL09"	"-1"	"Ich nutze keine Daten. (Diese Antwort beendet die Umfrage.)"
"FL09_11"	"Variable Label"	"Interviewdaten / Transkripte"
"FL09_11"	"1"	"nicht gewählt"
"FL09_11"	"2"	"ausgewählt"
"FL09_07"	"Variable Label"	"Daten der amtlichen Statistik (z.B. Statistik Austria)"
"FL09_07"	"1"	"nicht gewählt"
"FL09_07"	"2"	"ausgewählt"
"FL09_10"	"Variable Label"	"Umfragedaten"
"FL09_10"	"1"	"nicht gewählt"
"FL09_10"	"2"	"ausgewählt"
"FL09_05"	"Variable Label"	"Textdaten (z.B. von Zeitungen, Websites, Social Media Inhalte, Gesetzestexte)"
"FL09_05"	"1"	"nicht gewählt"
"FL09_05"	"2"	"ausgewählt"
"FL09_01"	"Variable Label"	"Audioaufzeichnungen (z.B. Interviews, Medienberichte)"
"FL09_01"	"1"	"nicht gewählt"
"FL09_01"	"2"	"ausgewählt"
"FL09_06"	"Variable Label"	"Feldnotizen (z.B. Protokolle, Textdokumente)"
"FL09_06"	"1"	"nicht gewählt"
"FL09_06"	"2"	"ausgewählt"
"FL09_08"	"Variable Label"	"Administrative Daten/Registerdaten (z.B. Melde-/Bevölkerungsregister)"
"FL09_08"	"1"	"nicht gewählt"
"FL09_08"	"2"	"ausgewählt"
"FL09_02"	"Variable Label"	"Videoaufzeichnungen (z.B. Interviews, Medienberichte, Beobachtungen)"
"FL09_02"	"1"	"nicht gewählt"
"FL09_02"	"2"	"ausgewählt"
"FL09_12"	"Variable Label"	"Experimentaldaten"
"FL09_12"	"1"	"nicht gewählt"
"FL09_12"	"2"	"ausgewählt"
"FL09_03"	"Variable Label"	"(Stand-)Bilddaten (z.B. Fotos, Abbildungen)"
"FL09_03"	"1"	"nicht gewählt"
"FL09_03"	"2"	"ausgewählt"
"FL09_09"	"Variable Label"	"Software / API-bezogene Daten (z.B. Metadaten aus sozialen Netzwerken)"
"FL09_09"	"1"	"nicht gewählt"
"FL09_09"	"2"	"ausgewählt"
"FL09_04"	"Variable Label"	"Geospatial Daten (z.B. Aufenthaltsdaten, GPS-Daten)"
"FL09_04"	"1"	"nicht gewählt"
"FL09_04"	"2"	"ausgewählt"
"FL09_14"	"Variable Label"	"Biometrische Daten"
"FL09_14"	"1"	"nicht gewählt"
"FL09_14"	"2"	"ausgewählt"
"FL09_13"	"Variable Label"	"Sonstiges"
"FL09_13"	"1"	"nicht gewählt"
"FL09_13"	"2"	"ausgewählt"
"FL_10"	"Variable Label"	"Wenn Sie mit empirischer Analysesoftware arbeiten, nutzen Sie ..."
"FL10_01"	"Variable Label"	"Excel oder äquivalente Tabellenkalkulationssoftware"
"FL10_01"	"1"	"nie"
"FL10_01"	"2"	"ab und zu"
"FL10_01"	"3"	"häufig"
"FL10_02"	"Variable Label"	"R"
"FL10_02"	"1"	"nie"
"FL10_02"	"2"	"ab und zu"
"FL10_02"	"3"	"häufig"
