variable	value	label
"version"	"Variable Label"	"AUSSDA archive version"
"doi"	"Variable Label"	"digital object identifier"
"Alter"	"Variable Label"	"Alter"
"Alter"	"2"	"14 bis 29 Jahre"
"Alter"	"3"	"30 bis 44 Jahre"
"Alter"	"4"	"45 bis 59 Jahre"
"Alter"	"5"	"60 bis 74 Jahre"
"Alter"	"6"	"75 Jahre oder älter"
"Q2"	"Variable Label"	"Zu Beginn ein paar allgemeine Fragen zu Ihrer Person. Sie sind …?"
"Q2"	"1"	"männlich"
"Q2"	"2"	"weiblich"
"Q2"	"3"	"divers"
"Q3"	"Variable Label"	"Bitte nennen Sie uns Ihr Geburtsjahr."
"Q3A1"	"Variable Label"	"Geburtsjahr"
"Q3A1"	"1942"	"1942 und davor"
"Q3A1"	"2005"	"2005 und danach"
"Q5"	"Variable Label"	"In welchem Bundesland leben Sie?"
"Q5"	"1"	"Wien"
"Q5"	"2"	"Niederösterreich"
"Q5"	"3"	"Oberösterreich"
"Q5"	"4"	"Kärnten"
"Q5"	"5"	"Steiermark"
"Q5"	"6"	"Tirol"
"Q5"	"7"	"Salzburg"
"Q5"	"8"	"Burgenland"
"Q5"	"9"	"Vorarlberg"
"Q5"	"10"	"Außerhalb von Österreich"
"Q7"	"Variable Label"	"Wie viele Jahre haben Sie insgesamt eine Schule besucht, einschlieißlich Pflichtschule, Berufsschule, schulische Berufsausbildungen oder Hochschule?"
"Q7A1"	"Variable Label"	"Jahre"
"Q7A1"	"1"	"ein bis sieben Jahre"
"Q7A1"	"2"	"acht Jahre"
"Q7A1"	"3"	"neun Jahre"
"Q7A1"	"4"	"zehn Jahre"
"Q7A1"	"5"	"elf Jahre"
"Q7A1"	"6"	"zwölf Jahre"
"Q7A1"	"7"	"dreizehn Jahre"
"Q7A1"	"8"	"vierzehn Jahre"
"Q7A1"	"9"	"fünfzehn Jahre"
"Q7A1"	"10"	"sechszehn Jahre"
"Q7A1"	"11"	"siebzehn Jahre"
"Q7A1"	"12"	"achtzehn Jahre"
"Q7A1"	"13"	"neunzehn Jahre"
"Q7A1"	"14"	"zwanzig Jahre"
"Q7A1"	"15"	"einundzwanzig Jahre"
"Q7A1"	"16"	"zweiundzwanzig Jahre"
"Q7A1"	"17"	"dreiundzwanzig Jahre"
"Q7A1"	"18"	"vierundzwanzig und mehr Jahre"
"Q7A2"	"Variable Label"	"Weiß nicht"
"Q7A3"	"Variable Label"	"Keine Angabe"
"Q8"	"Variable Label"	"Welchen höchsten Schulabschluss haben Sie?"
"Q8"	"1"	"Keinen Pflichtschulabschluss"
"Q8"	"2"	"Pflichtschule"
"Q8"	"3"	"Lehre"
"Q8"	"4"	"Lehre mit Meisterprüfung"
"Q8"	"5"	"Berufsbildende mittlere Schule (z.B. Handelsschule)"
"Q8"	"6"	"Allgemeinbildende höhere Schule (AHS)"
"Q8"	"7"	"Berufsbildende höhere Schule (BHS, z.B. HAK, HTL)"
"Q8"	"8"	"Berufsreifeprüfung"
"Q8"	"9"	"Bachelor an Fachhochschule /Pädagogische Hochschule"
"Q8"	"10"	"Bachelor an Universität"
"Q8"	"11"	"Diplomabschluss/Master an Fachhochschule/Pädagogische Hochschule"
"Q8"	"12"	"Diplomabschluss/Master an Universität"
"Q8"	"13"	"Postgradualen Universitätslehrgang (aufbauend auf Master- oder Diplomabschluss, z.B. MBA)"
"Q8"	"14"	"Doktorat"
"Q8"	"15"	"Anderer Abschluss nach der Matura (z.B. Akademie, Kolleg)"
"Q8"	"16"	"Universitätslehrgang"
"Q8"	"98"	"Weiß nicht"
"Q8"	"99"	"Keine Angabe"
"Q9"	"Variable Label"	"Sind Sie derzeit in erster Linie ...?"
"Q9"	"1"	"beschäftigt bzw. berufstätig (auch mithelfende Familienangehörige)"
"Q9"	"2"	"Lehrling"
"Q9"	"3"	"Praktikant/in"
"Q9"	"4"	"arbeitslos oder arbeitssuchend"
"Q9"	"5"	"in Karenz"
"Q9"	"6"	"Zivildienst, Wehrdienst"
"Q9"	"7"	"Pensionist/in, Rentner/in"
"Q9"	"8"	"Hausfrau/Hausmann"
"Q9"	"9"	"Schüler/in, Student/in"
"Q9"	"10"	"arbeitsunfähig, in Invaliditätspension"
"Q9"	"11"	"aus anderen Gründen nicht erwerbstätig"
"Q9"	"99"	"Keine Angabe"
"Q10"	"Variable Label"	"Wie viele Stunden sind Sie normalerweise pro Woche beruflich tätig? Gemeint sind dabei auch mögliche berufliche Nebentätigkeiten. Falls Sie mehrere Jobs haben, wie viele Stunden arbeiten Sie insg"
"Q10A1"	"Variable Label"	"Anzahl der Arbeitsstunden pro Woche:"
"Q10A2"	"Variable Label"	"96 Stunden oder mehr"
"Q10A3"	"Variable Label"	"Weiß nicht"
"Q10A4"	"Variable Label"	"Keine Angabe"
"Q11"	"Variable Label"	"Was ist bzw. war Ihre berufliche Stellung? Falls Sie unselbstständig und selbstständig sind, bitte beziehen Sie sich auf Ihren Hauptberuf."
"Q11"	"1"	"Unselbstständig beschäftigt (Angestellte, Arbeiter) mit Leitungsfunktion"
"Q11"	"2"	"Unselbstständig beschäftigt (Angestellte, Arbeiter) ohne Leitungsfunktion"
"Q11"	"3"	"Selbstständig ohne Angestellte"
"Q11"	"4"	"Selbstständig mit Angestellten"
"Q11"	"5"	"Mithelfendes Familienmitglied"
"Q11"	"99"	"Keine Angabe"
"Q12"	"Variable Label"	"Wie viele Stunden gehen Sie normalerweise pro Woche unbezahlter Arbeit nach?"
"Q12A1"	"Variable Label"	"Anzahl der Stunden pro Woche:"
"Q12A2"	"Variable Label"	"96 Stunden oder mehr"
"Q12A3"	"Variable Label"	"Ich leiste keine unbezahlte Arbeit"
"Q12A4"	"Variable Label"	"Weiß nicht"
"Q12A5"	"Variable Label"	"Keine Angabe"
"Q13"	"Variable Label"	"Nun kurz einige Fragen zu Ihrer Lebenssituation: Welchen Familienstand haben Sie aktuell?"
"Q13"	"1"	"Verheiratet"
"Q13"	"2"	"Eingetragene Lebenspartnerschaft"
"Q13"	"3"	"Geschieden / getrennt"
"Q13"	"4"	"Verwitwet / Lebenspartner/in verstorben"
"Q13"	"5"	"Ledig"
"Q13"	"6"	"In Lebensgemeinschaft / Partnerschaft lebend"
"Q13"	"99"	"Keine Angabe"
"Q14"	"Variable Label"	"Leben Sie derzeit mit Ihrem Ehepartner bzw. Ihrer Ehepartnerin oder mit einem Lebensgefährten bzw. einer Lebensgefährtin zusammen?Oder haben Sie einen festen Partner bzw. eine feste Partnerin, mit der Sie aber nicht zusammenleben?"
"Q14"	"1"	"Ja, lebe mit Partner/in zusammen"
"Q14"	"2"	"Habe Partner/in, lebe aber nicht zusammen"
"Q14"	"3"	"Nein, weder noch"
"Q14"	"99"	"Keine Angabe"
"Q15"	"Variable Label"	"Ist Ihr Partner bzw. Ihre Partnerin derzeit in erster Linie ...?"
"Q15"	"1"	"beschäftigt bzw. berufstätig (auch mithelfende Familienangehörige, Praktikant/in, Zivildienst, Wehrdienst)"
"Q15"	"2"	"Lehrling"
"Q15"	"3"	"arbeitslos oder arbeitssuchend"
"Q15"	"4"	"in Karenz"
"Q15"	"5"	"Pensionist/in, Rentner/in"
"Q15"	"6"	"Hausfrau/Hausmann"
"Q15"	"7"	"Schüler/in, Student/in"
"Q15"	"8"	"arbeitsunfähig, in Invaliditätspension"
"Q15"	"9"	"aus anderen Gründen nicht erwerbstätig"
"Q15"	"99"	"Keine Angabe"
"Q16"	"Variable Label"	"Wie viele Stunden arbeitet Ihr Partner bzw. Ihre Partnerin normalerweise pro Woche in einer bezahlten Tätigkeit, einschließlich Überstunden?"
"Q16A1"	"Variable Label"	"Anzahl der Arbeitsstunden pro Woche:"
"Q16A2"	"Variable Label"	"96 Stunden oder mehr"
"Q16A3"	"Variable Label"	"Weiß nicht"
"Q16A4"	"Variable Label"	"Keine Angabe"
"Q17"	"Variable Label"	"Wie viele Personen leben insgesamt in Ihrem Haushalt (Sie mitgerechnet)?"
"Q17"	"1"	"eine Person"
"Q17"	"2"	"zwei Personen"
"Q17"	"3"	"drei Personen"
"Q17"	"4"	"vier Personen"
"Q17"	"5"	"fünf Personen"
"Q17"	"6"	"sechs Personen"
"Q17"	"7"	"sieben oder mehr Personen"
"Q17"	"99"	"Keine Angabe"
