variable	value	Label
"ALT2_7"	"Variable Label"	"ALTERSKOHORTEN 2-7"
"ALT2_7"	"2"	"bis 29"
"ALT2_7"	"3"	"30-39"
"ALT2_7"	"4"	"40-49"
"ALT2_7"	"5"	"50-59"
"ALT2_7"	"6"	"60-69"
"ALT2_7"	"7"	"70-"
"austr"	"Variable Label"	"Teil Kirchenaustritt 2009"
"austr"	"0"	"nicht zutreffend"
"austr"	"1"	"Kirchenaustritt 2009"
"bgld"	"Variable Label"	"Teil Burgenland"
"bgld"	"0"	"nicht zutreffend"
"bgld"	"1"	"Burgenland"
"doi"	"Variable Label"	"digital object identifier"
"evan"	"Variable Label"	"Teil Evangelisch"
"evan"	"0"	"nicht zutreffend"
"evan"	"1"	"Evangelisch"
"f1_01"	"Variable Label"	"Frage 1: wichtig für ein glückliches und sinnvolles Leben - In Wohlstand leben"
"f1_01"	"1"	"1-sehr wichtig"
"f1_01"	"2"	"2"
"f1_01"	"3"	"3"
"f1_01"	"4"	"4"
"f1_01"	"5"	"5-überhaupt nicht wichtig"
"f1_01"	"6"	"keine Angabe"
"f1_02"	"Variable Label"	"Frage 1: wichtig für ein glückliches und sinnvolles Leben - Freunde haben"
"f1_02"	"1"	"1-sehr wichtig"
"f1_02"	"2"	"2"
"f1_02"	"3"	"3"
"f1_02"	"4"	"4"
"f1_02"	"5"	"5-überhaupt nicht wichtig"
"f1_02"	"6"	"keine Angabe"
"f1_03"	"Variable Label"	"Frage 1: wichtig für ein glückliches und sinnvolles Leben - An Gott glauben"
"f1_03"	"1"	"1-sehr wichtig"
"f1_03"	"2"	"2"
"f1_03"	"3"	"3"
"f1_03"	"4"	"4"
"f1_03"	"5"	"5-überhaupt nicht wichtig"
"f1_03"	"6"	"keine Angabe"
"f1_04"	"Variable Label"	"Frage 1: wichtig für ein glückliches und sinnvolles Leben - Eine feste politische Meinung haben"
"f1_04"	"1"	"1-sehr wichtig"
"f1_04"	"2"	"2"
"f1_04"	"3"	"3"
"f1_04"	"4"	"4"
"f1_04"	"5"	"5-überhaupt nicht wichtig"
"f1_04"	"6"	"keine Angabe"
"f1_05"	"Variable Label"	"Frage 1: wichtig für ein glückliches und sinnvolles Leben - Viel Freizeit haben"
"f1_05"	"1"	"1-sehr wichtig"
"f1_05"	"2"	"2"
"f1_05"	"3"	"3"
"f1_05"	"4"	"4"
"f1_05"	"5"	"5-überhaupt nicht wichtig"
"f1_05"	"6"	"keine Angabe"
"f1_06"	"Variable Label"	"Frage 1: wichtig für ein glückliches und sinnvolles Leben - Kinder haben"
"f1_06"	"1"	"1-sehr wichtig"
"f1_06"	"2"	"2"
"f1_06"	"3"	"3"
"f1_06"	"4"	"4"
"f1_06"	"5"	"5-überhaupt nicht wichtig"
"f1_06"	"6"	"keine Angabe"
"f1_07"	"Variable Label"	"Frage 1: wichtig für ein glückliches und sinnvolles Leben - Gesund sein"
"f1_07"	"1"	"1-sehr wichtig"
"f1_07"	"2"	"2"
"f1_07"	"3"	"3"
"f1_07"	"4"	"4"
"f1_07"	"5"	"5-überhaupt nicht wichtig"
"f1_07"	"6"	"keine Angabe"
"f1_08"	"Variable Label"	"Frage 1: wichtig für ein glückliches und sinnvolles Leben - Verheiratet sein"
"f1_08"	"1"	"1-sehr wichtig"
"f1_08"	"2"	"2"
"f1_08"	"3"	"3"
"f1_08"	"4"	"4"
"f1_08"	"5"	"5-überhaupt nicht wichtig"
"f1_08"	"6"	"keine Angabe"
"f1_09"	"Variable Label"	"Frage 1: wichtig für ein glückliches und sinnvolles Leben - Interessantes lernen/mich weiterbilden"
"f1_09"	"1"	"1-sehr wichtig"
"f1_09"	"2"	"2"
"f1_09"	"3"	"3"
"f1_09"	"4"	"4"
"f1_09"	"5"	"5-überhaupt nicht wichtig"
"f1_09"	"6"	"keine Angabe"
"f1_10"	"Variable Label"	"Frage 1: wichtig für ein glückliches und sinnvolles Leben - Beruflicher Erfolg"
"f1_10"	"1"	"1-sehr wichtig"
"f1_10"	"2"	"2"
"f1_10"	"3"	"3"
"f1_10"	"4"	"4"
"f1_10"	"5"	"5-überhaupt nicht wichtig"
"f1_10"	"6"	"keine Angabe"
"f1_11"	"Variable Label"	"Frage 1: wichtig für ein glückliches und sinnvolles Leben - Anderen helfen"
"f1_11"	"1"	"1-sehr wichtig"
"f1_11"	"2"	"2"
"f1_11"	"3"	"3"
"f1_11"	"4"	"4"
"f1_11"	"5"	"5-überhaupt nicht wichtig"
"f1_11"	"6"	"keine Angabe"
"f10_01"	"Variable Label"	"Frage 10: Für welche der folgenden Bereiche sollen sich die Kirchen Ihrer Meinung nach verstärkt einsetzen? für den Frie"
"f10_01"	"0"	"nicht genannt"
"f10_01"	"1"	"für den Frieden in der Welt"
"f10_02"	"Variable Label"	"Frage 10: Für welche der folgenden Bereiche sollen sich die Kirchen Ihrer Meinung nach verstärkt einsetzen? für die Erha"
"f10_02"	"0"	"nicht genannt"
"f10_02"	"1"	"für die Erhaltung der Umwelt"
"f10_03"	"Variable Label"	"Frage 10: Für welche der folgenden Bereiche sollen sich die Kirchen Ihrer Meinung nach verstärkt einsetzen? gegen die Be"
"f10_03"	"0"	"nicht genannt"
"f10_03"	"1"	"gegen Benachteiligung der Frauen"
"f10_04"	"Variable Label"	"Frage 10: Für welche der folgenden Bereiche sollen sich die Kirchen Ihrer Meinung nach verstärkt einsetzen? für Veränder"
"f10_04"	"0"	"nicht genannt"
"f10_04"	"1"	"für Veränderungen in der Arbeitswelt"
"f10_05"	"Variable Label"	"Frage 10: Für welche der folgenden Bereiche sollen sich die Kirchen Ihrer Meinung nach verstärkt einsetzen? für die Zuku"
"f10_05"	"0"	"nicht genannt"
"f10_05"	"1"	"für die Zukunft der gesamten Menschheit"
"f10_06"	"Variable Label"	"Frage 10: Für welche der folgenden Bereiche sollen sich die Kirchen Ihrer Meinung nach verstärkt einsetzen? gegen die Ar"
"f10_06"	"0"	"nicht genannt"
"f10_06"	"1"	"gegen die Armut"
"f10_07"	"Variable Label"	"Frage 10: Für welche der folgenden Bereiche sollen sich die Kirchen Ihrer Meinung nach verstärkt einsetzen? gegen Auslän"
"f10_07"	"0"	"nicht genannt"
"f10_07"	"1"	"gegen Ausländerfeindlichkeit"
"f10_08"	"Variable Label"	"Frage 10: Für welche der folgenden Bereiche sollen sich die Kirchen Ihrer Meinung nach verstärkt einsetzen? für die Aufn"
"f10_08"	"0"	"nicht genannt"
"f10_08"	"1"	"für die Aufnahme von Asylanten"
"f10_09"	"Variable Label"	"Frage 10: Für welche der folgenden Bereiche sollen sich die Kirchen Ihrer Meinung nach verstärkt einsetzen? keine Angabe"
"f10_09"	"0"	"nicht genannt"
"f10_09"	"1"	"keine Angabe"
"f10a_1"	"Variable Label"	"Frage 10: Für welche der folgenden Bereiche soll sich die islamische Glaubensgemeinschaft   Ihrer Meinung nach verstärkt"
"f10a_1"	"0"	"nicht genannt"
"f10a_1"	"1"	"für den Frieden in der Welt"
"f10a_2"	"Variable Label"	"Frage 10: Für welche der folgenden Bereiche soll sich die islamische Glaubensgemeinschaft   Ihrer Meinung nach verstärkt"
"f10a_2"	"0"	"nicht genannt"
"f10a_2"	"1"	"für die Erhaltung der Umwelt"
"f10a_3"	"Variable Label"	"Frage 10: Für welche der folgenden Bereiche soll sich die islamische Glaubensgemeinschaft   Ihrer Meinung nach verstärkt"
"f10a_3"	"0"	"nicht genannt"
"f10a_3"	"1"	"gegen Benachteiligung der Frauen"
"f10a_4"	"Variable Label"	"Frage 10: Für welche der folgenden Bereiche soll sich die islamische Glaubensgemeinschaft   Ihrer Meinung nach verstärkt"
"f10a_4"	"0"	"nicht genannt"
"f10a_4"	"1"	"für Veränderungen in der Arbeitswelt"
"f10a_5"	"Variable Label"	"Frage 10: Für welche der folgenden Bereiche soll sich die islamische Glaubensgemeinschaft   Ihrer Meinung nach verstärkt"
"f10a_5"	"0"	"nicht genannt"
"f10a_5"	"1"	"für die Zukunft der gesamten Menschheit"
"f10a_6"	"Variable Label"	"Frage 10: Für welche der folgenden Bereiche soll sich die islamische Glaubensgemeinschaft   Ihrer Meinung nach verstärkt"
"f10a_6"	"0"	"nicht genannt"
"f10a_6"	"1"	"gegen die Armut"
"f10a_7"	"Variable Label"	"Frage 10: Für welche der folgenden Bereiche soll sich die islamische Glaubensgemeinschaft   Ihrer Meinung nach verstärkt"
"f10a_7"	"0"	"nicht genannt"
"f10a_7"	"1"	"gegen Ausländerfeindlichkeit"
"f10a_8"	"Variable Label"	"Frage 10: Für welche der folgenden Bereiche soll sich die islamische Glaubensgemeinschaft   Ihrer Meinung nach verstärkt"
"f10a_8"	"0"	"nicht genannt"
"f10a_8"	"1"	"für die Aufnahme von Asylanten"
"f10a_9"	"Variable Label"	"Frage 10: Für welche der folgenden Bereiche soll sich die islamische Glaubensgemeinschaft   Ihrer Meinung nach verstärkt"
"f10a_9"	"0"	"nicht genannt"
"f10a_9"	"1"	"keine Angabe"
"f11_01"	"Variable Label"	"Frage 11: Wichtigkeit kirchliche Aufgaben - Kinder taufen"
"f11_01"	"1"	"1-sehr wichtig"
"f11_01"	"2"	"2"
"f11_01"	"3"	"3"
"f11_01"	"4"	"4"
"f11_01"	"5"	"5-überhaupt nicht wichtig"
"f11_01"	"6"	"keine Angabe"
"f11_02"	"Variable Label"	"Frage 11: Wichtigkeit kirchliche Aufgaben - Trauungen durchführen"
"f11_02"	"1"	"1-sehr wichtig"
"f11_02"	"2"	"2"
"f11_02"	"3"	"3"
"f11_02"	"4"	"4"
"f11_02"	"5"	"5-überhaupt nicht wichtig"
"f11_02"	"6"	"keine Angabe"
"f11_03"	"Variable Label"	"Frage 11: Wichtigkeit kirchliche Aufgaben - Begräbnisse abhalten"
"f11_03"	"1"	"1-sehr wichtig"
"f11_03"	"2"	"2"
"f11_03"	"3"	"3"
"f11_03"	"4"	"4"
"f11_03"	"5"	"5-überhaupt nicht wichtig"
"f11_03"	"6"	"keine Angabe"
"f11_04"	"Variable Label"	"Frage 11: Wichtigkeit kirchliche Aufgaben - Religionsunterricht erteilen"
"f11_04"	"1"	"1-sehr wichtig"
"f11_04"	"2"	"2"
"f11_04"	"3"	"3"
"f11_04"	"4"	"4"
"f11_04"	"5"	"5-überhaupt nicht wichtig"
"f11_04"	"6"	"keine Angabe"
"f11_05"	"Variable Label"	"Frage 11: Wichtigkeit kirchliche Aufgaben - Gottesdienst feiern"
"f11_05"	"1"	"1-sehr wichtig"
"f11_05"	"2"	"2"
"f11_05"	"3"	"3"
"f11_05"	"4"	"4"
