variable	value	Label
"aequivhhein_kat"	"Variable Label"	"äquivalisiertes Nettohaushaltseinkommen in Kategorien"
"aequivhhein_kat"	"-9"	"keine Antwort"
"aequivhhein_kat"	"-8"	"weiß nicht"
"aequivhhein_kat"	"Variable Label"	"bis 999 EUR"
"aequivhhein_kat"	"2"	"1000 bis 1499 EUR"
"aequivhhein_kat"	"3"	"1500 bis 1999 EUR"
"aequivhhein_kat"	"4"	"2000 bis 2499 EUR"
"aequivhhein_kat"	"5"	"2500 bis 2999 EUR"
"aequivhhein_kat"	"6"	"3000 bis 3499 EUR"
"aequivhhein_kat"	"7"	"3500 bis 3999 EUR"
"aequivhhein_kat"	"8"	"4000+ EUR"
"aequivhheink"	"Variable Label"	"äquivalisiertes Nettohaushaltseinkommen in Euro"
"bl"	"Variable Label"	"Bundesland"
"bl"	"-9"	"keine Antwort"
"bl"	"Variable Label"	"Burgenland"
"bl"	"2"	"Kärnten"
"bl"	"3"	"Niederösterreich"
"bl"	"4"	"Oberösterreich"
"bl"	"5"	"Salzburg"
"bl"	"6"	"Steiermark"
"bl"	"7"	"Tirol"
"bl"	"8"	"Vorarlberg"
"bl"	"9"	"Wien"
"doi"	"Variable Label"	"digital object identifier"
"f1_1"	"Variable Label"	"Verteilung - Einkommen"
"f1_1"	"-9"	"keine Antwort"
"f1_1"	"Variable Label"	"eher gerecht"
"f1_1"	"2"	"eher ungerecht"
"f1_2"	"Variable Label"	"Verteilung - Vermögen"
"f1_2"	"-9"	"keine Antwort"
"f1_2"	"Variable Label"	"eher gerecht"
"f1_2"	"2"	"eher ungerecht"
"f10_1"	"Variable Label"	"Diskussion Steuern - Senkung der Steuern und Abgaben für Unternehmen"
"f10_1"	"-9"	"keine Antwort"
"f10_1"	"-8"	"weiß nicht"
"f10_1"	"Variable Label"	"dafür"
"f10_1"	"2"	"dagegen"
"f10_2"	"Variable Label"	"Diskussion Steuern - Senkung der Steuern und Abgaben für Beschäftigte"
"f10_2"	"-9"	"keine Antwort"
"f10_2"	"-8"	"weiß nicht"
"f10_2"	"Variable Label"	"dafür"
