variable	value	Label
"doi"	"Variable Label"	"digital object identifier"
"gesamt"	"Variable Label"	"<keine>"
"gesamt"	"1"	"Gesamt"
"v1"	"Variable Label"	"Wird die ÖVP/FPÖ-Koalition nach der Niederlage bei den Wiener GR-Wahlen ihren..."
"v1"	"1"	"Kurs fortsetzen"
"v1"	"2"	"Kurs verändern"
"v1"	"3"	"W.N./K.A."
"v10"	"Variable Label"	"Es wäre für Österreich besser, keine Juden im Land zu haben"
"v10"	"1"	"stimme zu"
"v10"	"2"	"lehne ab"
"v10"	"3"	"W.N./K.A."
"v11"	"Variable Label"	"Persönliche Meinung über die amerikanischen Juden in letzter Zeit...?"
"v11"	"1"	"...verbessert"
"v11"	"2"	"...verschlechtert"
"v11"	"3"	"...unverändert"
"v11"	"4"	"W.N./K.A."
"v12"	"Variable Label"	"Persönliche Meinung über die österreichischen Juden in letzter Zeit...?"
"v12"	"1"	"...verbessert"
"v12"	"2"	"...verschlechtert"
"v12"	"3"	"...unverändert"
"v12"	"4"	"W.N./K.A."
"v13"	"Variable Label"	"Durch ihr Verhalten sind die Juden am Antisemitismus nicht ganz unschuldig"
"v13"	"1"	"1 (stimme überhaupt nicht zu)"
"v13"	"2"	"2"
"v13"	"3"	"3"
"v13"	"4"	"4"
"v13"	"5"	"5"
"v13"	"6"	"6"
"v13"	"7"	"7 (stimme voll und ganz zu)"
"v13"	"8"	"W.N./K.A."
"v14a"	"Variable Label"	"Medizinische Vorsorgeuntersuchung"
"v14a"	"1"	"außerordentlich wichtig"
"v14a"	"2"	"auch noch wichtig"
"v14a"	"3"	"weniger wichtig"
"v14a"	"4"	"W.N./K.A."
"v14b"	"Variable Label"	"Gesunde Ernährung"
"v14b"	"1"	"außerordentlich wichtig"
"v14b"	"2"	"auch noch wichtig"
"v14b"	"3"	"weniger wichtig"
"v14b"	"4"	"W.N./K.A."
"v14c"	"Variable Label"	"Gesunde Lebensweise (kein Rauchen, Alkohol, Übergewicht)"
"v14c"	"1"	"außerordentlich wichtig"
"v14c"	"2"	"auch noch wichtig"
"v14c"	"3"	"weniger wichtig"
"v14c"	"4"	"W.N./K.A."
"v14d"	"Variable Label"	"Körperliche Fitness erhalten durch Sport"
"v14d"	"1"	"außerordentlich wichtig"
"v14d"	"2"	"auch noch wichtig"
"v14d"	"3"	"weniger wichtig"
"v14d"	"4"	"W.N./K.A."
"v14e"	"Variable Label"	"Medizinische Versorgung im Krankheitsfall"
"v14e"	"1"	"außerordentlich wichtig"
"v14e"	"2"	"auch noch wichtig"
"v14e"	"3"	"weniger wichtig"
"v14e"	"4"	"W.N./K.A."
"v14f"	"Variable Label"	"Medizinische Nachbetreuung, Rehabilitation"
"v14f"	"1"	"außerordentlich wichtig"
"v14f"	"2"	"auch noch wichtig"
"v14f"	"3"	"weniger wichtig"
"v14f"	"4"	"W.N./K.A."
"v15a"	"Variable Label"	"Medizinische Vorsorgeuntersuchung"
"v15a"	"Variable Label"	"nicht genannt"
"v15a"	"1"	"genannt"
"v15aset"	"Variable Label"	"1"
"v15aset"	"Variable Label"	"nicht genannt"
"v15aset"	"1"	"genannt"
"v15b"	"Variable Label"	"Gesunde Ernährung"
"v15b"	"Variable Label"	"nicht genannt"
"v15b"	"1"	"genannt"
"v15bset"	"Variable Label"	"2"
"v15bset"	"Variable Label"	"nicht genannt"
"v15bset"	"1"	"genannt"
