variable	value	label
"version"	"Variable Label"	"AUSSDA archive version"
"doi"	"Variable Label"	"digital object identifier"
"hid"	"Variable Label"	"household ID"
"hid"	"-12"	"Fragebogen wurde abgebrochen"
"hid"	"-11"	"Statt Lookup-Listeneintrag, wurde ein Freitext eingegeben"
"hid"	"-9"	"Verweis wurde nicht gefunden"
"hid"	"-4"	"Frage wurde gestellt, aber blieb unbeantwortet"
"hid"	"-3"	"Gefiltert"
"hid"	"-2"	"Keine Angabe"
"hid"	"-1"	"Weiss nicht"
"pid"	"Variable Label"	"individual ID"
"sex_rec"	"Variable Label"	"sex of respondent recoded for anonymisation purposes"
"sex_rec"	"-12"	"Fragebogen wurde abgebrochen"
"sex_rec"	"-11"	"Statt Lookup-Listeneintrag, wurde ein Freitext eingegeben"
"sex_rec"	"-9"	"Verweis wurde nicht gefunden"
"sex_rec"	"-4"	"Frage wurde gestellt, aber blieb unbeantwortet"
"sex_rec"	"-3"	"Gefiltert"
"sex_rec"	"-2"	"Keine Angabe"
"sex_rec"	"-1"	"Weiss nicht"
"sex_rec"	"1"	"Maennlich"
"sex_rec"	"2"	"Weiblich"
"age_rec"	"Variable Label"	"age at the time of survey completion recoded in categories"
"bl"	"Variable Label"	"Austrian federal state"
"bl"	"-12"	"Fragebogen wurde abgebrochen"
"bl"	"-11"	"Statt Lookup-Listeneintrag, wurde ein Freitext eingegeben"
"bl"	"-9"	"Verweis wurde nicht gefunden"
"bl"	"-4"	"Frage wurde gestellt, aber blieb unbeantwortet"
"bl"	"-3"	"Gefiltert"
"bl"	"-2"	"Keine Angabe"
"bl"	"-1"	"Weiss nicht"
"bl"	"1"	"Burgenland"
"bl"	"2"	"Kaernten"
"bl"	"3"	"Niederoesterreich"
"bl"	"4"	"Oberoesterreich"
"bl"	"5"	"Salzburg"
"bl"	"6"	"Steiermark"
"bl"	"7"	"Tirol"
"bl"	"8"	"Vorarlberg"
"bl"	"9"	"Wien"
"carefmhrs"	"Variable Label"	"formal care: hours per week"
"carefmhrs"	"-12"	"Fragebogen wurde abgebrochen"
"carefmhrs"	"-11"	"Statt Lookup-Listeneintrag, wurde ein Freitext eingegeben"
"carefmhrs"	"-9"	"Verweis wurde nicht gefunden"
"carefmhrs"	"-4"	"Frage wurde gestellt, aber blieb unbeantwortet"
"carefmhrs"	"-3"	"Gefiltert"
"carefmhrs"	"-2"	"Keine Angabe"
"carefmhrs"	"-1"	"Weiss nicht"
"careinfmhrs"	"Variable Label"	"informal care: hours per week"
"careinfmhrs"	"-12"	"Fragebogen wurde abgebrochen"
"careinfmhrs"	"-11"	"Statt Lookup-Listeneintrag, wurde ein Freitext eingegeben"
"careinfmhrs"	"-9"	"Verweis wurde nicht gefunden"
"careinfmhrs"	"-4"	"Frage wurde gestellt, aber blieb unbeantwortet"
"careinfmhrs"	"-3"	"Gefiltert"
"careinfmhrs"	"-2"	"Keine Angabe"
"careinfmhrs"	"-1"	"Weiss nicht"
"carelevel"	"Variable Label"	"care level"
"carelevel"	"-12"	"Fragebogen wurde abgebrochen"
"carelevel"	"-11"	"Statt Lookup-Listeneintrag, wurde ein Freitext eingegeben"
"carelevel"	"-9"	"Verweis wurde nicht gefunden"
"carelevel"	"-4"	"Frage wurde gestellt, aber blieb unbeantwortet"
"carelevel"	"-3"	"Gefiltert"
"carelevel"	"-2"	"Keine Angabe"
"carelevel"	"-1"	"Weiss nicht"
"carelevel"	"1"	"Pflegestufe 1"
"carelevel"	"2"	"Pflegestufe 2"
"carelevel"	"3"	"Pflegestufe 3"
"carelevel"	"4"	"Pflegestufe 4"
"carelevel"	"5"	"Pflegestufe 5"
"carelevel"	"6"	"Pflegestufe 6"
"carelevel"	"7"	"Pflegestufe 7"
"careallow"	"Variable Label"	"care allowance"
"careallow"	"-12"	"Fragebogen wurde abgebrochen"
"careallow"	"-11"	"Statt Lookup-Listeneintrag, wurde ein Freitext eingegeben"
"careallow"	"-9"	"Verweis wurde nicht gefunden"
"careallow"	"-4"	"Frage wurde gestellt, aber blieb unbeantwortet"
"careallow"	"-3"	"Gefiltert"
"careallow"	"-2"	"Keine Angabe"
"careallow"	"-1"	"Weiss nicht"
"careallow"	"0"	"Nein"
"careallow"	"1"	"Ja"
"carepinnm"	"Variable Label"	"person in need of care: name"
"carepinnm"	"-12"	"Fragebogen wurde abgebrochen"
"carepinnm"	"-11"	"Statt Lookup-Listeneintrag, wurde ein Freitext eingegeben"
"carepinnm"	"-9"	"Verweis wurde nicht gefunden"
"carepinnm"	"-4"	"Frage wurde gestellt, aber blieb unbeantwortet"
"carepinnm"	"-3"	"Gefiltert"
"carepinnm"	"-2"	"Keine Angabe"
"carepinnm"	"-1"	"Weiss nicht"
"carepinnm"	"0"	"Nein"
"carepinnm"	"1"	"Ja"
"relgrid_1"	"Variable Label"	"1. person in rows relationship to person in row within household"
"relgrid_1"	"-12"	"Fragebogen wurde abgebrochen"
"relgrid_1"	"-11"	"Statt Lookup-Listeneintrag, wurde ein Freitext eingegeben"
"relgrid_1"	"-9"	"Verweis wurde nicht gefunden"
"relgrid_1"	"-4"	"Frage wurde gestellt, aber blieb unbeantwortet"
"relgrid_1"	"-3"	"Gefiltert"
"relgrid_1"	"-2"	"Keine Angabe"
"relgrid_1"	"-1"	"Weiss nicht"
"relgrid_1"	"0"	"Referenzperson"
"relgrid_1"	"1"	"Ehepartner:in"
"relgrid_1"	"2"	"Lebenspartner:in"
"relgrid_1"	"3"	"Kind"
"relgrid_1"	"4"	"Stiefkind"
"relgrid_1"	"5"	"Pflegekind"
"relgrid_1"	"6"	"Elternteil"
"relgrid_1"	"7"	"Stiefelternteil"
"relgrid_1"	"8"	"Pflegeelternteil"
"relgrid_1"	"9"	"Geschwisterteil"
"relgrid_1"	"10"	"Stiefgeschwisterteil"
"relgrid_1"	"11"	"Halbgeschwisterteil"
"relgrid_1"	"12"	"Pflegegeschwisterteil"
"relgrid_1"	"13"	"Enkelkind"
"relgrid_1"	"14"	"Großelternteil"
"relgrid_1"	"15"	"Schwiegerkind"
"relgrid_1"	"16"	"Schwiegerelternteil"
"relgrid_1"	"17"	"Ein anderes Familienmitglied"
"relgrid_1"	"18"	"Kein Familienmitglied"
"relgrid_2"	"Variable Label"	"2. person in rows relationship to person in row within household"
"relgrid_2"	"-12"	"Fragebogen wurde abgebrochen"
"relgrid_2"	"-11"	"Statt Lookup-Listeneintrag, wurde ein Freitext eingegeben"
"relgrid_2"	"-9"	"Verweis wurde nicht gefunden"
"relgrid_2"	"-4"	"Frage wurde gestellt, aber blieb unbeantwortet"
"relgrid_2"	"-3"	"Gefiltert"
"relgrid_2"	"-2"	"Keine Angabe"
"relgrid_2"	"-1"	"Weiss nicht"
"relgrid_2"	"0"	"Referenzperson"
"relgrid_2"	"1"	"Ehepartner:in"
"relgrid_2"	"2"	"Lebenspartner:in"
"relgrid_2"	"3"	"Kind"
"relgrid_2"	"4"	"Stiefkind"
"relgrid_2"	"5"	"Pflegekind"
"relgrid_2"	"6"	"Elternteil"
"relgrid_2"	"7"	"Stiefelternteil"
"relgrid_2"	"8"	"Pflegeelternteil"
"relgrid_2"	"9"	"Geschwisterteil"
"relgrid_2"	"10"	"Stiefgeschwisterteil"
"relgrid_2"	"11"	"Halbgeschwisterteil"
"relgrid_2"	"12"	"Pflegegeschwisterteil"
"relgrid_2"	"13"	"Enkelkind"
"relgrid_2"	"14"	"Großelternteil"
"relgrid_2"	"15"	"Schwiegerkind"
"relgrid_2"	"16"	"Schwiegerelternteil"
"relgrid_2"	"17"	"Ein anderes Familienmitglied"
"relgrid_2"	"18"	"Kein Familienmitglied"
"relgrid_3"	"Variable Label"	"3. person in rows relationship to person in row within household"
"relgrid_3"	"-12"	"Fragebogen wurde abgebrochen"
"relgrid_3"	"-11"	"Statt Lookup-Listeneintrag, wurde ein Freitext eingegeben"
"relgrid_3"	"-9"	"Verweis wurde nicht gefunden"
"relgrid_3"	"-4"	"Frage wurde gestellt, aber blieb unbeantwortet"
"relgrid_3"	"-3"	"Gefiltert"
"relgrid_3"	"-2"	"Keine Angabe"
"relgrid_3"	"-1"	"Weiss nicht"
"relgrid_3"	"0"	"Referenzperson"
"relgrid_3"	"1"	"Ehepartner:in"
"relgrid_3"	"2"	"Lebenspartner:in"
"relgrid_3"	"3"	"Kind"
