variable	value	Label
"doi"	"Variable Label"	"digital object identifier"
"gesamt"	"Variable Label"	"<keine>"
"gesamt"	"1"	"Gesamt"
"gew6"	"Variable Label"	"<keine>"
"v10"	"Variable Label"	"Landeshauptmann Dr. Jörg Haider"
"v10"	"1"	"1"
"v10"	"2"	"2"
"v10"	"3"	"3"
"v10"	"4"	"4"
"v10"	"5"	"5"
"v10"	"6"	"6"
"v10"	"7"	"7"
"v10"	"8"	"8"
"v10"	"9"	"9"
"v10"	"10"	"10"
"v10"	"11"	"11"
"v10"	"12"	"12"
"v10"	"13"	"13"
"v11"	"Variable Label"	"Vorsitzender der Grünen, Univ. Prof. Dr. Alexander van der Bellen"
"v11"	"1"	"1"
"v11"	"2"	"2"
"v11"	"3"	"3"
"v11"	"4"	"4"
"v11"	"5"	"5"
"v11"	"6"	"6"
"v11"	"7"	"7"
"v11"	"8"	"8"
"v11"	"9"	"9"
"v11"	"10"	"10"
"v11"	"11"	"11"
"v11"	"12"	"12"
"v11"	"13"	"13"
"v12"	"Variable Label"	"Geschlecht"
"v12"	"1"	"männlich"
"v12"	"2"	"weiblich"
"v13"	"Variable Label"	"Beruf"
"v13"	"1"	"Hilfsarbeiter"
"v13"	"2"	"Facharbeiter"
"v13"	"3"	"leit. Angestellter od. leit. Beamter"
"v13"	"4"	"Angestellter"
"v13"	"5"	"Beamter"
"v13"	"6"	"Rentner od. Pensionist"
"v13"	"7"	"Hausfrau"
"v13"	"8"	"Selbständiger"
"v13"	"9"	"Landwirt"
"v13"	"10"	"Andere"
"v14"	"Variable Label"	"Alter"
"v14"	"1"	"unter 20 Jahren"
"v14"	"2"	"20-25 Jahre"
"v14"	"3"	"26-35 Jahre"
"v14"	"4"	"36-50 Jahre"
"v14"	"5"	"51-65 Jahre"
"v14"	"6"	"über 65 Jahre"
"v15"	"Variable Label"	"Schulbildung"
"v15"	"1"	"Volksschule"
"v15"	"2"	"Hauptschule"
"v15"	"3"	"Berufs- od. Handelsschule"
"v15"	"4"	"Mittelschule"
"v15"	"5"	"abgeschl. Hochschule"
"v16"	"Variable Label"	"Bundesland"
"v16"	"1"	"Wien"
"v16"	"2"	"Burgenland"
"v16"	"3"	"Niederösterreich"
"v16"	"4"	"Oberösterreich"
"v16"	"5"	"Salzburg"
"v16"	"6"	"Tirol"
"v16"	"7"	"Vorarlberg"
"v16"	"8"	"Steiermark"
"v16"	"9"	"Kärnten"
"v17"	"Variable Label"	"Aktuelle Parteipräferenz"
"v17"	"1"	"FPÖ"
"v17"	"2"	"KPÖ"
"v17"	"3"	"ÖVP"
"v17"	"4"	"SPÖ"
"v17"	"5"	"GAL"
"v17"	"6"	"LIF"
"v17"	"7"	"Keine"
"v18"	"Variable Label"	"Parteipräferenz früher"
"v18"	"1"	"FPÖ"
"v18"	"2"	"KPÖ"
"v18"	"3"	"ÖVP"
"v18"	"4"	"SPÖ"
"v18"	"5"	"GAL"
"v18"	"6"	"LIF"
"v18"	"7"	"Keine"
"v1a1"	"Variable Label"	"W.N./K.A."
"v1a1"	"Variable Label"	"nicht genannt"
"v1a1"	"1"	"genannt"
"v1a10"	"Variable Label"	"Dr. Fasslabend"
"v1a10"	"Variable Label"	"nicht genannt"
"v1a10"	"1"	"genannt"
"v1a11"	"Variable Label"	"BM Dr. Ferrero-Waldner"
"v1a11"	"Variable Label"	"nicht genannt"
