variable	value	Label
"A1"	"Variable Label"	"Meisten Menschen sind hilfsbereit oder sind nur auf eigenen Vorteil bedacht?"
"A1"	"0"	"Die meisten Menschen sind nur auf den eigenen Vorteil bedacht"
"A1"	"1"	"1"
"A1"	"2"	"2"
"A1"	"3"	"3"
"A1"	"4"	"4"
"A1"	"5"	"5"
"A1"	"6"	"6"
"A1"	"7"	"7"
"A1"	"8"	"8"
"A1"	"9"	"9"
"A1"	"10"	"Die meisten Menschen versuchen hilfsbereit zu sein"
"A1"	"99"	"Keine Angaben"
"A10"	"Variable Label"	"Lebenszufriedenheit"
"A10"	"0"	"Äußerst unzufrieden"
"A10"	"1"	"1"
"A10"	"2"	"2"
"A10"	"3"	"3"
"A10"	"4"	"4"
"A10"	"5"	"5"
"A10"	"6"	"6"
"A10"	"7"	"7"
"A10"	"8"	"8"
"A10"	"9"	"9"
"A10"	"10"	"Äußerst zufrieden"
"A10"	"99"	"Keine Angaben"
"A11"	"Variable Label"	"Wie zufrieden mit derzeitiger Wirtschaftslage in Österreich"
"A11"	"0"	"Äußerst unzufrieden"
"A11"	"1"	"1"
"A11"	"2"	"2"
"A11"	"3"	"3"
"A11"	"4"	"4"
"A11"	"5"	"5"
"A11"	"6"	"6"
"A11"	"7"	"7"
"A11"	"8"	"8"
"A11"	"9"	"9"
"A11"	"10"	"Äußerst zufrieden"
"A11"	"99"	"Keine Angaben"
"A12"	"Variable Label"	"Wie zufrieden mit der Arbeit der österreichischen Bundesregierung"
"A12"	"0"	"Äußerst unzufrieden"
"A12"	"1"	"1"
"A12"	"2"	"2"
"A12"	"3"	"3"
"A12"	"4"	"4"
"A12"	"5"	"5"
"A12"	"6"	"6"
"A12"	"7"	"7"
"A12"	"8"	"8"
"A12"	"9"	"9"
"A12"	"10"	"Äußerst zufrieden"
"A12"	"99"	"Keine Angaben"
"A13"	"Variable Label"	"Wie zufrieden mit Art und Weise, wie Demokratie in Österreich funktioniert"
"A13"	"0"	"Äußerst unzufrieden"
"A13"	"1"	"1"
"A13"	"2"	"2"
"A13"	"3"	"3"
"A13"	"4"	"4"
"A13"	"5"	"5"
"A13"	"6"	"6"
"A13"	"7"	"7"
"A13"	"8"	"8"
"A13"	"9"	"9"
"A13"	"10"	"Äußerst zufrieden"
"A13"	"99"	"Keine Angaben"
"A14"	"Variable Label"	"Zustand des Bildungssytem"
"A14"	"0"	"Äußerst schlecht"
"A14"	"1"	"1"
"A14"	"2"	"2"
"A14"	"3"	"3"
"A14"	"4"	"4"
"A14"	"5"	"5"
"A14"	"6"	"6"
"A14"	"7"	"7"
"A14"	"8"	"8"
"A14"	"9"	"9"
"A14"	"10"	"Äußerst gut"
"A14"	"99"	"Keine Angaben"
"A15"	"Variable Label"	"Zustand des Gesundheitssystems"
"A15"	"0"	"Äußerst schlecht"
"A15"	"1"	"1"
"A15"	"2"	"2"
"A15"	"3"	"3"
"A15"	"4"	"4"
"A15"	"5"	"5"
"A15"	"6"	"6"
"A15"	"7"	"7"
"A15"	"8"	"8"
"A15"	"9"	"9"
"A15"	"10"	"Äußerst gut"
"A15"	"99"	"Keine Angaben"
"A16"	"Variable Label"	"Zustand des Sozialsystems"
"A16"	"0"	"Äußerst schlecht"
"A16"	"1"	"1"
"A16"	"2"	"2"
"A16"	"3"	"3"
"A16"	"4"	"4"
"A16"	"5"	"5"
"A16"	"6"	"6"
"A16"	"7"	"7"
"A16"	"8"	"8"
"A16"	"9"	"9"
"A16"	"10"	"Äußerst gut"
"A16"	"99"	"Keine Angaben"
"A17"	"Variable Label"	"Staat sollte Maßnahmen ergreifen, um Einkommensunterschiede zu reduzieren"
"A17"	"1"	"Stimme stark zu"
"A17"	"2"	"Stimme zu"
"A17"	"3"	"Weder noch"
"A17"	"4"	"Lehne ab"
"A17"	"5"	"Lehne stark ab"
"A17"	"99"	"Keine Angaben"
"A18"	"Variable Label"	"Unterschiede im Einkommen gerechtfertigt, um Begabung/Arbeitseinsatz zu belohnen"
"A18"	"1"	"Stimme stark zu"
"A18"	"2"	"Stimme zu"
"A18"	"3"	"Weder noch"
"A18"	"4"	"Lehne ab"
"A18"	"5"	"Lehne stark ab"
"A18"	"99"	"Keine Angaben"
"A19"	"Variable Label"	"Gerechte Gesellschaft: Unterschiede im Lebensstandard der Menschen klein"
"A19"	"1"	"Stimme stark zu"
"A19"	"2"	"Stimme zu"
"A19"	"3"	"Weder noch"
"A19"	"4"	"Lehne ab"
"A19"	"5"	"Lehne stark ab"
"A19"	"99"	"Keine Angaben"
"A2"	"Variable Label"	"Interesse an Politik"
"A2"	"1"	"Sehr interessiert"
"A2"	"2"	"Ziemlich interessiert"
"A2"	"3"	"Kaum interessiert"
"A2"	"4"	"Überhaupt nicht interessiert"
"A2"	"99"	"Keine Angaben"
"A20"	"Variable Label"	"Staat sollte Maßnahmen ergreifen, um  Vermögensunterschiede zu reduzieren"
"A20"	"1"	"Stimme stark zu"
"A20"	"2"	"Stimme zu"
"A20"	"3"	"Weder noch"
"A20"	"4"	"Lehne ab"
"A20"	"5"	"Lehne stark ab"
"A20"	"99"	"Keine Angaben"
"A21"	"Variable Label"	"Regierungsverantwortung: Lebensstandard der Rentner/Pensionisten"
"A21"	"0"	"Sollte gar nicht in der Verantwortung der Regierung liegen"
"A21"	"1"	"1"
"A21"	"2"	"2"
"A21"	"3"	"3"
"A21"	"4"	"4"
"A21"	"5"	"5"
"A21"	"6"	"6"
"A21"	"7"	"7"
"A21"	"8"	"8"
"A21"	"9"	"9"
"A21"	"10"	"Sollte ganz in der Verantwortung der Regierung liegen"
"A21"	"99"	"Keine Angaben"
"A22"	"Variable Label"	"Regierungsverantwortung: Lebensstandard für Arbeitslose"
"A22"	"0"	"Sollte gar nicht in der Verantwortung der Regierung liegen"
"A22"	"1"	"1"
"A22"	"2"	"2"
"A22"	"3"	"3"
"A22"	"4"	"4"
"A22"	"5"	"5"
"A22"	"6"	"6"
"A22"	"7"	"7"
"A22"	"8"	"8"
"A22"	"9"	"9"
"A22"	"10"	"Sollte ganz in der Verantwortung der Regierung liegen"
"A22"	"99"	"Keine Angaben"
"A23"	"Variable Label"	"Regierungsverantwortung: Kinderbetreuungsplätze für berufstätige Eltern"
"A23"	"0"	"Sollte gar nicht in der Verantwortung der Regierung liegen"
"A23"	"1"	"1"
"A23"	"2"	"2"
"A23"	"3"	"3"
"A23"	"4"	"4"
"A23"	"5"	"5"
"A23"	"6"	"6"
"A23"	"7"	"7"
"A23"	"8"	"8"
"A23"	"9"	"9"
"A23"	"10"	"Sollte ganz in der Verantwortung der Regierung liegen"
"A23"	"99"	"Keine Angaben"
"A24"	"Variable Label"	"Regierungsverantwortung: Arbeitsplatz für jede und jeden bereitstellen"
"A24"	"0"	"Sollte gar nicht in der Verantwortung der Regierung liegen"
"A24"	"1"	"1"
"A24"	"2"	"2"
"A24"	"3"	"3"
"A24"	"4"	"4"
"A24"	"5"	"5"
"A24"	"6"	"6"
"A24"	"7"	"7"
"A24"	"8"	"8"
"A24"	"9"	"9"
"A24"	"10"	"Sollte ganz in der Verantwortung der Regierung liegen"
"A24"	"99"	"Keine Angaben"
"A25"	"Variable Label"	"Regierungsverantwortung: gesundheitliche Versorgung sicherstellen"
"A25"	"0"	"Sollte gar nicht in der Verantwortung der Regierung liegen"
"A25"	"1"	"1"
"A25"	"2"	"2"
"A25"	"3"	"3"
"A25"	"4"	"4"
"A25"	"5"	"5"
"A25"	"6"	"6"
"A25"	"7"	"7"
"A25"	"8"	"8"
"A25"	"9"	"9"
"A25"	"10"	"Sollte ganz in der Verantwortung der Regierung liegen"
"A25"	"99"	"Keine Angaben"
"A3"	"Variable Label"	"Vertrauen in österreichische Medien"
"A3"	"0"	"Überhaupt kein Vertrauen"
"A3"	"1"	"1"
"A3"	"2"	"2"
"A3"	"3"	"3"
"A3"	"4"	"4"
"A3"	"5"	"5"
"A3"	"6"	"6"
"A3"	"7"	"7"
"A3"	"8"	"8"
"A3"	"9"	"9"
"A3"	"10"	"Vollkommenes Vertrauen"
"A3"	"99"	"Keine Angaben"
"A4"	"Variable Label"	"Vertrauen in österreichisches Parlament"
"A4"	"0"	"Überhaupt kein Vertrauen"
"A4"	"1"	"1"
"A4"	"2"	"2"
"A4"	"3"	"3"
"A4"	"4"	"4"
"A4"	"5"	"5"
"A4"	"6"	"6"
"A4"	"7"	"7"
"A4"	"8"	"8"
"A4"	"9"	"9"
"A4"	"10"	"Vollkommenes Vertrauen"
"A4"	"99"	"Keine Angaben"
"A5"	"Variable Label"	"Vertrauen in Justiz"
"A5"	"0"	"Überhaupt kein Vertrauen"
"A5"	"1"	"1"
"A5"	"2"	"2"
"A5"	"3"	"3"
"A5"	"4"	"4"
"A5"	"5"	"5"
"A5"	"6"	"6"
"A5"	"7"	"7"
"A5"	"8"	"8"
"A5"	"9"	"9"
"A5"	"10"	"Vollkommenes Vertrauen"
"A5"	"99"	"Keine Angaben"
"A6"	"Variable Label"	"Vertrauen in Polizei"
"A6"	"0"	"Überhaupt kein Vertrauen"
"A6"	"1"	"1"
"A6"	"2"	"2"
"A6"	"3"	"3"
"A6"	"4"	"4"
"A6"	"5"	"5"
"A6"	"6"	"6"
"A6"	"7"	"7"
"A6"	"8"	"8"
"A6"	"9"	"9"
"A6"	"10"	"Vollkommenes Vertrauen"
"A6"	"99"	"Keine Angaben"
"A7"	"Variable Label"	"Vertrauen in PolitikerInnen"
"A7"	"0"	"Überhaupt kein Vertrauen"
"A7"	"1"	"1"
"A7"	"2"	"2"
"A7"	"3"	"3"
"A7"	"4"	"4"
"A7"	"5"	"5"
"A7"	"6"	"6"
"A7"	"7"	"7"
"A7"	"8"	"8"
"A7"	"9"	"9"
"A7"	"10"	"Vollkommenes Vertrauen"
"A7"	"99"	"Keine Angaben"
"A8"	"Variable Label"	"Vertrauen in politische Parteien"
"A8"	"0"	"Überhaupt kein Vertrauen"
"A8"	"1"	"1"
"A8"	"2"	"2"
"A8"	"3"	"3"
"A8"	"4"	"4"
"A8"	"5"	"5"
"A8"	"6"	"6"
"A8"	"7"	"7"
"A8"	"8"	"8"
"A8"	"9"	"9"
"A8"	"10"	"Vollkommenes Vertrauen"
"A8"	"99"	"Keine Angaben"
"A9"	"Variable Label"	"Links-Rechts Selbstpositionierung"
"A9"	"0"	"Links"
"A9"	"1"	"1"
"A9"	"2"	"2"
"A9"	"3"	"3"
"A9"	"4"	"4"
"A9"	"5"	"5"
"A9"	"6"	"6"
"A9"	"7"	"7"
"A9"	"8"	"8"
"A9"	"9"	"9"
"A9"	"10"	"Rechts"
"A9"	"99"	"Keine Angaben"
"AG"	"Variable Label"	"Altersgruppen"
"AG"	"1"	"16 – 29 Jahre"
"AG"	"2"	"30 – 39 Jahre"
"AG"	"3"	"40 – 49 Jahre"
"AG"	"4"	"50 – 59 Jahre"
"AG"	"5"	"60 – 69 Jahre"
"AG"	"6"	"70 – 79 Jahre"
"AG"	"7"	"ab 80 Jahre"
"Alter"	"Variable Label"	"Alter"
"Alter"	"85"	"85 und älter"
"B1"	"Variable Label"	"Zufriedenheit bzgl. Umgang der Regierung  mit Covid19-Krise im Allgemeinen"
"B1"	"0"	"Äußerst unzufrieden"
"B1"	"1"	"1"
"B1"	"2"	"2"
"B1"	"3"	"3"
"B1"	"4"	"4"
"B1"	"5"	"5"
"B1"	"6"	"6"
"B1"	"7"	"7"
"B1"	"8"	"8"
"B1"	"9"	"9"
"B1"	"10"	"Äußerst zufrieden"
"B1"	"99"	"Keine Angaben"
"B10_1"	"Variable Label"	"Jemand der/die mit mir zusammenlebt wurde positiv auf das Coronavirus getestet"
"B10_1"	"0"	"Nein"
"B10_1"	"1"	"Ja"
"B10_1"	"99"	"Keine Angaben"
"B10_1"	"666"	"Entfällt"
"B10_2"	"Variable Label"	"Jemand im Haushalt hatte das Coronavirus, aber wurde nicht (positiv) getestet"
"B10_2"	"0"	"Nein"
"B10_2"	"1"	"Ja"
"B10_2"	"99"	"Keine Angaben"
"B10_2"	"666"	"Entfällt"
"B10_3"	"Variable Label"	"Niemand der/die mit mir zusammenlebt hatte das Coronavirus"
"B10_3"	"0"	"Nein"
"B10_3"	"1"	"Ja"
"B10_3"	"99"	"Keine Angaben"
"B10_3"	"666"	"Entfällt"
"B10_4"	"Variable Label"	"Ich lebe seit Beginn der Pandemie mit niemandem zusammen"
"B10_4"	"0"	"Nein"
"B10_4"	"1"	"Ja"
"B10_4"	"99"	"Keine Angaben"
"B10_4"	"666"	"Entfällt"
"B10_5"	"Variable Label"	"Angaben bzgl. einer Corona-Erkrankung der anderen Personen im Haushalt"
"B10_5"	"0"	"Angaben gemacht"
"B10_5"	"99"	"Keine Angaben"
"B11"	"Variable Label"	"Pandemie-Bekämpfung: Gesundheit der Bevölkerung oder Wirtschaft vorrangig"
"B11"	"0"	"Viel wichtiger, die Gesundheit der Bevölkerung vorrangig zu berücksichtigen"
"B11"	"1"	"1"
"B11"	"2"	"2"
"B11"	"3"	"3"
"B11"	"4"	"4"
"B11"	"5"	"5"
"B11"	"6"	"6"
"B11"	"7"	"7"
"B11"	"8"	"8"
"B11"	"9"	"9"
"B11"	"10"	"Viel wichtiger, die Wirtschaft vorrangig zu berücksichtigen"
"B11"	"99"	"Keine Angaben"
"B12"	"Variable Label"	"In der letzten Woche deprimiert/niedergeschlagen gefühlt"
"B12"	"1"	"Nie oder fast nie"
"B12"	"2"	"Manchmal"
"B12"	"3"	"Meistens"
"B12"	"4"	"Immer oder fast immer"
"B12"	"99"	"Keine Angaben"
"B13"	"Variable Label"	"In der letzten Woche glücklich gefühlt"
"B13"	"1"	"Nie oder fast nie"
"B13"	"2"	"Manchmal"
"B13"	"3"	"Meistens"
"B13"	"4"	"Immer oder fast immer"
"B13"	"99"	"Keine Angaben"
"B14"	"Variable Label"	"In der letzten Woche einsam gefühlt"
"B14"	"1"	"Nie oder fast nie"
"B14"	"2"	"Manchmal"
"B14"	"3"	"Meistens"
"B14"	"4"	"Immer oder fast immer"
"B14"	"99"	"Keine Angaben"
"B15"	"Variable Label"	"In der letzten Woche traurig gefühlt"
"B15"	"1"	"Nie oder fast nie"
"B15"	"2"	"Manchmal"
"B15"	"3"	"Meistens"
"B15"	"4"	"Immer oder fast immer"
"B15"	"99"	"Keine Angaben"
"B16"	"Variable Label"	"In der letzten Woche wütend gefühlt oder Zorn verspürt"
"B16"	"1"	"Nie oder fast nie"
"B16"	"2"	"Manchmal"
"B16"	"3"	"Meistens"
"B16"	"4"	"Immer oder fast immer"
