variable	value	Label
"CM_2"	"Variable Label"	"Effect of EOSC on organisation"
"CM_2"	"1"	"very much"
"CM_2"	"2"	"somewhat"
"CM_2"	"3"	"not very much"
"CM_2"	"4"	"not at all"
"CM_2"	"77"	"don’t know"
"CM_2"	"9999"	"no answer"
"CM_3"	"Variable Label"	"Benefit from EOSC"
"CM_3"	"1"	"very much"
"CM_3"	"2"	"somewhat"
"CM_3"	"3"	"not very much"
"CM_3"	"4"	"not at all"
"CM_3"	"77"	"don’t know"
"CM_3"	"9999"	"no answer"
"CM_4"	"Variable Label"	"Already contributing to EOSC"
"CM_4"	"1"	"no"
"CM_4"	"2"	"yes"
"CM_4"	"77"	"don't know"
"CM_4"	"9999"	"no answer"
"CM_5"	"Variable Label"	"Likelihood of contribution to EOSC"
"CM_5"	"1"	"very likely"
"CM_5"	"2"	"likely"
"CM_5"	"3"	"not very likely"
"CM_5"	"4"	"not likely at all"
"CM_5"	"77"	"don't know"
"CM_5"	"9999"	"no answer"
"CM_7"	"Variable Label"	"Degree of benefit from contributing to EOSC"
"CM_7"	"1"	"very beneficial"
"CM_7"	"2"	"somewhat beneficial"
"CM_7"	"3"	"not very beneficial"
"CM_7"	"4"	"not beneficial at all"
"CM_7"	"77"	"don’t know"
"CM_7"	"9999"	"no answer"
"country"	"Variable Label"	"Country"
"country"	"1"	"AT"
"country"	"2"	"BE"
"country"	"3"	"DE"
"country"	"4"	"FR"
"country"	"5"	"IT"
"doi"	"Variable Label"	"digital object identifier"
"E54_1"	"Variable Label"	"Support for federation to EOSC needed (SMD)"
"E54_1"	"1"	"no"
"E54_1"	"2"	"yes"
"E54_1"	"77"	"don't know"
"E54_1"	"9999"	"no answer"
"E54_2"	"Variable Label"	"Support for federation to EOSC needed (HBN)"
"E54_2"	"1"	"no"
"E54_2"	"2"	"yes"
"E54_2"	"77"	"don't know"
"E54_2"	"9999"	"no answer"
"E54_3"	"Variable Label"	"Support for federation to EOSC needed (HPC)"
"E54_3"	"1"	"no"
"E54_3"	"2"	"yes"
"E54_3"	"77"	"don't know"
"E54_3"	"9999"	"no answer"
"E63"	"Variable Label"	"How FAIR do you consider your data holdings?"
"E63"	"1"	"not at all"
"E63"	"2"	"not very much"
"E63"	"3"	"somewhat"
"E63"	"4"	"very much"
"E63"	"99"	"not applicable"
"E63"	"9999"	"no answer"
"E69A"	"Variable Label"	"Depositors concerned: control over the usage of data"
"E69A"	"1"	"not concerned at all"
"E69A"	"2"	"somewhat concerned"
"E69A"	"3"	"concerned"
"E69A"	"4"	"very concerned"
"E69A"	"77"	"don’t know"
"E69A"	"99"	"not applicable"
"E69A"	"9999"	"no answer"
"E69B"	"Variable Label"	"Depositors concerned: effort of preparing the data"
"E69B"	"1"	"not concerned at all"
"E69B"	"2"	"somewhat concerned"
"E69B"	"3"	"concerned"
"E69B"	"4"	"very concerned"
"E69B"	"77"	"don’t know"
"E69B"	"99"	"not applicable"
"E69B"	"9999"	"no answer"
"E69C"	"Variable Label"	"Depositors concerned: doubts about the benefit"
"E69C"	"1"	"not concerned at all"
"E69C"	"2"	"somewhat concerned"
"E69C"	"3"	"concerned"
"E69C"	"4"	"very concerned"
"E69C"	"77"	"don’t know"
"E69C"	"99"	"not applicable"
"E69C"	"9999"	"no answer"
"E69D"	"Variable Label"	"Depositors concerned: competitive disadvantage"
"E69D"	"1"	"not concerned at all"
"E69D"	"2"	"somewhat concerned"
"E69D"	"3"	"concerned"
"E69D"	"4"	"very concerned"
"E69D"	"77"	"don’t know"
"E69D"	"99"	"not applicable"
"E69D"	"9999"	"no answer"
"E69E"	"Variable Label"	"Depositors concerned: data protection"
"E69E"	"1"	"not concerned at all"
"E69E"	"2"	"somewhat concerned"
"E69E"	"3"	"concerned"
"E69E"	"4"	"very concerned"
"E69E"	"77"	"don’t know"
"E69E"	"99"	"not applicable"
"E69E"	"9999"	"no answer"
"E69F"	"Variable Label"	"Depositors concerned: intellectual property"
"E69F"	"1"	"not concerned at all"
"E69F"	"2"	"somewhat concerned"
"E69F"	"3"	"concerned"
"E69F"	"4"	"very concerned"
"E69F"	"77"	"don’t know"
"E69F"	"99"	"not applicable"
"E69F"	"9999"	"no answer"
"E69G"	"Variable Label"	"Depositors concerned: other"
"E69G"	"1"	"not concerned at all"
"E69G"	"2"	"somewhat concerned"
"E69G"	"3"	"concerned"
"E69G"	"4"	"very concerned"
"E69G"	"77"	"don’t know"
"E69G"	"99"	"not applicable"
"E69G"	"9999"	"no answer"
"EOSCfamiliar"	"Variable Label"	"EOSC familiarity"
"EOSCfamiliar"	"1"	"very familiar"
"EOSCfamiliar"	"2"	"familiar"
"EOSCfamiliar"	"3"	"not very familiar"
"EOSCfamiliar"	"4"	"not familiar at all"
"EOSCfamiliar"	"9999"	"no answer"
"FAIRfamiliar"	"Variable Label"	"Familiarity with FAIR principles"
"FAIRfamiliar"	"1"	"very familiar"
"FAIRfamiliar"	"2"	"familiar"
"FAIRfamiliar"	"3"	"not very familiar"
"FAIRfamiliar"	"4"	"not familiar at all"
"FAIRfamiliar"	"9999"	"no answer"
"format"	"Variable Label"	"Format"
"ID_perc"	"Variable Label"	"ID: perception dataset"
"target_group"	"Variable Label"	"Target group"
"target_group"	"1"	"FB"
"target_group"	"2"	"Uni"
"target_group"	"3"	"RI"
"target_group"	"4"	"E-I"
"version"	"Variable Label"	"AUSSDA archive version"
