variable	value	Label
"ablehner"	"Variable Label"	"<keine>"
"doi"	"Variable Label"	"digital object identifier"
"filter_$"	"Variable Label"	"v20 = 8 (FILTER)"
"filter_$"	"Variable Label"	"Nicht ausgewählt"
"filter_$"	"1"	"Ausgewählt"
"gesamt"	"Variable Label"	"<keine>"
"gesamt"	"1"	"Gesamt"
"gewbild"	"Variable Label"	"<keine>"
"gewsex"	"Variable Label"	"<keine>"
"tätigneu"	"Variable Label"	"<keine>"
"v1"	"Variable Label"	"Soll Österreich Mitglied der EU bleiben?"
"v1"	"1"	"Bei EU bleiben"
"v1"	"2"	"Wieder austreten"
"v1"	"3"	"W.N./K.A."
"v10"	"Variable Label"	"Sind Preis- u. Tariferhöhungen seit der EURO-Einführung aufgefallen?"
"v10"	"1"	"Ja"
"v10"	"2"	"Nein"
"v10"	"3"	"W.N./K.A."
"v11a"	"Variable Label"	"Alles"
"v11a"	"Variable Label"	"nicht genannt"
"v11a"	"1"	"genannt"
"v11b"	"Variable Label"	"Anderes"
"v11b"	"Variable Label"	"nicht genannt"
"v11b"	"1"	"genannt"
"v11c"	"Variable Label"	"Lebensmittel"
"v11c"	"Variable Label"	"nicht genannt"
"v11c"	"1"	"genannt"
"v11d"	"Variable Label"	"Dienstleistungen"
"v11d"	"Variable Label"	"nicht genannt"
"v11d"	"1"	"genannt"
"v11e"	"Variable Label"	"Gebühren"
"v11e"	"Variable Label"	"nicht genannt"
"v11e"	"1"	"genannt"
"v11f"	"Variable Label"	"Gastgewerbe"
"v11f"	"Variable Label"	"nicht genannt"
"v11f"	"1"	"genannt"
"v11g"	"Variable Label"	"Öffentliche Verkehrsmittel"
"v11g"	"Variable Label"	"nicht genannt"
"v11g"	"1"	"genannt"
"v11h"	"Variable Label"	"ATS 100,- = € 10,-"
"v11h"	"Variable Label"	"nicht genannt"
"v11h"	"1"	"genannt"
"v11i"	"Variable Label"	"Benzin"
"v11i"	"Variable Label"	"nicht genannt"
"v11i"	"1"	"genannt"
"v11j"	"Variable Label"	"W.N./K.A."
"v11j"	"Variable Label"	"nicht genannt"
"v11j"	"1"	"genannt"
"v12"	"Variable Label"	"Einstellung zum Ausbau der öst. Verkehrswege"
"v12"	"1"	"Wir benötigen die Hilfe der EU"
"v12"	"2"	"Den Ausbau der Verkehrswege schaffen wir allein"
"v12"	"3"	"W.N./K.A."
"v13"	"Variable Label"	"Beitrag der EU zur Friedenssicherung in Europa"
"v13"	"1"	"Einen sehr großen Beitrag"
"v13"	"2"	"Einen großen Beitrag"
"v13"	"3"	"Einen geringen Beitrag"
"v13"	"4"	"Keinen Beitrag"
"v13"	"5"	"W.N./K.A."
"v14"	"Variable Label"	"Kann es in Zukunft zu Kriegen zwischen EU-Mitgliedern kommen?"
"v14"	"1"	"Kann ich mir vorstellen"
"v14"	"2"	"Kann ich mir nicht vorstellen"
"v14"	"3"	"W.N./K.A."
"v15a"	"Variable Label"	"Terrorismus"
"v15a"	"1"	"sehr Erfolg versprechend"
"v15a"	"2"	"wenig Erfolg versprechend"
"v15a"	"3"	"nicht Erfolg versprechend"
"v15a"	"4"	"W.N./K.A."
"v15b"	"Variable Label"	"Organisierte Kriminalität"
"v15b"	"1"	"sehr Erfolg versprechend"
"v15b"	"2"	"wenig Erfolg versprechend"
"v15b"	"3"	"nicht Erfolg versprechend"
"v15b"	"4"	"W.N./K.A."
"v15c"	"Variable Label"	"Schlepperunwesen"
"v15c"	"1"	"sehr Erfolg versprechend"
"v15c"	"2"	"wenig Erfolg versprechend"
"v15c"	"3"	"nicht Erfolg versprechend"
"v15c"	"4"	"W.N./K.A."
"v16a"	"Variable Label"	"In der Transitfrage"
"v16a"	"1"	"völlig"
"v16a"	"2"	"teilweise"
"v16a"	"3"	"gar nicht"
"v16a"	"4"	"W.N./K.A."
"v16b"	"Variable Label"	"Bei Sonderförderungen für Grenzgebiete"
"v16b"	"1"	"völlig"
"v16b"	"2"	"teilweise"
"v16b"	"3"	"gar nicht"
"v16b"	"4"	"W.N./K.A."
"v16c"	"Variable Label"	"In der Regionalförderung für das Burgenland"
"v16c"	"1"	"völlig"
"v16c"	"2"	"teilweise"
"v16c"	"3"	"gar nicht"
"v16c"	"4"	"W.N./K.A."
"v16d"	"Variable Label"	"Bei den Sicherheitsstandards für Kernkraftwerke"
"v16d"	"1"	"völlig"
"v16d"	"2"	"teilweise"
"v16d"	"3"	"gar nicht"
"v16d"	"4"	"W.N./K.A."
"v16e"	"Variable Label"	"Bei der Beibehaltung höherer Umweltstandards"
"v16e"	"1"	"völlig"
"v16e"	"2"	"teilweise"
"v16e"	"3"	"gar nicht"
"v16e"	"4"	"W.N./K.A."
"v16f"	"Variable Label"	"Bei der 7-jährigen Übergangsregelung für den öst. Arbeitsmarkt nach der Erweiterung der EU"
"v16f"	"1"	"völlig"
"v16f"	"2"	"teilweise"
"v16f"	"3"	"gar nicht"
"v16f"	"4"	"W.N./K.A."
"v17"	"Variable Label"	"Geschlecht"
"v17"	"1"	"männlich"
"v17"	"2"	"weiblich"
"v18"	"Variable Label"	"Alter"
"v18"	"1"	"bis 25 Jahre"
"v18"	"2"	"26-35 Jahre"
"v18"	"3"	"36-50 Jahre"
"v18"	"4"	"51-65 Jahre"
"v18"	"5"	"ab 66 Jahre"
"v19"	"Variable Label"	"Schulbildung"
"v19"	"1"	"Hochschule"
"v19"	"2"	"Mittelschule"
"v19"	"3"	"Berufs- oder Handelsschule"
"v19"	"4"	"Pflichtschule ohne weitere Ausbildung (Volks- u. Hauptsch.)"
"v19a"	"Variable Label"	"Schulbildung"
"v19a"	"1"	"Hochschule/Matura"
"v19a"	"2"	"Pflichtschule mit weiterer Ausb."
"v19a"	"3"	"Pflichtsch. ohne weitere Ausb."
"v2"	"Variable Label"	"War der Entschluss der Österreicher für einen Beitritt zur EU richtig oder falsch?"
"v2"	"1"	"Richtig"
