variable	value	Label
"doi"	"Variable Label"	"digital object identifier"
"v10"	"Variable Label"	"Geschlecht"
"v10"	"1"	"männlich"
"v10"	"2"	"weiblich"
"v11"	"Variable Label"	"Alter"
"v11"	"1"	"bis 25 Jahre"
"v11"	"2"	"26-35 Jahre"
"v11"	"3"	"36-50 Jahre"
"v11"	"4"	"51-65 Jahre"
"v11"	"5"	"ab 66 Jahre"
"v12"	"Variable Label"	"Schulbildung"
"v12"	"1"	"Hochschule"
"v12"	"2"	"Mittelschule"
"v12"	"3"	"Berufs- oder Handelsschule"
"v12"	"4"	"Pflichtschule ohne weitere Ausbildung (Volks- u. Hauptsch.)"
"v13"	"Variable Label"	"Tätigkeit"
"v13"	"1"	"In Ausbildung (Schule, Lehre, Universität)"
"v13"	"2"	"Pension"
"v13"	"3"	"Nur im Haushalt tätig"
"v13"	"4"	"Arbeitslos"
"v13"	"5"	"Selbständig"
"v13"	"6"	"Landwirt"
"v13"	"7"	"Hilfsarbeiter"
"v13"	"8"	"Facharbeiter"
"v13"	"9"	"Angestellter"
"v13"	"10"	"Beamter"
"v13"	"11"	"Anderes"
"v14"	"Variable Label"	"Sind Sie Gewerkschaftsmitglied?"
"v14"	"1"	"Ja"
"v14"	"2"	"Nein"
"v15"	"Variable Label"	"Aktuelle Parteipräferenz"
"v15"	"1"	"SPÖ"
"v15"	"2"	"ÖVP"
"v15"	"3"	"Grüne"
"v15"	"4"	"FPÖ"
"v15"	"5"	"BZÖ"
"v15"	"6"	"KPÖ"
"v15"	"7"	"Andere"
"v15"	"8"	"Keine"
"v15"	"9"	"K.A."
"v16"	"Variable Label"	"Parteipräferenz früher"
"v16"	"1"	"SPÖ"
"v16"	"2"	"ÖVP"
"v16"	"3"	"Grüne"
"v16"	"4"	"FPÖ"
"v16"	"5"	"BZÖ"
"v16"	"6"	"KPÖ"
"v16"	"7"	"Andere"
"v16"	"8"	"Keine"
"v16"	"9"	"K.A."
"v17"	"Variable Label"	"Bundesland"
"v17"	"1"	"Wien"
"v17"	"2"	"Burgenland"
"v17"	"3"	"Niederösterreich"
"v17"	"4"	"Oberösterreich"
"v17"	"5"	"Salzburg"
"v17"	"6"	"Tirol"
"v17"	"7"	"Vorarlberg"
"v17"	"8"	"Steiermark"
"v17"	"9"	"Kärnten"
"v1a1"	"Variable Label"	"W.N./K.A."
"v1a1"	"Variable Label"	"nicht genannt"
"v1a1"	"1"	"genannt"
"v1a10"	"Variable Label"	"BM Faymann"
"v1a10"	"Variable Label"	"nicht genannt"
"v1a10"	"1"	"genannt"
"v1a11"	"Variable Label"	"BP Fischer"
"v1a11"	"Variable Label"	"nicht genannt"
"v1a11"	"1"	"genannt"
"v1a12"	"Variable Label"	"Glawischnig"
"v1a12"	"Variable Label"	"nicht genannt"
"v1a12"	"1"	"genannt"
"v1a2"	"Variable Label"	"Niemand"
"v1a2"	"Variable Label"	"nicht genannt"
"v1a2"	"1"	"genannt"
"v1a3"	"Variable Label"	"Andere"
"v1a3"	"Variable Label"	"nicht genannt"
"v1a3"	"1"	"genannt"
"v1a4"	"Variable Label"	"Hannes Androsch"
"v1a4"	"Variable Label"	"nicht genannt"
"v1a4"	"1"	"genannt"
