variable	value	Label
"datum"	"Variable Label"	"Zeitpunkt des Interviews"
"datum"	"1"	"26.11.-28.11.1993"
"datum"	"2"	"29.11.- 1.12.1993"
"datum"	"3"	"2.12.- 5.12.1993"
"datum"	"4"	"6.12.- 8.12.1993"
"datum"	"5"	"9.12.-12.12.1993"
"datum"	"6"	"13.12.-16.12.1993"
"datum"	"7"	"Keine Angabe"
"doi"	"Variable Label"	"digital object identifier"
"v01"	"Variable Label"	"Echte Privatisierung?"
"v01"	"1"	"Es wird zu einer ech"
"v01"	"2"	"Die Betriebe werden"
"v01"	"3"	"Wei0 nicht"
"v02"	"Variable Label"	"Bilanz nach Privatisierung"
"v02"	"1"	"Mehr Gewinne"
"v02"	"2"	"Gleich hohe Gewinne"
"v02"	"3"	"Weniger Gewinne"
"v02"	"4"	"Wei0 nicht"
"v03"	"Variable Label"	"Besch0ftigtenstand nach Privatisierung"
"v03"	"1"	"Mehr Besch0ftigte"
"v03"	"2"	"Gleich viele Besch0f"
"v03"	"3"	"Weniger Besch0ftigte"
"v03"	"4"	"Wei0 nicht"
"v04"	"Variable Label"	"Auswirkungen auf Kundschaft nach Privati"
"v04"	"1"	"Eher Verbesserungen"
"v04"	"2"	"Es wird sich nichts"
"v04"	"3"	"Eher Verschlechterun"
"v04"	"4"	"Wei0 nicht"
"v05"	"Variable Label"	"Auftragslage f0r Zulieferfirmen nach Pri"
"v05"	"1"	"Eher mehr Auftr0ge"
"v05"	"2"	"Etwa gleich viele Au"
"v05"	"3"	"Eher weniger Auftr0g"
"v05"	"4"	"Wei0 nicht"
"v06"	"Variable Label"	"Besitzverh0ltnisse nach Privatisierung"
"v06"	"1"	"0sterreichische Akti"
"v06"	"2"	"Ausl0ndische Aktion0"
"v06"	"3"	"Wird sich die Waage"
"v06"	"4"	"Wei0 nicht"
"v07"	"Variable Label"	"Stromtarife nach Privatisierung der E-Wi"
"v07"	"1"	"Tarife werden erh0ht"
"v07"	"2"	"Es wird sich nichts"
"v07"	"3"	"Tarife werden gesenk"
"v07"	"4"	"Wei0 nicht"
"v10a"	"Variable Label"	"Austrian Airlines (AUA)"
"v10a"	"1"	"Ja"
"v10a"	"2"	"Nein"
"v10a"	"3"	"Wei0 nicht"
"v10b"	"Variable Label"	"Verbundgesellschaft (E-Wirtschaft)"
"v10b"	"1"	"Ja"
"v10b"	"2"	"Nein"
"v10b"	"3"	"Wei0 nicht"
"v10c"	"Variable Label"	"Bleiberger Bergwerksunion"
"v10c"	"1"	"Ja"
"v10c"	"2"	"Nein"
"v10c"	"3"	"Wei0 nicht"
"v10d"	"Variable Label"	"Creditanstalt-Bankverein (CA)"
"v10d"	"1"	"Ja"
"v10d"	"2"	"Nein"
"v10d"	"3"	"Wei0 nicht"
"v10e"	"Variable Label"	"VOEST-Alpine"
"v10e"	"1"	"Ja"
"v10e"	"2"	"Nein"
"v10e"	"3"	"Wei0 nicht"
"v10f"	"Variable Label"	"0sterreichische Bundestheater"
"v10f"	"1"	"Ja"
"v10f"	"2"	"Nein"
"v10f"	"3"	"Wei0 nicht"
"v10g"	"Variable Label"	"Aluminium-Ranshofen"
"v10g"	"1"	"Ja"
"v10g"	"2"	"Nein"
"v10g"	"3"	"Wei0 nicht"
"v10h"	"Variable Label"	"0MV"
"v10h"	"1"	"Ja"
"v10h"	"2"	"Nein"
"v10h"	"3"	"Wei0 nicht"
"v10i"	"Variable Label"	"Wolfsegg-Traunthaler-Bergwerksunion"
"v10i"	"1"	"Ja"
"v10i"	"2"	"Nein"
"v10i"	"3"	"Wei0 nicht"
"v11"	"Variable Label"	"F0r oder gegen Privatisierung?"
"v11"	"1"	"Eher daf0r"
"v11"	"2"	"Eher dagegen"
"v11"	"3"	"Wei0 nicht"
