variable	value	Label
"doi"	"Variable Label"	"digital object identifier"
"gesamt"	"Variable Label"	"<keine>"
"gesamt"	"1"	"Gesamt"
"gewicht"	"Variable Label"	"<keine>"
"v10a"	"Variable Label"	"Im Beruf mit Kollegen"
"v10a"	"Variable Label"	"nicht genannt"
"v10a"	"1"	"genannt"
"v10b"	"Variable Label"	"Gesellschaftlich, bei Festen und Veranstaltungen"
"v10b"	"Variable Label"	"nicht genannt"
"v10b"	"1"	"genannt"
"v10c"	"Variable Label"	"Treffen mit Freunden"
"v10c"	"Variable Label"	"nicht genannt"
"v10c"	"1"	"genannt"
"v10d"	"Variable Label"	"Geschäftlich"
"v10d"	"Variable Label"	"nicht genannt"
"v10d"	"1"	"genannt"
"v10e"	"Variable Label"	"Anderes"
"v10e"	"Variable Label"	"nicht genannt"
"v10e"	"1"	"genannt"
"v11"	"Variable Label"	"Aufenthalt in Slowenien"
"v11"	"1"	"täglich"
"v11"	"2"	"mind. 1x in der Woche"
"v11"	"3"	"mind. 1x im Monat"
"v11"	"4"	"seltener"
"v11"	"5"	"nie"
"v12a"	"Variable Label"	"Arbeiten"
"v12a"	"Variable Label"	"nicht genannt"
"v12a"	"1"	"genannt"
"v12b"	"Variable Label"	"Einkaufen"
"v12b"	"Variable Label"	"nicht genannt"
"v12b"	"1"	"genannt"
"v12c"	"Variable Label"	"Freunde und Verwandte besuchen"
"v12c"	"Variable Label"	"nicht genannt"
"v12c"	"1"	"genannt"
"v12d"	"Variable Label"	"Urlaub"
"v12d"	"Variable Label"	"nicht genannt"
"v12d"	"1"	"genannt"
"v12e"	"Variable Label"	"Besichtigungen und Ausflüge"
"v12e"	"Variable Label"	"nicht genannt"
"v12e"	"1"	"genannt"
"v12f"	"Variable Label"	"Freizeit und Unterhaltung"
"v12f"	"Variable Label"	"nicht genannt"
"v12f"	"1"	"genannt"
"v12g"	"Variable Label"	"Anderes"
"v12g"	"Variable Label"	"nicht genannt"
"v12g"	"1"	"genannt"
"v13"	"Variable Label"	"Auswirkungen eines EU-Beitritts Sloweniens auf die internationale Stellung Österreichs"
"v13"	"1"	"verbessern"
"v13"	"2"	"verschlechtern"
"v13"	"3"	"gleichbleiben"
"v13"	"4"	"W.N./K.A."
"v14"	"Variable Label"	"Geschlecht"
"v14"	"1"	"männlich"
"v14"	"2"	"weiblich"
"v15"	"Variable Label"	"Alter"
"v15"	"1"	"16-24 Jahre"
"v15"	"2"	"25-39 Jahre"
"v15"	"3"	"40-59 Jahre"
"v15"	"4"	"ab 60 Jahre"
"v16"	"Variable Label"	"Bildung"
"v16"	"1"	"Matura, Universität"
"v16"	"2"	"Pflichtschule mit weiterer Ausbildung (Lehre, Fachschule)"
"v16"	"3"	"Pflichtschule ohne weitere Ausbildung"
"v17"	"Variable Label"	"Tätigkeit"
"v17"	"1"	"in Ausbildung"
"v17"	"2"	"nicht berufstätig"
"v17"	"3"	"Pension"
"v17"	"4"	"selbständig (auch Landwirte)"
"v17"	"5"	"Arbeiter"
"v17"	"6"	"Angestellte"
"v17"	"7"	"Beamte"
"v18"	"Variable Label"	"Parteipräferenz"
"v18"	"1"	"SPÖ"
"v18"	"2"	"ÖVP"
"v18"	"3"	"FPÖ"
"v18"	"4"	"KPÖ"
"v18"	"5"	"GAL"
"v18"	"6"	"LIF"
"v18"	"7"	"Keine"
"v18"	"8"	"K.A."
