variable	value	Label
"AC_kgCO2"	"Variable Label"	"<keine>"
"appliances_kgCO2"	"Variable Label"	"<keine>"
"ausstattung"	"Variable Label"	"Ausstattung der Wohnung mit Elektronik"
"ausstattung"	"1"	"Viel und neue Elektronik"
"ausstattung"	"2"	"Durchschnittliche Ausstattung"
"ausstattung"	"3"	"Sparsame Ausstattung"
"ausstattung"	"4"	"Gar keine Elektronik"
"bikes_kgCO2"	"Variable Label"	"<keine>"
"books_kgCO2"	"Variable Label"	"<keine>"
"Bundesland"	"Variable Label"	"Erhebungsgebiet Bundesland"
"Bundesland"	"1"	"Niederösterreich"
"Bundesland"	"2"	"Steiermark"
"Bundesland"	"3"	"Wien"
"carkm_kgCO2"	"Variable Label"	"<keine>"
"cars_kg_CO2"	"Variable Label"	"<keine>"
"coats_kgCO2"	"Variable Label"	"<keine>"
"dairy_kgCO2"	"Variable Label"	"<keine>"
"doi"	"Variable Label"	"digital object identifier"
"dvds_kgCO2"	"Variable Label"	"<keine>"
"electronics_kgCO2"	"Variable Label"	"<keine>"
"fenster"	"Variable Label"	"Einschätzung Qualität der Fenster"
"fenster"	"1"	"Gute Qualität"
"fenster"	"2"	"gut-Standard"
"fenster"	"3"	"Standard"
"fenster"	"4"	"Standard-schlecht"
"fenster"	"5"	"Schlechte Qualität"
"flightsbusiness_kgCo2"	"Variable Label"	"<keine>"
"flightsprivate_kgCO2"	"Variable Label"	"<keine>"
"Fragebogennummer"	"Variable Label"	"<keine>"
"gebäude"	"Variable Label"	"Art des Gebäudes"
"gebäude"	"1"	"Einfamilienhaus"
"gebäude"	"2"	"Doppelhaus/Reihenhaus"
"gebäude"	"3"	"Wohnblock/Hochhaus"
"heating_kgCO2"	"Variable Label"	"Gesamt-CO2-Verbrauch Heizen"
"heating_no_normalisation_kgCO2"	"Variable Label"	"<keine>"
"hotwater_kgCO2"	"Variable Label"	"<keine>"
"lightning_kgCO2"	"Variable Label"	"<keine>"
"meat_kgCO2"	"Variable Label"	"<keine>"
"motorbike_kgCO2"	"Variable Label"	"<keine>"
"otherfood_kgCO2"	"Variable Label"	"<keine>"
"pants_kgCO2"	"Variable Label"	"<keine>"
"pcs_kgCO2"	"Variable Label"	"<keine>"
"phones_kgCO2"	"Variable Label"	"<keine>"
"publictransport_kgCO2"	"Variable Label"	"<keine>"
"sex"	"Variable Label"	"Geschlecht"
"sex"	"1"	"männlich"
"sex"	"2"	"weiblich"
"sex"	"3"	"anderes"
"shirts_kgCO2"	"Variable Label"	"<keine>"
"shoes_kgCO2"	"Variable Label"	"<keine>"
"skis_snowboards_kgCO2"	"Variable Label"	"<keine>"
"sweaters_kgCO2"	"Variable Label"	"<keine>"
