variable	value	Label
"doi"	"Variable Label"	"digital object identifier"
"v02"	"Variable Label"	"Seit wann in Wien?"
"v02"	"1"	"seit Geburt"
"v02"	"2"	"seit einem Jahr"
"v02"	"3"	"seit zwei/drei Jahren"
"v02"	"4"	"seit vier/fünf Jahren"
"v02"	"5"	"länger als fünf Jahre"
"v02"	"6"	"K.A."
"v04"	"Variable Label"	"Identität einer Stadt nur im Zentrum"
"v04"	"1"	"voll zu"
"v04"	"2"	"eher zu"
"v04"	"3"	"eher nicht zu"
"v04"	"4"	"gar nicht zu"
"v04"	"5"	"W.N./K.A."
"v06"	"Variable Label"	"Donaufeld als Standort neuer Wohnungen ..."
"v06"	"1"	"sehr gut geeignet"
"v06"	"2"	"eher schon geeignet"
"v06"	"3"	"eher nicht geeignet"
"v06"	"4"	"überhaupt nicht geeignet"
"v06"	"5"	"W.N./K.A."
"v07"	"Variable Label"	"Präferierte Wohnbauform"
"v07"	"1"	"Einfamilienhäuser"
"v07"	"2"	"Hochhäuser"
"v07"	"3"	"Anderes"
"v07"	"4"	"W.N./K.A."
"v08"	"Variable Label"	"Von Donau-City schon gehört oder gelesen?"
"v08"	"1"	"Ja"
"v08"	"2"	"Nein"
"v08"	"3"	"W.N./K.A."
"v10a"	"Variable Label"	"Moderne Architektur für die Donau-City"
"v10a"	"1"	"notwendig"
"v10a"	"2"	"wünschenswert"
"v10a"	"3"	"unwichtig"
"v10a"	"4"	"W.N./K.A."
"v10b"	"Variable Label"	"Genügend Grünflächen innerhalb der Donau-City"
"v10b"	"1"	"notwendig"
"v10b"	"2"	"wünschenswert"
"v10b"	"3"	"unwichtig"
"v10b"	"4"	"W.N./K.A."
"v10c"	"Variable Label"	"Sicherstellung der Nahversorgung in Donau-City"
"v10c"	"1"	"notwendig"
"v10c"	"2"	"wünschenswert"
"v10c"	"3"	"unwichtig"
"v10c"	"4"	"W.N./K.A."
"v10d"	"Variable Label"	"Anschluß der Donau-City an U-Bahn-Netz"
"v10d"	"1"	"notwendig"
"v10d"	"2"	"wünschenswert"
"v10d"	"3"	"unwichtig"
"v10d"	"4"	"W.N./K.A."
"v10e"	"Variable Label"	"Berücksichtigung lokaler Besonderheiten"
"v10e"	"1"	"notwendig"
"v10e"	"2"	"wünschenswert"
"v10e"	"3"	"unwichtig"
"v10e"	"4"	"W.N./K.A."
"v11a"	"Variable Label"	"Rockhalle"
"v11a"	"1"	"sehr gut"
"v11a"	"2"	"gut"
"v11a"	"3"	"weniger"
"v11a"	"4"	"gar nicht"
"v11a"	"5"	"W.N./K.A."
"v11b"	"Variable Label"	"Museum moderner Kunst"
"v11b"	"1"	"sehr gut"
"v11b"	"2"	"gut"
"v11b"	"3"	"weniger"
"v11b"	"4"	"gar nicht"
"v11b"	"5"	"W.N./K.A."
"v11c"	"Variable Label"	"Tauschbörse"
"v11c"	"1"	"sehr gut"
"v11c"	"2"	"gut"
"v11c"	"3"	"weniger"
"v11c"	"4"	"gar nicht"
"v11c"	"5"	"W.N./K.A."
"v11d"	"Variable Label"	"Guggenheim-Museum"
"v11d"	"1"	"sehr gut"
"v11d"	"2"	"gut"
"v11d"	"3"	"weniger"
"v11d"	"4"	"gar nicht"
"v11d"	"5"	"W.N./K.A."
"v12"	"Variable Label"	"Akzeptanz der Donau-City als Wohngegend"
"v12"	"1"	"Ja"
"v12"	"2"	"Nein"
"v12"	"3"	"W.N./K.A."
"v13"	"Variable Label"	"Geschlecht"
"v13"	"1"	"Männlich"
"v13"	"2"	"Weiblich"
"v14"	"Variable Label"	"Alter"
"v14"	"1"	"16 bis 24 Jahre"
"v14"	"2"	"25 bis 39 Jahre"
"v14"	"3"	"40 bis 59 Jahre"
"v14"	"4"	"60 Jahre und älter"
"v15"	"Variable Label"	"Bildung"
"v15"	"1"	"Matura/Universität"
"v15"	"2"	"Pflichtschule mit weiterer Ausbildung"
"v15"	"3"	"Pflichtschule ohne weiterer Ausbildung"
"v16"	"Variable Label"	"Tätigkeit"
"v16"	"1"	"In Ausbildung"
"v16"	"2"	"Nicht berufstätig"
"v16"	"3"	"Pension"
"v16"	"4"	"Selbständig/Landwirt"
"v16"	"5"	"Arbeiter"
"v16"	"6"	"Angestellte"
"v17"	"Variable Label"	"Parteipräferenz"
"v17"	"1"	"SPÖ"
"v17"	"2"	"ÖVP"
"v17"	"3"	"FPÖ"
"v17"	"4"	"KPÖ"
"v17"	"5"	"GAL"
"v17"	"6"	"LIF"
"v17"	"7"	"Keine"
"v17"	"8"	"K.A."
"v18"	"Variable Label"	"Bezirk"
"v18"	"1"	"1"
"v18"	"2"	"2"
"v18"	"3"	"3"
"v18"	"4"	"4"
"v18"	"5"	"5"
"v18"	"6"	"6"
"v18"	"7"	"7"
"v18"	"8"	"8"
"v18"	"9"	"9"
"v18"	"10"	"10"
"v18"	"11"	"11"
"v18"	"12"	"12"
"v18"	"13"	"13"
"v18"	"14"	"14"
"v18"	"15"	"15"
"v18"	"16"	"16"
"v18"	"17"	"17"
"v18"	"18"	"18"
"v18"	"19"	"19"
"v18"	"20"	"20"
"v18"	"21"	"21"
"v18"	"22"	"22"
"v18"	"23"	"23"
"v3a"	"Variable Label"	"Karlskirche"
"v3a"	"1"	"sehr gut"
"v3a"	"2"	"gut"
"v3a"	"3"	"weniger gut"
"v3a"	"4"	"gar nicht gut"
"v3a"	"5"	"K.A."
"v3b"	"Variable Label"	"Donauturm"
"v3b"	"1"	"sehr gut"
"v3b"	"2"	"gut"
"v3b"	"3"	"weniger gut"
"v3b"	"4"	"gar nicht gut"
"v3b"	"5"	"K.A."
"v3c"	"Variable Label"	"Urania"
"v3c"	"1"	"sehr gut"
"v3c"	"2"	"gut"
"v3c"	"3"	"weniger gut"
"v3c"	"4"	"gar nicht gut"
"v3c"	"5"	"K.A."
"v3d"	"Variable Label"	"Staatsoper"
"v3d"	"1"	"sehr gut"
"v3d"	"2"	"gut"
"v3d"	"3"	"weniger gut"
"v3d"	"4"	"gar nicht gut"
"v3d"	"5"	"K.A."
"v3e"	"Variable Label"	"Hundertwasserhaus"
"v3e"	"1"	"sehr gut"
"v3e"	"2"	"gut"
"v3e"	"3"	"weniger gut"
"v3e"	"4"	"gar nicht gut"
"v3e"	"5"	"K.A."
"v3f"	"Variable Label"	"Stephansdom"
"v3f"	"1"	"sehr gut"
"v3f"	"2"	"gut"
"v3f"	"3"	"weniger gut"
"v3f"	"4"	"gar nicht gut"
"v3f"	"5"	"K.A."
"v3g"	"Variable Label"	"Riesenrad"
"v3g"	"1"	"sehr gut"
"v3g"	"2"	"gut"
"v3g"	"3"	"weniger gut"
"v3g"	"4"	"gar nicht gut"
"v3g"	"5"	"K.A."
"v3h"	"Variable Label"	"Haashaus"
"v3h"	"1"	"sehr gut"
"v3h"	"2"	"gut"
"v3h"	"3"	"weniger gut"
"v3h"	"4"	"gar nicht gut"
"v3h"	"5"	"K.A."
"v3i"	"Variable Label"	"Rathaus"
"v3i"	"1"	"sehr gut"
"v3i"	"2"	"gut"
"v3i"	"3"	"weniger gut"
"v3i"	"4"	"gar nicht gut"
"v3i"	"5"	"K.A."
"v3j"	"Variable Label"	"Neue Reichsbrücke"
"v3j"	"1"	"sehr gut"
"v3j"	"2"	"gut"
"v3j"	"3"	"weniger gut"
"v3j"	"4"	"gar nicht gut"
"v3j"	"5"	"K.A."
"v3k"	"Variable Label"	"Karl-Marx-Hof"
"v3k"	"1"	"sehr gut"
"v3k"	"2"	"gut"
"v3k"	"3"	"weniger gut"
"v3k"	"4"	"gar nicht gut"
"v3k"	"5"	"K.A."
"v3l"	"Variable Label"	"Messepalast"
"v3l"	"1"	"sehr gut"
"v3l"	"2"	"gut"
"v3l"	"3"	"weniger gut"
"v3l"	"4"	"gar nicht gut"
"v3l"	"5"	"K.A."
"v3m"	"Variable Label"	"UNO-City"
"v3m"	"1"	"sehr gut"
"v3m"	"2"	"gut"
"v3m"	"3"	"weniger gut"
"v3m"	"4"	"gar nicht gut"
"v3m"	"5"	"K.A."
"v3n"	"Variable Label"	"Hofburg"
"v3n"	"1"	"sehr gut"
"v3n"	"2"	"gut"
"v3n"	"3"	"weniger gut"
"v3n"	"4"	"gar nicht gut"
"v3n"	"5"	"K.A."
"v5a"	"Variable Label"	"schön/häßlich"
"v5a"	"1"	"voll"
"v5a"	"2"	"eher"
