variable	value	Label
"ABEV1"	"Variable Label"	"WIE PASST FREUNDLICH AUF OESTERREICHER?"
"ABEV1"	"-1"	"KEINE ANGABE"
"ABEV1"	"1"	"SEHR GUT"
"ABEV1"	"2"	"GUT"
"ABEV1"	"3"	"WENIGER GUT"
"ABEV1"	"4"	"UEBERHAUPT NICHT"
"ABEV2"	"Variable Label"	"WIE PASST ANGENEHM AUF OESTERREICHER?"
"ABEV2"	"-1"	"KEINE ANGABE"
"ABEV2"	"1"	"SEHR GUT"
"ABEV2"	"2"	"GUT"
"ABEV2"	"3"	"WENIGER GUT"
"ABEV2"	"4"	"UEBERHAUPT NICHT"
"ABEV3"	"Variable Label"	"WIE PASST DEPRIMIEREND AUF OESTERREICHER?"
"ABEV3"	"-1"	"KEINE ANGABE"
"ABEV3"	"1"	"SEHR GUT"
"ABEV3"	"2"	"GUT"
"ABEV3"	"3"	"WENIGER GUT"
"ABEV3"	"4"	"UEBERHAUPT NICHT"
"ABEV4"	"Variable Label"	"WIE PASST ROMANTISCH AUF OESTERREICHER?"
"ABEV4"	"-1"	"KEINE ANGABE"
"ABEV4"	"1"	"SEHR GUT"
"ABEV4"	"2"	"GUT"
"ABEV4"	"3"	"WENIGER GUT"
"ABEV4"	"4"	"UEBERHAUPT NICHT"
"ABEV5"	"Variable Label"	"WIE PASST LANGWEILIG AUF OESTERREICHER?"
"ABEV5"	"-1"	"KEINE ANGABE"
"ABEV5"	"1"	"SEHR GUT"
"ABEV5"	"2"	"GUT"
"ABEV5"	"3"	"WENIGER GUT"
"ABEV5"	"4"	"UEBERHAUPT NICHT"
"ABEV6"	"Variable Label"	"WIE PASST AUFREGEND  AUF OESTERREICHER?"
"ABEV6"	"-1"	"KEINE ANGABE"
"ABEV6"	"1"	"SEHR GUT"
"ABEV6"	"2"	"GUT"
"ABEV6"	"3"	"WENIGER GUT"
"ABEV6"	"4"	"UEBERHAUPT NICHT"
"ABIL35"	"Variable Label"	"OESTERREICH: MODERNE FASSADE"
"ABIL35"	"-1"	"KEINE ANGABE"
"ABIL35"	"0"	"NICHT ZUGEORDNET"
"ABIL35"	"1"	"ZUGEORDNET"
"ABIL36"	"Variable Label"	"OESTERREICH: HINTERHOF"
"ABIL36"	"-1"	"KEINE ANGABE"
"ABIL36"	"0"	"NICHT ZUGEORDNET"
"ABIL36"	"1"	"ZUGEORDNET"
"ABIL37"	"Variable Label"	"OESTERREICH: BÜROKRATIE"
"ABIL37"	"-1"	"KEINE ANGABE"
"ABIL37"	"0"	"NICHT ZUGEORDNET"
"ABIL37"	"1"	"ZUGEORDNET"
"ABIL38"	"Variable Label"	"OESTERREICH: TOTE FISCHE"
"ABIL38"	"-1"	"KEINE ANGABE"
"ABIL38"	"0"	"NICHT ZUGEORDNET"
"ABIL38"	"1"	"ZUGEORDNET"
"ABIL39"	"Variable Label"	"OESTERREICH: CASINO"
"ABIL39"	"-1"	"KEINE ANGABE"
"ABIL39"	"0"	"NICHT ZUGEORDNET"
"ABIL39"	"1"	"ZUGEORDNET"
"ABIL40"	"Variable Label"	"OESTERREICH: WALDSTERBEN"
"ABIL40"	"-1"	"KEINE ANGABE"
"ABIL40"	"0"	"NICHT ZUGEORDNET"
"ABIL40"	"1"	"ZUGEORDNET"
"ABIL41"	"Variable Label"	"OESTERREICH: ALPENSTIFT"
"ABIL41"	"-1"	"KEINE ANGABE"
"ABIL41"	"0"	"NICHT ZUGEORDNET"
"ABIL41"	"1"	"ZUGEORDNET"
"ABIL42"	"Variable Label"	"OESTERREICH: APRES SKI 2"
"ABIL42"	"-1"	"KEINE ANGABE"
"ABIL42"	"0"	"NICHT ZUGEORDNET"
"ABIL42"	"1"	"ZUGEORDNET"
"ABIL43"	"Variable Label"	"OESTERREICH: FABRIKEN-LINZ"
"ABIL43"	"-1"	"KEINE ANGABE"
"ABIL43"	"0"	"NICHT ZUGEORDNET"
"ABIL43"	"1"	"ZUGEORDNET"
"ABIL44"	"Variable Label"	"OESTERREICH: WAGNER PAVILLON 2"
"ABIL44"	"-1"	"KEINE ANGABE"
"ABIL44"	"0"	"NICHT ZUGEORDNET"
"ABIL44"	"1"	"ZUGEORDNET"
"ABIL45"	"Variable Label"	"OESTERREICH: WEINERNTE 2"
"ABIL45"	"-1"	"KEINE ANGABE"
"ABIL45"	"0"	"NICHT ZUGEORDNET"
"ABIL45"	"1"	"ZUGEORDNET"
"ABIL46"	"Variable Label"	"OESTERREICH: KONDITOREI"
"ABIL46"	"-1"	"KEINE ANGABE"
"ABIL46"	"0"	"NICHT ZUGEORDNET"
"ABIL46"	"1"	"ZUGEORDNET"
"ABIL47"	"Variable Label"	"OESTERREICH: BRETONISCHE TRACHT"
"ABIL47"	"-1"	"KEINE ANGABE"
"ABIL47"	"0"	"NICHT ZUGEORDNET"
"ABIL47"	"1"	"ZUGEORDNET"
"ABIL48"	"Variable Label"	"OESTERREICH: FRONLEICHNAM AM SEE"
"ABIL48"	"-1"	"KEINE ANGABE"
"ABIL48"	"0"	"NICHT ZUGEORDNET"
"ABIL48"	"1"	"ZUGEORDNET"
"ABIL49"	"Variable Label"	"OESTERREICH: JAUSE"
"ABIL49"	"-1"	"KEINE ANGABE"
"ABIL49"	"0"	"NICHT ZUGEORDNET"
"ABIL49"	"1"	"ZUGEORDNET"
"ABIL50"	"Variable Label"	"OESTERREICH: SKIFAHRER 2"
"ABIL50"	"-1"	"KEINE ANGABE"
"ABIL50"	"0"	"NICHT ZUGEORDNET"
"ABIL50"	"1"	"ZUGEORDNET"
"ABIL51"	"Variable Label"	"OESTERREICH: KIRCHENORGEL"
"ABIL51"	"-1"	"KEINE ANGABE"
"ABIL51"	"0"	"NICHT ZUGEORDNET"
"ABIL51"	"1"	"ZUGEORDNET"
"ABIL52"	"Variable Label"	"OESTERREICH: ABENDESSEN"
