variable	value	Label
"datum"	"Variable Label"	"Datum des Interviews"
"datum"	"1"	"bis inkl. 29.11.04"
"datum"	"2"	"ab 30.11.04"
"doi"	"Variable Label"	"digital object identifier"
"v10a"	"Variable Label"	"Ich kenne ihn nicht"
"v10a"	"Variable Label"	"nicht genannt"
"v10a"	"1"	"genannt"
"v10b"	"Variable Label"	"Gute Umgangsformen"
"v10b"	"Variable Label"	"nicht genannt"
"v10b"	"1"	"genannt"
"v10c"	"Variable Label"	"Mut"
"v10c"	"Variable Label"	"nicht genannt"
"v10c"	"1"	"genannt"
"v10d"	"Variable Label"	"Politische Erfahrung"
"v10d"	"Variable Label"	"nicht genannt"
"v10d"	"1"	"genannt"
"v10e"	"Variable Label"	"Korrektheit"
"v10e"	"Variable Label"	"nicht genannt"
"v10e"	"1"	"genannt"
"v10f"	"Variable Label"	"Fleiß"
"v10f"	"Variable Label"	"nicht genannt"
"v10f"	"1"	"genannt"
"v10g"	"Variable Label"	"Schlauheit"
"v10g"	"Variable Label"	"nicht genannt"
"v10g"	"1"	"genannt"
"v10h"	"Variable Label"	"Bildung"
"v10h"	"Variable Label"	"nicht genannt"
"v10h"	"1"	"genannt"
"v10i"	"Variable Label"	"Rednergabe"
"v10i"	"Variable Label"	"nicht genannt"
"v10i"	"1"	"genannt"
"v10j"	"Variable Label"	"Menschlichkeit"
"v10j"	"Variable Label"	"nicht genannt"
"v10j"	"1"	"genannt"
"v10k"	"Variable Label"	"Überparteilichkeit"
"v10k"	"Variable Label"	"nicht genannt"
"v10k"	"1"	"genannt"
"v10l"	"Variable Label"	"Volksverbundenheit"
"v10l"	"Variable Label"	"nicht genannt"
"v10l"	"1"	"genannt"
"v11a"	"Variable Label"	"Sollen Frauen und Männer für gleiche Arbeit gleichen Lohn erhalten?"
"v11a"	"1"	"Ja"
"v11a"	"2"	"Eher ja"
"v11a"	"3"	"Eher nein"
"v11a"	"4"	"Nein"
"v11a"	"5"	"W.N./K.A."
"v11b"	"Variable Label"	"Bekommen Frauen und Männer für gleiche Arbeit den gleichen Lohn?"
"v11b"	"1"	"Ja"
"v11b"	"2"	"Eher ja"
"v11b"	"3"	"Eher nein"
"v11b"	"4"	"Nein"
"v11b"	"5"	"W.N./K.A."
"v11c"	"Variable Label"	"Haben Frauen und Männer die gleichen Aufstiegschancen im Beruf?"
"v11c"	"1"	"Ja"
"v11c"	"2"	"Eher ja"
"v11c"	"3"	"Eher nein"
"v11c"	"4"	"Nein"
"v11c"	"5"	"W.N./K.A."
"v12a"	"Variable Label"	"Wie gut die Person die Arbeit erledigt"
"v12a"	"1"	"sehr wichtig"
"v12a"	"2"	"wichtig"
"v12a"	"3"	"weniger wichtig"
"v12a"	"4"	"unwichtig"
"v12a"	"5"	"kann ich nicht sagen"
"v12b"	"Variable Label"	"welche familiären Verpflichtungen die Person hat"
"v12b"	"1"	"sehr wichtig"
"v12b"	"2"	"wichtig"
"v12b"	"3"	"weniger wichtig"
"v12b"	"4"	"unwichtig"
"v12b"	"5"	"kann ich nicht sagen"
"v12c"	"Variable Label"	"ob die Person ein Mann oder eine Frau ist"
"v12c"	"1"	"sehr wichtig"
"v12c"	"2"	"wichtig"
"v12c"	"3"	"weniger wichtig"
"v12c"	"4"	"unwichtig"
"v12c"	"5"	"kann ich nicht sagen"
"v12d"	"Variable Label"	"welche Ausbildung und Abschlüsse die Person hat"
"v12d"	"1"	"sehr wichtig"
"v12d"	"2"	"wichtig"
"v12d"	"3"	"weniger wichtig"
"v12d"	"4"	"unwichtig"
"v12d"	"5"	"kann ich nicht sagen"
"v12e"	"Variable Label"	"wie lange die Person schon bei der Firma ist"
"v12e"	"1"	"sehr wichtig"
"v12e"	"2"	"wichtig"
"v12e"	"3"	"weniger wichtig"
"v12e"	"4"	"unwichtig"
"v12e"	"5"	"kann ich nicht sagen"
"v13"	"Variable Label"	"Ist Ihr Gehalt/Lohn...?"
"v13"	"1"	"..weit weniger als es Ihrer Leistung entspricht"
"v13"	"2"	"..weniger als es Ihrer Leistung entspricht"
"v13"	"3"	"..so wie es Ihrer Leistung entspricht"
"v13"	"4"	"..mehr als es Ihrer Leistung entspricht"
"v13"	"5"	"..weit mehr als es Ihrer Leistung entspricht"
"v13"	"6"	"..ich war nie berufstätig"
"v13"	"7"	"..kann ich nicht sagen"
"v14"	"Variable Label"	"Wenn Sie sich aktiv nach einer (neuen) Stelle umschauen würden, wie leicht oder wie schwer glauben Sie, würde es für Sie sein, eine akzeptable Arbeitsstelle zu finden?"
"v14"	"1"	"sehr leicht"
"v14"	"2"	"ziemlich leicht"
"v14"	"3"	"weder leicht noch schwer"
"v14"	"4"	"ziemlich schwer"
"v14"	"5"	"sehr schwer"
"v14"	"6"	"kann ich nicht sagen"
"v15"	"Variable Label"	"Stimmen Sie folgender Aussage zu oder lehnen Sie diese ab? Wenn es nur wenig Arbeitsplätze gibt, haben Männer eher ein Recht auf Arbeit als Frauen?"
"v15"	"1"	"stimme zu"
"v15"	"2"	"lehne ab"
"v15"	"3"	"weder noch"
"v15"	"4"	"W.N./K.A."
"v16a"	"Variable Label"	"Das Ausmaß an Verantwortung, das mit der Arbeit verbunden ist"
"v16a"	"1"	"sehr wichtig"
"v16a"	"2"	"wichtig"
"v16a"	"3"	"weniger wichtig"
"v16a"	"4"	"unwichtig"
"v16a"	"5"	"kann ich nicht sagen"
"v16b"	"Variable Label"	"Die Dauer der allgemeinen und beruflichen Ausbildung"
"v16b"	"1"	"sehr wichtig"
"v16b"	"2"	"wichtig"
"v16b"	"3"	"weniger wichtig"
"v16b"	"4"	"unwichtig"
"v16b"	"5"	"kann ich nicht sagen"
"v16c"	"Variable Label"	"Ob die Person ein Mann oder eine Frau ist"
"v16c"	"1"	"sehr wichtig"
"v16c"	"2"	"wichtig"
"v16c"	"3"	"weniger wichtig"
"v16c"	"4"	"unwichtig"
"v16c"	"5"	"kann ich nicht sagen"
"v17a"	"Variable Label"	"Verlässlichkeit"
"v17a"	"1"	"verlässlich"
"v17a"	"2"	"2"
"v17a"	"3"	"weder noch"
"v17a"	"4"	"4"
"v17a"	"5"	"unzuverlässig"
"v17b"	"Variable Label"	"Glaubwürdigkeit"
"v17b"	"1"	"glaubwürdig"
"v17b"	"2"	"2"
"v17b"	"3"	"weder noch"
"v17b"	"4"	"4"
"v17b"	"5"	"unglaubwürdig"
"v17c"	"Variable Label"	"Aufrichtigkeit"
"v17c"	"1"	"aufrichtig"
"v17c"	"2"	"2"
"v17c"	"3"	"weder noch"
"v17c"	"4"	"4"
"v17c"	"5"	"unaufrichtig"
"v17d"	"Variable Label"	"Kampfgeist"
"v17d"	"1"	"kämpferisch"
"v17d"	"2"	"2"
"v17d"	"3"	"weder noch"
"v17d"	"4"	"4"
"v17d"	"5"	"nachgiebig"
"v17e"	"Variable Label"	"Sachkunde"
"v17e"	"1"	"sachkundig"
"v17e"	"2"	"2"
"v17e"	"3"	"weder noch"
"v17e"	"4"	"4"
"v17e"	"5"	"uninformiert"
"v17f"	"Variable Label"	"Politische Einstellung"
"v17f"	"1"	"demokratisch"
"v17f"	"2"	"2"
"v17f"	"3"	"weder noch"
