variable	value	Label
"alter20"	"Variable Label"	"Alter in 20er Schritten"
"alter20"	"1"	"0-19"
"alter20"	"2"	"20-39"
"alter20"	"3"	"40-59"
"alter20"	"4"	"60-79"
"alter20"	"5"	"80+"
"Bildung"	"Variable Label"	"Bildung"
"Bildung"	"0"	"kein Abschluss"
"Bildung"	"1"	"maximal Pflichtschule"
"Bildung"	"2"	"Lehre, BMS"
"Bildung"	"3"	"AHS-Matura"
"Bildung"	"4"	"BHS-Matura, Meister, Kolleg"
"Bildung"	"5"	"Uni / FH"
"Bildung"	"999"	"k.A."
"BL"	"Variable Label"	"Bundesland"
"BL"	"1"	"B"
"BL"	"2"	"K"
"BL"	"3"	"NÖ"
"BL"	"4"	"OÖ"
"BL"	"5"	"S"
"BL"	"6"	"St"
"BL"	"7"	"T"
"BL"	"8"	"V"
"BL"	"9"	"W"
"BMI"	"Variable Label"	"Body-Mass-Index"
"CATI"	"Variable Label"	"CATI befragt?"
"CATI"	"0"	"CATI nicht durchgeführt"
"CATI"	"1"	"CATI durchgeführt"
"doi"	"Variable Label"	"digital object identifier"
"f1"	"Variable Label"	"Wurde der Test bei Ihnen selbst durchgeführt?"
"f1"	"1"	"Selbst getestet"
"f1"	"2"	"Nein, nur bei anderen"
"f1"	"3"	"Alle Haushaltsmitglieder wurden getestet"
"f10"	"Variable Label"	"Wie viel Zeit verbringen Sie / Person HH  aktuell pro Tag im direkten persönlichen Kontakt mit anderen Menschen, die nicht in Ihrem Haushalt wohnen?"
"f10"	"999"	"k.A."
"f11"	"Variable Label"	"Wie viel Zeit haben Sie/Person im HH vor den erlassenen Maßnahmen  pro Tag im direkten persönlichen Kontakt mit anderen Menschen verbracht, die nicht in Ihrem Haushalt wohnen"
"f11"	"999"	"k.A."
"f12"	"Variable Label"	"Wie oft gehen Sie aktuell Freizeitaktivitäten mit Personen außerhalb Ihres Haushalts nach, bei denen Sie sich persönlich treffen?"
"f12"	"1"	"Täglich oder fast täglich"
"f12"	"2"	"Etwa 2 bis 4 mal die Woche"
"f12"	"3"	"Etwa einmal pro Woche"
"f12"	"4"	"Etwa alle zwei Wochen"
"f12"	"5"	"Etwa einmal im Monat oder seltener"
"f13"	"Variable Label"	"Hatten Sie in den letzten 14 Tagen direkten persönlichen Kontakt zu einer Person, bei der das Coronavirus diagnostiziert wurde oder die als Verdachtsfall eingestuft wurde?"
"f13"	"1"	"Ja, sicher"
"f13"	"2"	"Ja, vermutlich"
"f13"	"3"	"Nein, eher nicht"
"f13"	"4"	"Nein, sicher nicht"
"f13"	"5"	"Weiß nicht"
"f14"	"Variable Label"	"Vor wie vielen Tagen hatten Sie / Person HH mit dieser Person Kontakt?"
"f14"	"998"	"weiß nicht / k.A."
"f14"	"999"	"nicht befragt"
"f15_1"	"Variable Label"	"Beschwerden- Fieber (über 38 Grad)"
"f15_1"	"0"	"nein"
"f15_1"	"1"	"ja"
"f15_10"	"Variable Label"	"Beschwerden- Kurzatmigkeit"
"f15_10"	"0"	"nein"
"f15_10"	"1"	"ja"
"f15_11"	"Variable Label"	"Beschwerden- Keuchen"
"f15_11"	"0"	"nein"
"f15_11"	"1"	"ja"
"f15_12"	"Variable Label"	"Beschwerden- Brustschmerzen"
"f15_12"	"0"	"nein"
"f15_12"	"1"	"ja"
"f15_13"	"Variable Label"	"Beschwerden- Andere Beschwerden der Atemwege"
"f15_13"	"0"	"nein"
"f15_13"	"1"	"ja"
"f15_14"	"Variable Label"	"Beschwerden- Kopfschmerzen"
"f15_14"	"0"	"nein"
"f15_14"	"1"	"ja"
"f15_15"	"Variable Label"	"Beschwerden- Verminderter Appetit"
"f15_15"	"0"	"nein"
"f15_15"	"1"	"ja"
"f15_16"	"Variable Label"	"Beschwerden- Übelkeit/Erbrechen"
"f15_16"	"0"	"nein"
"f15_16"	"1"	"ja"
"f15_17"	"Variable Label"	"Beschwerden- Bauchschmerzen"
"f15_17"	"0"	"nein"
"f15_17"	"1"	"ja"
"f15_18"	"Variable Label"	"Beschwerden- Durchfall"
"f15_18"	"0"	"nein"
"f15_18"	"1"	"ja"
"f15_19"	"Variable Label"	"Beschwerden- Verminderter Geruchssinn"
"f15_19"	"0"	"nein"
"f15_19"	"1"	"ja"
"f15_2"	"Variable Label"	"Beschwerden- Schüttelfrost"
"f15_2"	"0"	"nein"
"f15_2"	"1"	"ja"
"f15_20"	"Variable Label"	"Beschwerden- Verminderter Geschmackssinn"
"f15_20"	"0"	"nein"
"f15_20"	"1"	"ja"
"f15_3"	"Variable Label"	"Beschwerden- Müdigkeit"
"f15_3"	"0"	"nein"
"f15_3"	"1"	"ja"
"f15_4"	"Variable Label"	"Beschwerden- Gliederschmerzen"
"f15_4"	"0"	"nein"
"f15_4"	"1"	"ja"
"f15_5"	"Variable Label"	"Beschwerden- Halsschmerzen"
"f15_5"	"0"	"nein"
"f15_5"	"1"	"ja"
"f15_6"	"Variable Label"	"Beschwerden- Husten"
"f15_6"	"0"	"nein"
"f15_6"	"1"	"ja"
"f15_7"	"Variable Label"	"Beschwerden- Schnupfen"
"f15_7"	"0"	"nein"
"f15_7"	"1"	"ja"
"f15_8"	"Variable Label"	"Beschwerden- Verstopfte Nase"
"f15_8"	"0"	"nein"
"f15_8"	"1"	"ja"
"f15_9"	"Variable Label"	"Beschwerden- Niesen"
"f15_9"	"0"	"nein"
"f15_9"	"1"	"ja"
"f16"	"Variable Label"	"Wann sind diese Symptome erstmals aufgetreten?"
"f16"	"0"	"weiß nicht / k.A."
"f17"	"Variable Label"	"Leiden Sie noch immer an einem oder mehreren dieser Symptome?"
"f17"	"1"	"ja"
"f17"	"2"	"nein"
"f18"	"Variable Label"	"Seit wie vielen Tagen haben Sie keine dieser Symptome mehr"
"f18"	"998"	"weiß nicht / k.A."
"f18"	"999"	"nicht befragt"
"f19"	"Variable Label"	"Haben Sie wegen diesen Beschwerden die Telefonhotline 1450 angerufen?"
"f19"	"1"	"Ja, bin durchgekommen und wurde dann auch auf das Coronavirus getestet"
"f19"	"2"	"Ja, bin durchgekommen und mir wurde mitgeteilt, dass es ich kein Verdachtsfall bin"
"f19"	"3"	"Ja, bin jedoch nicht durchgekommen"
"f19"	"4"	"Nein, hatte es mir überlegt und mich anders entschieden"
"f19"	"5"	"Nein, habe nicht daran gedacht"
"f19"	"6"	"Nein, habe ich nicht für als notwendig empfunden"
"f19"	"7"	"Keine Angabe"
"f2"	"Variable Label"	"Für wen geben Sie Antworten?"
"f2"	"1"	"Mein Kind"
"f2"	"2"	"Für eine*n pflegebedürftigen Angehörige*n"
"f2"	"3"	"Andere"
"f20"	"Variable Label"	"Wurden Sie vor der repräsentativen Testung in dieser Woche schon einmal auf das Coronavirus getestet?"
"f20"	"1"	"Ja"
"f20"	"2"	"Nein"
"f20"	"3"	"Keine Angabe"
"f21"	"Variable Label"	"Liegen die Ergebnisse dieser vorangegangen Testung schon vor?"
"f21"	"1"	"Ja, wurde positiv getestet"
"f21"	"2"	"Ja, wurde negativ getestet"
"f21"	"3"	"Nein, Ergebnisse liegen noch nicht vor"
"f21"	"4"	"Keine Angabe"
"f22"	"Variable Label"	"Halten Sie es für sehr, ziemlich, wenig oder gar nicht wahrscheinlich, dass Sie selbst mit dem Corona-Virus infiziert waren?"
"f22"	"1"	"sehr wahrscheinlich"
"f22"	"2"	"ziemlich wahrscheinlich"
"f22"	"3"	"wenig wahrscheinlich"
"f22"	"4"	"gar nicht wahrscheinlich"
"f22"	"5"	"weiß nicht / k.A."
"f23_1"	"Variable Label"	"Herz- und Kreislaufprobleme: Bluthochdruck"
"f23_1"	"0"	"nein"
"f23_1"	"1"	"ja"
"f23_10"	"Variable Label"	"Andere Krankheit genannt"
"f23_10"	"0"	"nein"
"f23_10"	"1"	"ja"
"f23_2"	"Variable Label"	"Herz- und Kreislaufprobleme: verengte Herzkranzgefäße (Infarkt, Angina Pectoris, Stents, Bypass)"
"f23_2"	"0"	"nein"
"f23_2"	"1"	"ja"
"f23_3"	"Variable Label"	"Herz- und Kreislaufprobleme: Herzschwäche"
"f23_3"	"0"	"nein"
"f23_3"	"1"	"ja"
"f23_4"	"Variable Label"	"Herz- und Kreislaufprobleme: andere genannt"
"f23_4"	"0"	"nein"
"f23_4"	"1"	"ja"
"f23_5"	"Variable Label"	"Lungenkrankheit: Asthma"
"f23_5"	"0"	"nein"
"f23_5"	"1"	"ja"
"f23_6"	"Variable Label"	"Lungenkrankheit: Chronische obstruktive Lungenerkrankung (COPD)"
"f23_6"	"0"	"nein"
"f23_6"	"1"	"ja"
