variable	value	Label
"doi"	"Variable Label"	"digital object identifier"
"v1"	"Variable Label"	"Beurteilung der Sozialpartnerschaft"
"v1"	"1"	"...vorteilhaft"
"v1"	"2"	"...nachteilig"
"v1"	"3"	"...weder noch"
"v1"	"4"	"W.N./K.A."
"v10"	"Variable Label"	"Wie groß ist Ihr Wunsch im ÖGB mitbestimmen zu können?"
"v10"	"1"	"sehr groß"
"v10"	"2"	"eher groß"
"v10"	"3"	"eher gering"
"v10"	"4"	"habe den Wunsch nicht"
"v10"	"5"	"W.N./K.A."
"v11"	"Variable Label"	"Waren Sie über die Durchführung der kürzlich abgeschlossenen ÖGB-Umfrage zur Neupositionierung des ÖGB informiert?"
"v11"	"1"	"Ja"
"v11"	"2"	"Nein"
"v11"	"3"	"W.N./K.A."
"v12"	"Variable Label"	"Haben Sie an dieser Befragung teilgenommen?"
"v12"	"1"	"Ja"
"v12"	"2"	"Nein"
"v12"	"3"	"W.N./K.A."
"v13"	"Variable Label"	"Für wie wichtig halten Sie eine grenzüberschreitende Gewerkschaftsarbeit?"
"v13"	"1"	"sehr wichtig"
"v13"	"2"	"eher wichtig"
"v13"	"3"	"eher nicht wichtig"
"v13"	"4"	"gar nicht wichtig"
"v13"	"5"	"W.N./K.A."
"v14"	"Variable Label"	"Soll der ÖGB seine Überparteilichkeit beibehalten?"
"v14"	"1"	"Ja"
"v14"	"2"	"Nein"
"v14"	"3"	"W.N./K.A."
"v15"	"Variable Label"	"Wie hoch müsste man Funktionäre einer Fachgewerkschaft entlohnen, um qualifizierte Personen zu bekommen?"
"v15"	"1"	"Wie einen Manager eines Großbetriebs"
"v15"	"2"	"Wie einen Geschäftsführer eines Kleinbetriebs"
"v15"	"3"	"Wie einen Nationalratsabgeordneten"
"v15"	"4"	"Wie einen Facharbeiter"
"v15"	"5"	"W.N./K.A."
"v16"	"Variable Label"	"Wie sollte die österreichische Gewerkschaftsbewegung in Zukunft organisiert werden?"
"v16"	"1"	"Neuorganisation durch Zusammenschluss der Fachgewerkschaften"
"v16"	"2"	"Nur ÖGB ohne Fachgewerkschaften"
"v16"	"3"	"Keine Veränderung der gegenwärtigen Situation"
"v16"	"4"	"W.N./K.A."
"v17"	"Variable Label"	"Glauben Sie, dass die einzelnen Fachgewerkschaften auch ohne einen starken ÖGB bei Kollektivvertragsverhandlungen erfolgreich sein können?"
"v17"	"1"	"erfolgreicher"
"v17"	"2"	"gleich erfolgreich"
"v17"	"3"	"weniger erfolgreich"
"v17"	"4"	"gar nicht erfolgreich"
"v17"	"5"	"W.N./K.A."
"v18"	"Variable Label"	"Sind Sie Mitglied des ÖGB?"
"v18"	"1"	"Ja"
"v18"	"2"	"Nein"
"v19_1"	"Variable Label"	"W.N./K.A."
"v19_1"	"Variable Label"	"nicht genannt"
"v19_1"	"1"	"genannt"
"v19_10"	"Variable Label"	"Selbständig/ Freiberuflich tätig/ LandwirtIn"
"v19_10"	"Variable Label"	"nicht genannt"
"v19_10"	"1"	"genannt"
"v19_2"	"Variable Label"	"Anderes"
"v19_2"	"Variable Label"	"nicht genannt"
"v19_2"	"1"	"genannt"
"v19_3"	"Variable Label"	"Kein Interesse / will nicht"
"v19_3"	"Variable Label"	"nicht genannt"
"v19_3"	"1"	"genannt"
"v19_4"	"Variable Label"	"keine Zeit"
"v19_4"	"Variable Label"	"nicht genannt"
"v19_4"	"1"	"genannt"
"v19_5"	"Variable Label"	"Kosten / Beitrag zu hoch"
"v19_5"	"Variable Label"	"nicht genannt"
"v19_5"	"1"	"genannt"
"v19_6"	"Variable Label"	"Verschwendung im ÖGB/ Funktionäre schauen nur auf sich selbst/ Enttäuschung/ Austritt wegen BAWAG-Affäre"
"v19_6"	"Variable Label"	"nicht genannt"
"v19_6"	"1"	"genannt"
"v19_7"	"Variable Label"	"(noch) kein Bedarf/ sehe keine Vorteile"
"v19_7"	"Variable Label"	"nicht genannt"
"v19_7"	"1"	"genannt"
"v19_8"	"Variable Label"	"nicht berufstätig (StudentIn, Hausfrau, arbeitslos)"
"v19_8"	"Variable Label"	"nicht genannt"
"v19_8"	"1"	"genannt"
"v19_9"	"Variable Label"	"aus Altersgründen/ schon in Pension/ wegen Pension ausgetreten"
"v19_9"	"Variable Label"	"nicht genannt"
"v19_9"	"1"	"genannt"
"v20"	"Variable Label"	"Geschlecht"
"v20"	"1"	"männlich"
"v20"	"2"	"weiblich"
"v21"	"Variable Label"	"Alter"
"v21"	"1"	"bis 25 Jahre"
"v21"	"2"	"26-35 Jahre"
"v21"	"3"	"36-50 Jahre"
"v21"	"4"	"51-65 Jahre"
"v21"	"5"	"ab 66 Jahre"
"v22"	"Variable Label"	"Schulbildung"
"v22"	"1"	"Hochschule"
"v22"	"2"	"Mittelschule"
"v22"	"3"	"Berufs- oder Handelsschule"
"v22"	"4"	"Pflichtschule ohne weitere Ausbildung (Volks- u. Hauptsch.)"
"v23"	"Variable Label"	"Tätigkeit"
"v23"	"1"	"In Ausbildung (Schule, Lehre, Universität)"
"v23"	"2"	"Pension"
"v23"	"3"	"Nur im Haushalt tätig"
"v23"	"4"	"Arbeitslos"
"v23"	"5"	"Selbständig"
"v23"	"6"	"Landwirt"
"v23"	"7"	"Hilfsarbeiter"
"v23"	"8"	"Facharbeiter"
"v23"	"9"	"Angestellter"
"v23"	"10"	"Beamter"
"v23"	"11"	"Anderes"
"v24"	"Variable Label"	"Aktuelle Parteipräferenz"
"v24"	"1"	"SPÖ"
"v24"	"2"	"ÖVP"
"v24"	"3"	"Grüne"
"v24"	"4"	"FPÖ"
"v24"	"5"	"BZÖ"
"v24"	"6"	"KPÖ"
"v24"	"7"	"HPM"
"v24"	"8"	"Andere"
"v24"	"9"	"Keine"
"v24"	"10"	"K.A."
"v25"	"Variable Label"	"Parteipräferenz früher"
"v25"	"1"	"SPÖ"
"v25"	"2"	"ÖVP"
"v25"	"3"	"Grüne"
"v25"	"4"	"FPÖ"
"v25"	"5"	"BZÖ"
"v25"	"6"	"KPÖ"
"v25"	"7"	"Andere"
"v25"	"8"	"Keine"
"v25"	"9"	"K.A."
"v26"	"Variable Label"	"Bundesland"
"v26"	"1"	"Wien"
"v26"	"2"	"Burgenland"
"v26"	"3"	"Niederösterreich"
"v26"	"4"	"Oberösterreich"
"v26"	"5"	"Salzburg"
"v26"	"6"	"Tirol"
"v26"	"7"	"Vorarlberg"
"v26"	"8"	"Steiermark"
"v26"	"9"	"Kärnten"
"v2a"	"Variable Label"	"Die SPÖ"
"v2a"	"1"	"sehr"
"v2a"	"2"	"etwas"
"v2a"	"3"	"gar nicht"
"v2a"	"4"	"W.N./K.A."
"v2b"	"Variable Label"	"Die ÖVP"
"v2b"	"1"	"sehr"
"v2b"	"2"	"etwas"
"v2b"	"3"	"gar nicht"
"v2b"	"4"	"W.N./K.A."
"v2c"	"Variable Label"	"Die FPÖ"
"v2c"	"1"	"sehr"
"v2c"	"2"	"etwas"
"v2c"	"3"	"gar nicht"
"v2c"	"4"	"W.N./K.A."
"v2d"	"Variable Label"	"Die Grünen"
"v2d"	"1"	"sehr"
"v2d"	"2"	"etwas"
"v2d"	"3"	"gar nicht"
"v2d"	"4"	"W.N./K.A."
"v2e"	"Variable Label"	"Der ÖGB"
"v2e"	"1"	"sehr"
"v2e"	"2"	"etwas"
"v2e"	"3"	"gar nicht"
"v2e"	"4"	"W.N./K.A."
"v2f"	"Variable Label"	"Die Arbeiterkammer"
"v2f"	"1"	"sehr"
"v2f"	"2"	"etwas"
"v2f"	"3"	"gar nicht"
"v2f"	"4"	"W.N./K.A."
"v3a"	"Variable Label"	"Eigenschaften des ÖGB"
"v3a"	"1"	"verlässlich"
"v3a"	"2"	"unverlässlich"
"v3a"	"3"	"weder noch"
"v3b"	"Variable Label"	"Eigenschaften des ÖGB"
"v3b"	"1"	"einflussreich"
"v3b"	"2"	"einflusslos"
"v3b"	"3"	"weder noch"
"v3c"	"Variable Label"	"Eigenschaften des ÖGB"
"v3c"	"1"	"verantwortungsbewusst"
"v3c"	"2"	"verantwortungslos"
"v3c"	"3"	"weder noch"
"v3d"	"Variable Label"	"Eigenschaften des ÖGB"
"v3d"	"1"	"angriffllustig"
"v3d"	"2"	"ängstlich"
"v3d"	"3"	"weder noch"
"v3e"	"Variable Label"	"Eigenschaften des ÖGB"
"v3e"	"1"	"hilfreich"
"v3e"	"2"	"selbstsüchtig"
"v3e"	"3"	"weder noch"
"v3f"	"Variable Label"	"Eigenschaften des ÖGB"
"v3f"	"1"	"beweglich"
"v3f"	"2"	"starr"
"v3f"	"3"	"weder noch"
"v3g"	"Variable Label"	"Eigenschaften des ÖGB"
"v3g"	"1"	"kraftvoll"
"v3g"	"2"	"kraftlos"
"v3g"	"3"	"weder noch"
"v3h"	"Variable Label"	"Eigenschaften des ÖGB"
"v3h"	"1"	"modern"
"v3h"	"2"	"altmodisch"
"v3h"	"3"	"weder noch"
"v3i"	"Variable Label"	"Eigenschaften des ÖGB"
"v3i"	"1"	"unbestechlich"
"v3i"	"2"	"bestechlich"
"v3i"	"3"	"weder noch"
"v3j"	"Variable Label"	"Eigenschaften des ÖGB"
"v3j"	"1"	"erfolgreich"
"v3j"	"2"	"erfolglos"
"v3j"	"3"	"weder noch"
"v3k"	"Variable Label"	"Eigenschaften des ÖGB"
"v3k"	"1"	"sparsam"
"v3k"	"2"	"verschwenderisch"
"v3k"	"3"	"weder noch"
"v3l"	"Variable Label"	"Eigenschaften des ÖGB"
"v3l"	"1"	"unbürokratisch"
"v3l"	"2"	"bürokratisch"
"v3l"	"3"	"weder noch"
"v3m"	"Variable Label"	"Eigenschaften des ÖGB"
"v3m"	"1"	"kämpferisch"
"v3m"	"2"	"lax"
"v3m"	"3"	"weder noch"
"v3n"	"Variable Label"	"Eigenschaften des ÖGB"
"v3n"	"1"	"einig"
"v3n"	"2"	"zerstritten"
"v3n"	"3"	"weder noch"
"v4"	"Variable Label"	"ÖGB-Mitgliederverlust duch die Handlungsweise von Präs. Verzetnitsch in der \"BAWAG-Affäre\"?"
"v4"	"1"	"Ja, sicher"
"v4"	"2"	"eher schon"
"v4"	"3"	"eher nicht"
"v4"	"4"	"sicher nicht"
"v4"	"5"	"W.N./K.A."
"v5"	"Variable Label"	"Wie soll - Ihrer Meinung nach - der Präsident des ÖGB gewählt werden?"
"v5"	"1"	"Wie bisher durch die Kongressdelegierten"
"v5"	"2"	"Direkt durch die ÖGB-Mitglieder"
"v5"	"3"	"W.N./K.A."
"v6"	"Variable Label"	"Wie soll - Ihrer Meinung nach - der Obmann einer Fachgewerkschaft gewählt werden?"
"v6"	"1"	"Wie bisher durch die Delegierten bei den Gewerkschaftstagen"
"v6"	"2"	"Direkt durch Mitglieder"
"v6"	"3"	"W.N./K.A."
