variable	value	Label
"doi"	"Variable Label"	"digital object identifier"
"v1"	"Variable Label"	"Sollte Österreich, Ihrer Meinung nach, Mitglied der Europäischen Union bleiben oder wieder austreten?"
"v1"	"1"	"Bei EU bleiben"
"v1"	"2"	"Wieder austreten"
"v1"	"3"	"W.N./K.A."
"v10_1"	"Variable Label"	"Das Gewicht Österreichs in der Europäischen Union würde leiden."
"v10_1"	"Variable Label"	"nicht genannt"
"v10_1"	"1"	"genannt"
"v10_2"	"Variable Label"	"Es würde zeigen, dass die Österreicher von Ihrem demokratischen Wahlrecht immer weniger Gebrauch machen."
"v10_2"	"Variable Label"	"nicht genannt"
"v10_2"	"1"	"genannt"
"v10_3"	"Variable Label"	"Es würde als große Unzufriedenheit mit der Europäischen Union ausgelegt werden."
"v10_3"	"Variable Label"	"nicht genannt"
"v10_3"	"1"	"genannt"
"v10_4"	"Variable Label"	"Es hätte überhaupt keine Auswirkungen."
"v10_4"	"Variable Label"	"nicht genannt"
"v10_4"	"1"	"genannt"
"v11"	"Variable Label"	"In Österreich wird derzeit über die Asyl- und Integrationspolitik diskutiert. Was vermuten Sie? Welche Partei kann durch diese Diskussion am ehesten bei den nächsten Wahlen neue Wähler gewinnen?"
"v11"	"1"	"SPÖ"
"v11"	"2"	"ÖVP"
"v11"	"3"	"Grüne"
"v11"	"4"	"FPÖ"
"v11"	"5"	"BZÖ"
"v11"	"6"	"Gar keine"
"v11"	"7"	"Weiß nicht"
"v12"	"Variable Label"	"Welcher Parteilinie stimmen Sie in der Frage der Asyl- und Integrationspolitik persönlich am ehesten zu?"
"v12"	"1"	"SPÖ"
"v12"	"2"	"ÖVP"
"v12"	"3"	"Grüne"
"v12"	"4"	"FPÖ"
"v12"	"5"	"BZÖ"
"v12"	"6"	"Gar keiner"
"v12"	"7"	"Weiß nicht"
"v13"	"Variable Label"	"Sind Sie mit der derzeitigen Koalitionsregierung von SPÖ und ÖVP im Allgemeinen sehr zufrieden, eher zufrieden, eher unzufrieden oder sehr unzufrieden?"
"v13"	"1"	"sehr zufrieden"
"v13"	"2"	"eher zufrieden"
"v13"	"3"	"eher unzufrieden"
"v13"	"4"	"sehr unzufrieden"
"v13"	"5"	"W.N./K.A."
"v14"	"Variable Label"	"Glauben Sie, dass es einer Partei bei den Nationalratswahlen, die ein Jahr nach den Europawahlen stattfinden werden, schaden könnte, wenn sie bei den Europawahlen schlecht abschneidet?"
"v14"	"1"	"Ja"
"v14"	"2"	"Nein"
"v14"	"3"	"W.N./K.A."
"v15"	"Variable Label"	"Geschlecht"
"v15"	"1"	"männlich"
"v15"	"2"	"weiblich"
"v16"	"Variable Label"	"Alter"
"v16"	"1"	"bis 25 Jahre"
"v16"	"2"	"26-35 Jahre"
"v16"	"3"	"36-50 Jahre"
"v16"	"4"	"51-65 Jahre"
"v16"	"5"	"ab 66 Jahre"
"v17"	"Variable Label"	"Schulbildung"
"v17"	"1"	"Hochschule"
"v17"	"2"	"Mittelschule"
"v17"	"3"	"Berufs- oder Handelsschule"
"v17"	"4"	"Pflichtschule ohne weitere Ausbildung (Volks- u. Hauptsch.)"
