variable	value	Label
doi	Variable Label	digital object identifier
v1	Variable Label	Werden die "neuen Zuwanderer" in Zukunft auch "echte Wienerinnen und Wiener" werden?
v1	1	Ja, zum größten Teil
v1	2	eher schon
v1	3	zum Teil
v1	4	eher nicht
v1	5	nur wenige
v1	6	W.N./K.A.
v10_1	Variable Label	W.N./K.A.
v10_1	Variable Label	nicht genannt
v10_1	1	genannt
v10_10	Variable Label	Polen
v10_10	Variable Label	nicht genannt
v10_10	1	genannt
v10_11	Variable Label	Serbien
v10_11	Variable Label	nicht genannt
v10_11	1	genannt
v10_12	Variable Label	Türkei
v10_12	Variable Label	nicht genannt
v10_12	1	genannt
v10_13	Variable Label	Slowakei
v10_13	Variable Label	nicht genannt
v10_13	1	genannt
v10_14	Variable Label	Tschechien
v10_14	Variable Label	nicht genannt
v10_14	1	genannt
v10_2	Variable Label	Andere
v10_2	Variable Label	nicht genannt
v10_2	1	genannt
v10_3	Variable Label	Afrika
v10_3	Variable Label	nicht genannt
v10_3	1	genannt
v10_4	Variable Label	Arabien/Ägypten/Marokko/Tunesien
v10_4	Variable Label	nicht genannt
v10_4	1	genannt
v10_5	Variable Label	Asien/Indien/Indonesien/Philippinen/China/Japan/Thailand
v10_5	Variable Label	nicht genannt
v10_5	1	genannt
v10_6	Variable Label	Bosnien
v10_6	Variable Label	nicht genannt
v10_6	1	genannt
v10_7	Variable Label	Ex-Jugoslawien; Mazedonien, Kosovo, Albanien
v10_7	Variable Label	nicht genannt
v10_7	1	genannt
v10_8	Variable Label	Kroatien
v10_8	Variable Label	nicht genannt
v10_8	1	genannt
v10_9	Variable Label	Persien/Iran/Irak
v10_9	Variable Label	nicht genannt
v10_9	1	genannt
v11	Variable Label	Geschlecht
v11	1	männlich
v11	2	weiblich
v12	Variable Label	Alter
v12	1	bis 25 Jahre
v12	2	26-35 Jahre
v12	3	36-50 Jahre
v12	4	51-65 Jahre
v12	5	ab 66 Jahre
v13	Variable Label	Schulbildung
v13	1	Hochschule
v13	2	Mittelschule
v13	3	Berufs- oder Handelsschule
v13	4	Pflichtschule ohne weitere Ausbildung (Volks- u. Hauptsch.)
v14	Variable Label	Tätigkeit
v14	1	In Ausbildung (Schule, Lehre, Universität)
v14	2	Pension
v14	3	Nur im Haushalt tätig
v14	4	Arbeitslos
v14	5	Selbständig
v14	6	Landwirt
v14	7	Hilfsarbeiter
v14	8	Facharbeiter
v14	9	Angestellter
v14	10	Beamter
v14	11	Anderes
v15	Variable Label	Aktuelle Parteipräferenz
v15	1	SPÖ
v15	2	FPÖ
v15	3	ÖVP
v15	4	Grüne
v15	5	BZÖ
v15	6	KPÖ
v15	7	Keine
v15	8	K.A.
v16_1	Variable Label	SPÖ
v16_1	Variable Label	nicht genannt
v16_1	1	genannt
v16_2	Variable Label	FPÖ
v16_2	Variable Label	nicht genannt
v16_2	1	genannt
v16_3	Variable Label	ÖVP
v16_3	Variable Label	nicht genannt
v16_3	1	genannt
v16_4	Variable Label	Grüne
v16_4	Variable Label	nicht genannt
v16_4	1	genannt
v16_5	Variable Label	BZÖ
v16_5	Variable Label	nicht genannt
v16_5	1	genannt
v16_6	Variable Label	KPÖ
v16_6	Variable Label	nicht genannt
v16_6	1	genannt
v16_7	Variable Label	Keine
v16_7	Variable Label	nicht genannt
v16_7	1	genannt
v16_8	Variable Label	K.A.
v16_8	Variable Label	nicht genannt
v16_8	1	genannt
v17	Variable Label	Wenn die Nationalratswahl am kommenden Sonntag wäre, welcher Partei würden Sie Ihre Stimme geben?
