variable	value	Label
"bqs.age"	"Variable Label"	"Alter"
"bqs.age"	"1"	"20 Jahre oder jünger"
"bqs.age"	"2"	"21-25 Jahre"
"bqs.age"	"3"	"26-30 Jahre"
"bqs.age"	"4"	"31 Jahre oder älter"
"bqs.anticipation"	"Variable Label"	"Wie sehr vermissen Sie die Präsenzlehre?"
"bqs.anticipation"	"1"	"sehr"
"bqs.anticipation"	"2"	"<keine>"
"bqs.anticipation"	"3"	"mittel"
"bqs.anticipation"	"4"	"<keine>"
"bqs.anticipation"	"5"	"gar nicht"
"bqs.auto.change"	"Variable Label"	"Im Vergleich zum Beginn des Home-Learnings kann ich derzeit mehr selbst bestimmen, wie ich mein Semester gestalte."
"bqs.auto.change"	"1"	"stimmt genau"
"bqs.auto.change"	"2"	"stimmt ziemlich"
"bqs.auto.change"	"3"	"stimmt etwas"
"bqs.auto.change"	"4"	"stimmt eher nicht"
"bqs.auto.change"	"5"	"stimmt nicht"
"bqs.auto1"	"Variable Label"	"Derzeit kann ich in meinem Studium eigene Schwerpunkte setzen."
"bqs.auto1"	"1"	"stimmt genau"
"bqs.auto1"	"2"	"stimmt ziemlich"
"bqs.auto1"	"3"	"stimmt etwas"
"bqs.auto1"	"4"	"stimmt eher nicht"
"bqs.auto1"	"5"	"stimmt nicht"
"bqs.auto2"	"Variable Label"	"Derzeit kann ich die Aufgaben so durchführen, wie es mir entspricht."
"bqs.auto2"	"1"	"stimmt genau"
"bqs.auto2"	"2"	"stimmt ziemlich"
"bqs.auto2"	"3"	"stimmt etwas"
"bqs.auto2"	"4"	"stimmt eher nicht"
"bqs.auto2"	"5"	"stimmt nicht"
"bqs.care"	"Variable Label"	"Leben in Ihrem Haushalt betreuungspflichtige Kinder bzw. haben Sie andere Betreuungsverpflichtungen?"
"bqs.care"	"1"	"ja"
"bqs.care"	"2"	"nein"
"bqs.care.help"	"Variable Label"	"Teilen Sie sich die Betreuungsverpflichtungen derzeit mit jemandem?"
"bqs.care.help"	"-98"	"nicht zutreffend, Teilnehmer*in hat keine Betreuungsverpflichtungen"
"bqs.care.help"	"1"	"ja"
"bqs.care.help"	"2"	"nein"
"bqs.comp.change"	"Variable Label"	"Im Vergleich zum Beginn des Home-Learnings gelingen mir die meisten Aufgaben für das Studium derzeit ..."
"bqs.comp.change"	"1"	"besser"
"bqs.comp.change"	"2"	"<keine>"
"bqs.comp.change"	"3"	"gleich gut"
"bqs.comp.change"	"4"	"<keine>"
"bqs.comp.change"	"5"	"schlechter"
"bqs.comp1"	"Variable Label"	"Derzeit komme ich mit den Anforderungen in meinem Studium gut zurecht."
"bqs.comp1"	"1"	"stimmt genau"
"bqs.comp1"	"2"	"stimmt ziemlich"
"bqs.comp1"	"3"	"stimmt etwas"
"bqs.comp1"	"4"	"stimmt eher nicht"
"bqs.comp1"	"5"	"stimmt nicht"
"bqs.comp2"	"Variable Label"	"Derzeit habe ich keine Zweifel daran, dass ich fähig bin, mein Studium gut zu bewältigen."
"bqs.comp2"	"1"	"stimmt genau"
"bqs.comp2"	"2"	"stimmt ziemlich"
"bqs.comp2"	"3"	"stimmt etwas"
"bqs.comp2"	"4"	"stimmt eher nicht"
"bqs.comp2"	"5"	"stimmt nicht"
"bqs.comp3"	"Variable Label"	"Derzeit schaffe ich es, in meinem Studium Lernfortschritte zu machen."
"bqs.comp3"	"1"	"stimmt genau"
"bqs.comp3"	"2"	"stimmt ziemlich"
"bqs.comp3"	"3"	"stimmt etwas"
"bqs.comp3"	"4"	"stimmt eher nicht"
"bqs.comp3"	"5"	"stimmt nicht"
"bqs.employ.curr"	"Variable Label"	"Arbeiten Sie auch während der COVID-19-Krise?"
"bqs.employ.curr"	"1"	"Nein, ich arbeite derzeit nicht."
"bqs.employ.curr"	"2"	"Ja, ich arbeite im Home-Office"
"bqs.employ.curr"	"3"	"Ja, ich arbeite (auch) außer Haus"
"bqs.employ.curr.hours"	"Variable Label"	"Wenn ja, wie viele Stunden pro Woche arbeiten Sie durchschnittlich derzeit?"
"bqs.employ.curr.hours"	"-98"	"nicht zutreffend, Teilnehmer*in nicht erwerbstätig"
"bqs.employ.curr.hours"	"1"	"bis zu 5 Stunden"
"bqs.employ.curr.hours"	"2"	"5.5-10 Stunden"
"bqs.employ.curr.hours"	"3"	"10.5-15 Stunden"
"bqs.employ.curr.hours"	"4"	"15.5-20 Stunden"
"bqs.employ.curr.hours"	"5"	"20.5-25 Stunden"
"bqs.employ.curr.hours"	"6"	"25.5-30 Stunden"
"bqs.employ.curr.hours"	"7"	"30.5-35 Stunden"
"bqs.employ.curr.hours"	"8"	"35.5-40 Stunden"
"bqs.employ.curr.hours"	"9"	"mehr als 40 Stunden"
"bqs.employ.norm"	"Variable Label"	"Sind Sie normalerweise neben dem Studium berufstätig?"
"bqs.employ.norm"	"1"	"ja"
"bqs.employ.norm"	"2"	"nein"
"bqs.employ.norm.hours"	"Variable Label"	"Wenn ja, wieviele Stunden arbeiten Sie normalerweise neben dem Studium?"
"bqs.employ.norm.hours"	"-98"	"nicht zutreffend, Teilnehmer*in nicht erwerbstätig"
"bqs.employ.norm.hours"	"1"	"bis zu 5 Stunden"
"bqs.employ.norm.hours"	"2"	"5.5-10 Stunden"
"bqs.employ.norm.hours"	"3"	"10.5-15 Stunden"
"bqs.employ.norm.hours"	"4"	"15.5-20 Stunden"
"bqs.employ.norm.hours"	"5"	"20.5-25 Stunden"
"bqs.employ.norm.hours"	"6"	"25.5-30 Stunden"
"bqs.employ.norm.hours"	"7"	"30.5-35 Stunden"
"bqs.employ.norm.hours"	"8"	"35.5-40 Stunden"
"bqs.employ.norm.hours"	"9"	"mehr als 40 Stunden"
"bqs.f1"	"Variable Label"	"Ich bin einfühlsam."
"bqs.f1"	"1"	"trifft (fast) immer zu"
"bqs.f1"	"2"	"trifft oft zu"
"bqs.f1"	"3"	"trifft gelegentlich zu"
"bqs.f1"	"4"	"trifft selten zu"
"bqs.f1"	"5"	"trifft gar nicht zu"
"bqs.f2"	"Variable Label"	"Ich bin gefühlvoll."
"bqs.f2"	"1"	"trifft (fast) immer zu"
"bqs.f2"	"2"	"trifft oft zu"
"bqs.f2"	"3"	"trifft gelegentlich zu"
"bqs.f2"	"4"	"trifft selten zu"
"bqs.f2"	"5"	"trifft gar nicht zu"
"bqs.f3"	"Variable Label"	"Ich bin leidenschaftlich."
"bqs.f3"	"1"	"trifft (fast) immer zu"
"bqs.f3"	"2"	"trifft oft zu"
"bqs.f3"	"3"	"trifft gelegentlich zu"
"bqs.f3"	"4"	"trifft selten zu"
