variable	value	Label
"bundesland"	"Variable Label"	"Bundesland"
"bundesland"	"1"	"B Burgenland"
"bundesland"	"2"	"K Kärnten"
"bundesland"	"3"	"N Niederösterreich"
"bundesland"	"4"	"O Oberösterreich"
"bundesland"	"5"	"Sa Salzburg"
"bundesland"	"6"	"St Steiermark"
"bundesland"	"7"	"T Tirol"
"bundesland"	"8"	"V Vorarlberg"
"bundesland"	"9"	"W Wien"
"doi"	"Variable Label"	"digital object identifier"
"f1"	"Variable Label"	"aktueller Erwerbsstatus"
"f1"	"1"	"ohne Arbeit bzw. Aufträge und beim AMS gemeldet"
"f1"	"2"	"ohne Arbeit bzw. Aufträge und nicht beim AMS gemeldet"
"f1"	"3"	"unselbständig erwerbstätig in Kurzarbeit"
"f1"	"4"	"unselbständig erwerbstätig, nicht in Kurzarbeit"
"f10_1"	"Variable Label"	"Ich kann meine Wünsche und Interessen einbringen"
"f10_1"	"1"	"trifft sehr zu"
"f10_1"	"2"	"trifft ziemlich zu"
"f10_1"	"3"	"trifft wenig zu"
"f10_1"	"4"	"trifft gar nicht zu"
"f10_1"	"5"	"nicht zutreffend"
"f10_1"	"999"	"keine Angabe"
"f10_2"	"Variable Label"	"Die Berater berücksichtigen meine privaten Lebensumstände"
"f10_2"	"1"	"trifft sehr zu"
"f10_2"	"2"	"trifft ziemlich zu"
"f10_2"	"3"	"trifft wenig zu"
"f10_2"	"4"	"trifft gar nicht zu"
"f10_2"	"5"	"nicht zutreffend"
"f10_2"	"999"	"keine Angabe"
"f10_3"	"Variable Label"	"Muss mich für Stellen bewerben, die nicht Interessen und Fähigkeiten entsprechen"
"f10_3"	"1"	"trifft sehr zu"
"f10_3"	"2"	"trifft ziemlich zu"
"f10_3"	"3"	"trifft wenig zu"
"f10_3"	"4"	"trifft gar nicht zu"
"f10_3"	"5"	"nicht zutreffend"
"f10_3"	"999"	"keine Angabe"
"f10_4"	"Variable Label"	"Ich wurde zur Teilnahme an einem für mich unpassenden AMS Kurs verpflichtet"
"f10_4"	"1"	"trifft sehr zu"
"f10_4"	"2"	"trifft ziemlich zu"
"f10_4"	"3"	"trifft wenig zu"
"f10_4"	"4"	"trifft gar nicht zu"
"f10_4"	"5"	"nicht zutreffend"
"f10_4"	"999"	"keine Angabe"
"f10_5"	"Variable Label"	"Manchmal habe ich das Gefühl, ich bin für das AMS nur eine Nummer im System"
"f10_5"	"1"	"trifft sehr zu"
"f10_5"	"2"	"trifft ziemlich zu"
"f10_5"	"3"	"trifft wenig zu"
"f10_5"	"4"	"trifft gar nicht zu"
"f10_5"	"5"	"nicht zutreffend"
"f10_5"	"999"	"keine Angabe"
"f11_1"	"Variable Label"	"habe einen neuen Job in Aussicht / Wiedereinstellungszusage"
"f11_1"	"0"	"nein"
"f11_1"	"1"	"ja"
"f11_10"	"Variable Label"	"schäme mich für meine Arbeitslosigkeit"
"f11_10"	"0"	"nein"
"f11_10"	"1"	"ja"
"f11_11"	"Variable Label"	"möchte / brauche derzeit keine neue Arbeit"
"f11_11"	"0"	"nein"
"f11_11"	"1"	"ja"
"f11_12"	"Variable Label"	"Grund_Sonstiges"
"f11_12"	"0"	"nein"
"f11_12"	"1"	"ja"
"f11_13"	"Variable Label"	"Grund_weiß nicht/keine Angabe"
"f11_13"	"0"	"nein"
"f11_13"	"1"	"ja"
"f11_2"	"Variable Label"	"habe keinen Anspruch auf Arbeitslosengeld"
"f11_2"	"0"	"nein"
"f11_2"	"1"	"ja"
"f11_3"	"Variable Label"	"frühere negative Erfahrungen mit AMS: Diskriminierung"
"f11_3"	"0"	"nein"
"f11_3"	"1"	"ja"
"f11_4"	"Variable Label"	"frühere negative Erfahrungen mit AMS: war keine Hilfe"
"f11_4"	"0"	"nein"
"f11_4"	"1"	"ja"
"f11_5"	"Variable Label"	"frühere negative Erfahrungen mit AMS: zu viel Zwang, Kurse zu besuchen"
"f11_5"	"0"	"nein"
"f11_5"	"1"	"ja"
"f11_6"	"Variable Label"	"frühere negative Erfahrungen mit AMS: zu viel Zwang, Jobs anzunehmen"
"f11_6"	"0"	"nein"
"f11_6"	"1"	"ja"
"f11_7"	"Variable Label"	"andere frühere negative Erfahrungen mit dem AMS"
"f11_7"	"0"	"nein"
"f11_7"	"1"	"ja"
"f11_8"	"Variable Label"	"zu viel administrativer Aufwand"
"f11_8"	"0"	"nein"
"f11_8"	"1"	"ja"
"f11_9"	"Variable Label"	"finde auch alleine einen neuen Job"
"f11_9"	"0"	"nein"
"f11_9"	"1"	"ja"
"f12_1"	"Variable Label"	"Stellenanzeigen im Internet suchen"
"f12_1"	"0"	"nein"
"f12_1"	"1"	"ja"
"f12_10"	"Variable Label"	"suche derzeit keinen neuen Job"
