Frage	Frage-Text	Variablenname	Items	Itemlabels	Werte	Wertelabels
"id"	"ID"	"id"		""		""
"f1"	"Wie beurteilen Sie im Großen und Ganzen die politische Situation in Österreich: Entwickeln sich die Dinge in Österreich allgemein gesprochen eher in die richtige Richtung oder eher in die falsche Richtung?"	"Zufriedenheit mit politischer Situation in Österreich"		""	1.0	"eher in die richtige Richtung"
""	""	""		""	2.0	"eher in die falsche Richtung"
""	""	""		""	3.0	"[weiß nicht / keine Angabe]"
"f2"	"Wie zufrieden oder unzufrieden sind Sie alles in allem mit der Demokratie, so wie sie in Österreich funktioniert? Sehr zufrieden, eher zufrieden, eher unzufrieden oder sehr unzufrieden?"	"Zufriedenheit mit Demokratie in Österreich"		""	1.0	"sehr zufrieden"
""	""	""		""	2.0	"eher zufrieden"
""	""	""		""	3.0	"eher unzufrieden"
""	""	""		""	4.0	"sehr unzufrieden"
""	""	""		""	5.0	"[weiß nicht / keine Angabe]"
"f3"	"Stimmen Sie folgender Aussage voll und ganz, eher schon, eher nicht oder gar nicht zu?"	"Zustimmung Aussagen:"	1.0	"Ein starker Mann wäre gut für Österreich, um die anstehenden Probleme zu lösen."	1.0	"voll und ganz"
""	""	""	2.0	"Die Regeln und Werte meiner Religion haben im Konfliktfall Vorrang vor den Gesetzen Österreichs."	2.0	"eher schon"
""	""	""	3.0	"Die Aufgabe des Mannes ist es, Geld zu verdienen, die der Frau, sich um Haushalt und Familie zu kümmern."	3.0	"eher nicht"
""	""	""	4.0	"Im Großen und Ganzen sind Männer bessere politische Führungskräfte als Frauen."	4.0	"gar nicht"
""	""	""		""	5.0	"[weiß nicht / keine Angabe]"
"f4"	"Und werden Sie sich in den nächsten Jahren weiterhin die Dinge leisten können, die Ihnen wichtig sind oder fürchten Sie, immer mehr Abstriche von Ihrem derzeitigen Lebensstandard machen zu müssen?"	"Leistbarkeit"		""	1.0	"Werde mir weiterhin die Dinge leisten können, die mir wichtig sind"
""	""	""		""	2.0	"Fürchte, dass ich immer mehr Abstriche von meinem derzeitigen Lebensstandard machen muss"
""	""	""		""	3.0	"[weiß nicht / keine Angabe]"
"f5"	"Würden Sie sich als Teil einer Gruppe bezeichnen, die in diesem Land diskriminiert wird?"	"Diskriminierung"		""	1.0	"Ja"
""	""	""		""	2.0	"Nein"
""	""	""		""	3.0	"[weiß nicht / keine Angabe]"
"f6"	"Aus welchen Gründen?"	"Gründe Diskriminierung:"	1.0	"Hautfarbe"	1.0	"Ja"
""	""	""	2.0	"Religion"	0.0	"Nein"
""	""	""	3.0	"Sprache"		""
""	""	""	4.0	"Name"		""
""	""	""	5.0	"Geburtsort"		""
""	""	""	6.0	"Bildung"		""
""	""	""	7.0	"Alter"		""
""	""	""	8.0	"Geschlecht"		""
""	""	""	9.0	"Sexuelle Orientierung"		""
""	""	""	10.0	"Finanzielle Situation"		""
""	""	""	11.0	"Beeinträchtigung"		""
""	""	""	12.0	"sonstiges"		""
"f7"	"Wenn Sie folgende Nachbarn hätten - würde Sie das sehr, eher schon, eher nicht oder gar nicht stören?"	"Nachbarn:"	1.0	"Muslime"	1.0	"sehr stören"
""	""	""	2.0	"Schwarze Menschen"	2.0	"eher schon stören"
""	""	""	3.0	"Juden"	3.0	"eher nicht stören"
""	""	""	4.0	"Österreicher"	4.0	"gar nicht stören"
""	""	""	5.0	"Roma und Sinti"	5.0	"[weiß nicht / keine Angabe]"
""	""	""	6.0	"Homosexuelle"		""
"f8"	"Und wie sehr treffen die folgenden Aussagen Ihrer Meinung nach zu? Sehr, eher, teils-teils, eher nicht oder gar nicht?"	"Zustimmung Aussagen:"	1.0	"Es gibt geheime Organisationen, die großen Einfluss auf politische Entscheidungen haben."	1.0	"trifft sehr zu"
""	""	""	2.0	"Die Medien und die Politik stecken unter einer Decke."	2.0	"trifft eher zu"
""	""	""	3.0	"Man kann westlichen Medien nicht mehr trauen, wenn sie über den Krieg in der Ukraine berichten."	3.0	"teils teils"
""	""	""		""	4.0	"trifft eher nicht zu"
""	""	""		""	5.0	"trifft gar nicht zu"
""	""	""		""	6.0	"[weiß nicht / keine Angabe]"
"f9"	"Jetzt zu einem anderen Thema: Man hört über Juden immer wieder unterschiedliche Aussagen. Was meinen Sie - wie sehr treffen die folgenden Aussagen auf Juden Ihrer Ansicht nach zu? Voll und ganz, eher schon, eher nicht oder überhaupt nicht?"	"Zustimmung Aussagen:"	1.0	"Juden haben viel zum kulturellen Leben und zur Wissenschaft in Österreich beigetragen."	1.0	"voll und ganz"
""	""	""	2.0	"Von einem Juden kann man nicht erwarten, dass er anständig ist."	2.0	"eher schon"
""	""	""	3.0	"[weiß nicht / keine Angabe]"	3.0	"eher nicht"
""	""	""	4.0	"Die Juden beherrschen die internationale Geschäftswelt."	4.0	"überhaupt nicht"
""	""	""	5.0	"In wachsendem Ausmaß zeigen sich heute wieder Macht und Einfluss der Juden in der internationalen Presse und Politik."	5.0	"[weiß nicht / keine Angabe]"
""	""	""	6.0	"Bei der Politik, die Israel macht, kann ich gut verstehen, dass man etwas gegen Juden hat."		""
""	""	""	7.0	"Die Israelis behandeln die Palästinenser im Grunde auch nicht anders, als die Deutschen im 2. Weltkrieg die Juden."		""
""	""	""	8.0	"Juden haben in Österreich zu viel Einfluss."		""
""	""	""	9.0	"Wenn es den Staat Israel nicht mehr gibt, dann herrscht Frieden im Nahen Osten."		""
""	""	""	10.0	"Juden sind für mich im Grunde israelische Staatsbürger und keine Österreicher."		""
""	""	""	11.0	"Israel ist ein wichtiger Verbündeter im Kampf gegen islamistischen Terrorismus."		""
""	""	""	12.0	"Israel hat ein Recht als Heimatland des jüdischen Volkes zu existieren."		""
"f10"	"Im Folgenden bitten wir Sie zu beantworten, welche dieser Medien Sie häufig nutzen?"	"Mediennutzung:"	1.0	"Tageszeitungen und Zeitschriften"	1.0	"Ja"
""	""	""	2.0	"Nachrichtenseiten im Internet wie orf.at, krone.at"	0.0	"Nein"
""	""	""	3.0	"klassisches Fernsehen."		""
""	""	""	4.0	"Radio"		""
""	""	""	5.0	"Youtube"		""
""	""	""	6.0	"X (Twitter)"		""
""	""	""	7.0	"Facebook"		""
""	""	""	8.0	"Instagram"		""
""	""	""	9.0	"TikTok"		""
""	""	""	10.0	"Nichts davon"		""
""	""	""	11.0	"[weiß nicht / keine Angabe]"		""
"f11"	"Wieder zurück zu den Aussagen, die man immer wieder über Juden hört. Was meinen Sie - wie sehr treffen die folgenden Aussagen auf Juden Ihrer Ansicht nach zu? Voll und ganz, eher schon, eher nicht oder überhaupt nicht?"	"Zustimmung Aussagen:"	1.0	"Es ist nicht nur Zufall, dass die Juden in ihrer Geschichte so oft verfolgt wurden, zumindest zum Teil sind sie selbst schuld daran."	1.0	"voll und ganz"
""	""	""	2.0	"Juden haben nach wie vor den Tod Jesu Christi zu verantworten."	2.0	"eher schon"
""	""	""	3.0	"Juden versuchen heute Vorteile daraus zu ziehen, dass sie während der Nazi-Zeit Opfer gewesen sind."	3.0	"eher nicht"
""	""	""	4.0	"Wegen der Verfolgung der Juden während des 2. Weltkrieges haben wir heute eine moralische Verpflichtung, den Juden in Österreich beizustehen."	4.0	"überhaupt nicht"
""	""	""	5.0	"In den Berichten über Konzentrationslager und Judenverfolgung im 2. Weltkrieg wird vieles übertrieben dargestellt."	5.0	"[weiß nicht / keine Angabe]"
""	""	""	6.0	"Eine mächtige und einflussreiche Elite (z.B. Soros, Rothschild, Zuckerberg, ...) nutzt die aktuellen Krisen, um ihren Reichtum und politischen Einfluss weiter auszubauen."		""
""	""	""	7.0	"Juden werden ungerechtfertigt angefeindet, wenn es Krisen gibt."		""
""	""	""	8.0	"Juden haben wenig Interesse, sich in das jeweilige Land zu integrieren, in dem sie leben. Das ist der Hauptgrund für ihre ständigen Probleme."		""
""	""	""	9.0	"Ich bin dagegen, dass man immer wieder die Tatsache aufwärmt, dass im 2. Weltkrieg Juden umgekommen sind."		""
