variable	value	Label
"doi"	"Variable Label"	"digital object identifier"
"v1"	"Variable Label"	"Ist Wien Ihrem Gefühl nach eine weltoffene Metropole oder eine stille, verschlafene Stadt?"
"v1"	"1"	"Wien ist eine weltoffene Metropole"
"v1"	"2"	"Wien ist eine stille, verschlafene Stadt"
"v1"	"3"	"W.N./K.A."
"v10a"	"Variable Label"	"Kinos"
"v10a"	"1"	"sehr gut"
"v10a"	"2"	"gut"
"v10a"	"3"	"weniger"
"v10a"	"4"	"gar nicht"
"v10a"	"5"	"W.N./K.A."
"v10b"	"Variable Label"	"Ausstellungen"
"v10b"	"1"	"sehr gut"
"v10b"	"2"	"gut"
"v10b"	"3"	"weniger"
"v10b"	"4"	"gar nicht"
"v10b"	"5"	"W.N./K.A."
"v10c"	"Variable Label"	"Traditionellen Museen (z. B. Natur- u. Kunsthistorisches Museum)"
"v10c"	"1"	"sehr gut"
"v10c"	"2"	"gut"
"v10c"	"3"	"weniger"
"v10c"	"4"	"gar nicht"
"v10c"	"5"	"W.N./K.A."
"v10d"	"Variable Label"	"Modernen Museen (z. B. Museumsquartier)"
"v10d"	"1"	"sehr gut"
"v10d"	"2"	"gut"
"v10d"	"3"	"weniger"
"v10d"	"4"	"gar nicht"
"v10d"	"5"	"W.N./K.A."
"v11a"	"Variable Label"	"Milleniumtower"
"v11a"	"1"	"sehr gut"
"v11a"	"2"	"gut"
"v11a"	"3"	"weniger"
"v11a"	"4"	"gar nicht"
"v11a"	"5"	"W.N./K.A."
"v11b"	"Variable Label"	"UNO-CITY"
"v11b"	"1"	"sehr gut"
"v11b"	"2"	"gut"
"v11b"	"3"	"weniger"
"v11b"	"4"	"gar nicht"
"v11b"	"5"	"W.N./K.A."
"v11c"	"Variable Label"	"Haas-Haus"
"v11c"	"1"	"sehr gut"
"v11c"	"2"	"gut"
"v11c"	"3"	"weniger"
"v11c"	"4"	"gar nicht"
"v11c"	"5"	"W.N./K.A."
"v11d"	"Variable Label"	"Gasometer"
"v11d"	"1"	"sehr gut"
"v11d"	"2"	"gut"
"v11d"	"3"	"weniger"
