variable	value	label
"version"	"Variable Label"	"AUSSDA archive version"
"doi"	"Variable Label"	"digital object identifier"
"P1"	"Variable Label"	"Sind Sie Welt- oder Ordenspriester?"
"P1"	"1,00"	"Weltpriester"
"P1"	"2,00"	"Ordensmann"
"P2"	"Variable Label"	"Welchen Beruf hatte Ihre Mutter?"
"P2"	"1,00"	"Hausfrau"
"P2"	"2,00"	"Bäuerin"
"P2"	"3,00"	"Arbeiterin"
"P2"	"4,00"	"Handwerkerin"
"P2"	"5,00"	"Freier Beruf"
"P2"	"6,00"	"Angestellte, Beamtin"
"P2"	"7,00"	"Ohne Beruf"
"P3"	"Variable Label"	"Welchen Beruf hatte Ihr Vater?"
"P3"	"1,00"	"Selbst. Landwirt"
"P3"	"2,00"	"Arbeiter"
"P3"	"3,00"	"Handwerker"
"P3"	"4,00"	"Beamter, öff. Angestellter"
"P3"	"5,00"	"Freier Beruf"
"P3"	"6,00"	"Ohne Beruf"
"P4"	"Variable Label"	"In welchem Jahr sind Sie geboren?"
"P4"	"1,00"	"vor 1940"
"P4"	"2,00"	"1940 - 1945"
"P4"	"3,00"	"1946 - 1950"
"P4"	"4,00"	"1951 - 1955"
"P4"	"5,00"	"1956 - 1960"
"P4"	"6,00"	"1961 - 1965"
"P4"	"7,00"	"1966 - 1970"
"P4"	"8,00"	"1971 - 1975"
"P4"	"9,00"	"1976 - 1980"
"P4"	"10,00"	"1981 - 1985"
"P5"	"Variable Label"	"Wie viele Kinder zählt Ihre Herkunftsfamilie? Bitte schließen Sie sich ein."
"P5"	"1,00"	"ein Kind"
"P5"	"2,00"	"zwei Kinder"
"P5"	"3,00"	"drei Kinder"
"P5"	"4,00"	"vier Kinder"
"P5"	"5,00"	"fünf Kinder"
"P5"	"6,00"	"sechs Kinder"
"P5"	"7,00"	"sieben Kinder"
"P5"	"8,00"	"acht oder mehr Kinder"
"P6"	"Variable Label"	"An welcher Stelle der Geschwisterreihe sind Sie selbst?"
"P6"	"1,00"	"an erster Stelle"
"P6"	"2,00"	"an zweiter Stelle"
"P6"	"3,00"	"an dritter Stelle"
"P6"	"4,00"	"an vierter Stelle"
"P6"	"5,00"	"an fünfter oder höherer Stelle"
"P7"	"Variable Label"	"Bezeichnen Sie Ihre Herkunftsfamilie als:"
"P7"	"1,00"	"sehr religös"
"P7"	"2,00"	"religiös"
"P7"	"3,00"	"wenig religös"
"P7"	"4,00"	"mehr oder weniger indifferent"
"P7"	"5,00"	"unreligiös"
"P7"	"6,00"	"schwer zu sagen"
"P8"	"Variable Label"	"Wer von Ihren Eltern war religiöser?"
"P8"	"1,00"	"Vater"
"P8"	"2,00"	"Mutter"
"P8"	"3,00"	"beide gleich"
"P8"	"4,00"	"beide gleich unreligös"
"P8"	"5,00"	"schwer zu vergleichen"
"P9"	"Variable Label"	"Empfanden Sie die finanziellen Verhältnisse der Familie zur Zeit Ihrer Jugend als:"
"P9"	"1,00"	"Sehr gut"
"P9"	"2,00"	"Gut"
"P9"	"3,00"	"Ausreichend"
"P9"	"4,00"	"Schlecht"
"P9"	"5,00"	"Sehr schlecht"
"P9"	"6,00"	"Schwer zu sagen"
"P10"	"Variable Label"	"Wie groß war der Ort, in dem Sie den größten Teil Ihrer Kindheit und Jugend verbracht haben?"
"P10"	"1,00"	"bis 1000 Einwohner*innen"
"P10"	"2,00"	"1000 bis 2000 Einwohner*innen"
"P10"	"3,00"	"von 2000 bis 5000 Einwohner*innen"
"P10"	"4,00"	"von 5000 bis 10000 Einwohner*innen"
"P10"	"5,00"	"von 10000 bis 20000 Einwohner*innen"
"P10"	"6,00"	"von 20000 bis 50000 Einwohner*innen"
"P10"	"7,00"	"von 50000 bis 100000 Einwohner*innen"
"P10"	"8,00"	"über 100000 Einwohner*innen"
"P11"	"Variable Label"	"Welche Schule haben Sie vor dem Priesterseminar abgeschlossen?"
"P11"	"1,00"	"Allgemeine Oberschule"
"P11"	"2,00"	"Technische Oberschule"
"P11"	"3,00"	"Universität, Hochschule"
"P11"	"4,00"	"Ich studierte"
"P11"	"5,00"	"Andere"
"P12"	"Variable Label"	"Wo lebten Sie, während Sie das Gymnasium besucht hatten?"
"P12"	"1,00"	"Bei den Eltern"
"P12"	"2,00"	"In einem Internat"
"P12"	"3,00"	"Privat"
"P12"	"4,00"	"In einem Knabenseminar"
"P12"	"5,00"	"Andere"
"P13_1"	"Variable Label"	"Gehörten Sie einer Jugendgruppe an? Wenn ja, welcher? / keiner Jugendgruppe"
"P13_1"	",00"	"nicht genannt"
"P13_1"	"1,00"	"genannt"
"P13_2"	"Variable Label"	"Gehörten Sie einer Jugendgruppe an? Wenn ja, welcher? / Ministranten"
"P13_2"	",00"	"nicht genannt"
"P13_2"	"1,00"	"genannt"
"P13_3"	"Variable Label"	"Gehörten Sie einer Jugendgruppe an? Wenn ja, welcher? / Kirchliche Jugendgruppe"
"P13_3"	",00"	"nicht genannt"
"P13_3"	"1,00"	"genannt"
"P13_4"	"Variable Label"	"Gehörten Sie einer Jugendgruppe an? Wenn ja, welcher? / Staatliche Jugendgruppe"
"P13_4"	",00"	"nicht genannt"
"P13_4"	"1,00"	"genannt"
"P13_5"	"Variable Label"	"Gehörten Sie einer Jugendgruppe an? Wenn ja, welcher? / Andere"
"P13_5"	",00"	"nicht genannt"
"P13_5"	"1,00"	"genannt"
"P14_1"	"Variable Label"	"Wer hat bei der Wahl des Priesterberufs eine auschlaggebende Rolle gespielt? / Eltern"
"P14_1"	",00"	"nicht genannt"
"P14_1"	"1,00"	"genannt"
"P14_2"	"Variable Label"	"Wer hat bei der Wahl des Priesterberufs eine auschlaggebende Rolle gespielt? / Großeltern"
"P14_2"	",00"	"nicht genannt"
"P14_2"	"1,00"	"genannt"
"P14_3"	"Variable Label"	"Wer hat bei der Wahl des Priesterberufs eine auschlaggebende Rolle gespielt? / Eines meiner Geschwister"
"P14_3"	",00"	"nicht genannt"
"P14_3"	"1,00"	"genannt"
"P14_4"	"Variable Label"	"Wer hat bei der Wahl des Priesterberufs eine auschlaggebende Rolle gespielt? / Pfarrer"
"P14_4"	",00"	"nicht genannt"
"P14_4"	"1,00"	"genannt"
"P14_5"	"Variable Label"	"Wer hat bei der Wahl des Priesterberufs eine auschlaggebende Rolle gespielt? / Kaplan"
"P14_5"	",00"	"nicht genannt"
"P14_5"	"1,00"	"genannt"
"P14_6"	"Variable Label"	"Wer hat bei der Wahl des Priesterberufs eine auschlaggebende Rolle gespielt? / Beichtvater"
"P14_6"	",00"	"nicht genannt"
"P14_6"	"1,00"	"genannt"
"P14_7"	"Variable Label"	"Wer hat bei der Wahl des Priesterberufs eine auschlaggebende Rolle gespielt? / Katechet, Religionslehrer"
"P14_7"	",00"	"nicht genannt"
"P14_7"	"1,00"	"genannt"
"P14_8"	"Variable Label"	"Wer hat bei der Wahl des Priesterberufs eine auschlaggebende Rolle gespielt? / Freund"
"P14_8"	",00"	"nicht genannt"
"P14_8"	"1,00"	"genannt"
"P14_9"	"Variable Label"	"Wer hat bei der Wahl des Priesterberufs eine auschlaggebende Rolle gespielt? / Freund*in"
"P14_9"	",00"	"nicht genannt"
"P14_9"	"1,00"	"genannt"
"P14_10"	"Variable Label"	"Wer hat bei der Wahl des Priesterberufs eine auschlaggebende Rolle gespielt? / Andere"
"P14_10"	",00"	"nicht genannt"
"P14_10"	"1,00"	"genannt"
"P15"	"Variable Label"	"Mit wie vielen Jahren war Ihnen klar, dass Sie Priester werden wollen?"
"P16_1"	"Variable Label"	"Was für entscheidende Motivationen waren ausschlaggebend bei Ihrer Wahl zum Priesterberuf? Bitte wählen und ordnen Sie die wichtisgten Punkte von 1 bis 3. / erste Stelle"
"P16_1"	"1,00"	"Berufung durch Gott"
"P16_1"	"2,00"	"Das Priestertum hat mich fasziniert"
"P16_1"	"3,00"	"Soziales Prestige"
"P16_1"	"4,00"	"Materielle Lage des Geistlichen"
"P16_1"	"5,00"	"Weiterbildung"
"P16_1"	"6,00"	"Die beste Möglichkeit das eigene Leben zu realisieren"
"P16_1"	"7,00"	"Wahl des Kardinals Wojtyla zum Papst"
"P16_1"	"8,00"	"Pontifikat des Papstes"
"P16_1"	"9,00"	"Eine gute Chance, mit der Kirche gegen den Kommunismus zu kämpfen"
"P16_1"	"10,00"	"Dienst an die Menschen"
