variable	value	Label
"doi"	"Variable Label"	"digital object identifier"
"v1"	"Variable Label"	"In diesem Jahr vorgezogene NR-Wahlen?"
"v1"	"1"	"sicher"
"v1"	"2"	"eher ja"
"v1"	"3"	"eher nein"
"v1"	"4"	"sicher nein"
"v1"	"5"	"W.N./K.A."
"v10"	"Variable Label"	"Geschlecht"
"v10"	"1"	"männlich"
"v10"	"2"	"weiblich"
"v11"	"Variable Label"	"Alter"
"v11"	"1"	"bis 25 Jahre"
"v11"	"2"	"26-35 Jahre"
"v11"	"3"	"36-50 Jahre"
"v11"	"4"	"51-65 Jahre"
"v11"	"5"	"ab 66 Jahre"
"v12"	"Variable Label"	"Schulbildung"
"v12"	"1"	"Hochschule"
"v12"	"2"	"Mittelschule"
"v12"	"3"	"Berufs- oder Handelsschule"
"v12"	"4"	"Pflichtschule ohne weitere Ausbildung (Volks- u. Hauptsch.)"
"v13"	"Variable Label"	"Tätigkeit"
"v13"	"1"	"In Ausbildung (Schule, Lehre, Universität)"
"v13"	"2"	"Pension"
"v13"	"3"	"Nur im Haushalt tätig"
"v13"	"4"	"Arbeitslos"
"v13"	"5"	"Selbständig"
"v13"	"6"	"Landwirt"
"v13"	"7"	"Hilfsarbeiter"
"v13"	"8"	"Facharbeiter"
"v13"	"9"	"Angestellter"
"v13"	"10"	"Beamter"
"v13"	"11"	"Anderes"
"v14"	"Variable Label"	"Aktuelle Parteipräferenz"
"v14"	"1"	"SPÖ"
"v14"	"2"	"FPÖ"
"v14"	"3"	"ÖVP"
"v14"	"4"	"Grüne"
"v14"	"5"	"LIF"
"v14"	"6"	"KPÖ"
"v14"	"7"	"Keine"
"v14"	"8"	"K.A."
"v15"	"Variable Label"	"Parteipräferenz früher"
"v15"	"1"	"SPÖ"
"v15"	"2"	"FPÖ"
"v15"	"3"	"ÖVP"
"v15"	"4"	"Grüne"
"v15"	"5"	"LIF"
"v15"	"6"	"KPÖ"
"v15"	"7"	"Keine"
"v15"	"8"	"K.A."
"v16"	"Variable Label"	"Bundesland"
"v16"	"1"	"Wien"
"v16"	"2"	"Burgenland"
"v16"	"3"	"Niederösterreich"
"v16"	"4"	"Oberösterreich"
"v16"	"5"	"Salzburg"
"v16"	"6"	"Tirol"
"v16"	"7"	"Vorarlberg"
"v16"	"8"	"Steiermark"
"v16"	"9"	"Kärnten"
"v2a1"	"Variable Label"	"SPÖ"
"v2a1"	"1"	"Ich bin im Großen und Ganzen zufrieden"
"v2a1"	"2"	"Ich bin im Großen und Ganzen nicht zufrieden"
"v2a1"	"3"	"W.N./K.A."
"v2a2"	"Variable Label"	"SPÖ: \"Es fehlt an Persönlichkeiten\""
"v2a2"	"Variable Label"	"nicht genannt"
"v2a2"	"1"	"genannt"
"v2a3"	"Variable Label"	"SPÖ: \"Es fehlt an Zielsetzungen\""
"v2a3"	"Variable Label"	"nicht genannt"
"v2a3"	"1"	"genannt"
"v2a4"	"Variable Label"	"SPÖ: \"Es fehlt an Programmen\""
"v2a4"	"Variable Label"	"nicht genannt"
"v2a4"	"1"	"genannt"
"v2a5"	"Variable Label"	"SPÖ: \"W.N./K.A.\""
"v2a5"	"Variable Label"	"nicht genannt"
"v2a5"	"1"	"genannt"
"v2b1"	"Variable Label"	"ÖVP"
"v2b1"	"1"	"Ich bin im Großen und Ganzen zufrieden"
"v2b1"	"2"	"Ich bin im Großen und Ganzen nicht zufrieden"
"v2b1"	"3"	"W.N./K.A."
"v2b2"	"Variable Label"	"ÖVP: \"Es fehlt an Persönlichkeiten\""
"v2b2"	"Variable Label"	"nicht genannt"
"v2b2"	"1"	"genannt"
"v2b3"	"Variable Label"	"ÖVP: \"Es fehlt an Zielsetzungen\""
"v2b3"	"Variable Label"	"nicht genannt"
"v2b3"	"1"	"genannt"
"v2b4"	"Variable Label"	"ÖVP: \"Es fehlt an Programmen\""
"v2b4"	"Variable Label"	"nicht genannt"
"v2b4"	"1"	"genannt"
"v2b5"	"Variable Label"	"ÖVP: \"W.N./K.A.\""
"v2b5"	"Variable Label"	"nicht genannt"
"v2b5"	"1"	"genannt"
"v2c1"	"Variable Label"	"FPÖ"
"v2c1"	"1"	"Ich bin im Großen und Ganzen zufrieden"
"v2c1"	"2"	"Ich bin im Großen und Ganzen nicht zufrieden"
"v2c1"	"3"	"W.N./K.A."
"v2c2"	"Variable Label"	"FPÖ: \"Es fehlt an Persönlichkeiten\""
"v2c2"	"Variable Label"	"nicht genannt"
"v2c2"	"1"	"genannt"
"v2c3"	"Variable Label"	"FPÖ: \"Es fehlt an Zielsetzungen\""
"v2c3"	"Variable Label"	"nicht genannt"
"v2c3"	"1"	"genannt"
"v2c4"	"Variable Label"	"FPÖ: \"Es fehlt an Programmen\""
"v2c4"	"Variable Label"	"nicht genannt"
"v2c4"	"1"	"genannt"
"v2c5"	"Variable Label"	"FPÖ: \"W.N./K.A.\""
"v2c5"	"Variable Label"	"nicht genannt"
"v2c5"	"1"	"genannt"
"v2d1"	"Variable Label"	"Grüne"
"v2d1"	"1"	"Ich bin im Großen und Ganzen zufrieden"
"v2d1"	"2"	"Ich bin im Großen und Ganzen nicht zufrieden"
"v2d1"	"3"	"W.N./K.A."
"v2d2"	"Variable Label"	"Grüne: \"Es fehlt an Persönlichkeiten\""
"v2d2"	"Variable Label"	"nicht genannt"
"v2d2"	"1"	"genannt"
"v2d3"	"Variable Label"	"Grüne: \"Es fehlt an Zielsetzungen\""
"v2d3"	"Variable Label"	"nicht genannt"
"v2d3"	"1"	"genannt"
"v2d4"	"Variable Label"	"Grüne: \"Es fehlt an Programmen\""
"v2d4"	"Variable Label"	"nicht genannt"
"v2d4"	"1"	"genannt"
"v2d5"	"Variable Label"	"Grüne: \"W.N./K.A.\""
"v2d5"	"Variable Label"	"nicht genannt"
"v2d5"	"1"	"genannt"
"v3a1"	"Variable Label"	"SPÖ: W.N./K.A."
"v3a1"	"Variable Label"	"nicht genannt"
"v3a1"	"1"	"genannt"
"v3a10"	"Variable Label"	"SPÖ: Sima"
"v3a10"	"Variable Label"	"nicht genannt"
