variable	value	Label
"alt50"	"Variable Label"	"<keine>"
"alter2"	"Variable Label"	"Altersgruppen"
"alter2"	"1"	"bis 50 Jahre"
"alter2"	"2"	"ab 51 Jahre"
"alterneu"	"Variable Label"	"Alter"
"alterneu"	"1"	"bis 35"
"alterneu"	"2"	"36-50"
"alterneu"	"3"	"51-65"
"alterneu"	"4"	"ab 66"
"altwert"	"Variable Label"	"Grad der Ausprägung \"alter Werte (sehr ordentlich u. sehr genau/sparsam)\". Summenscore"
"altwert"	"Variable Label"	"0"
"altwert"	"1"	"1"
"altwert"	"2"	"2"
"bild2"	"Variable Label"	"Schulbildung"
"bild2"	"1"	"mit Matura"
"bild2"	"2"	"ohne Matura"
"bild3"	"Variable Label"	"<keine>"
"doi"	"Variable Label"	"digital object identifier"
"entgelt"	"Variable Label"	"Gegen Entgelt geliehen (Summenscore)"
"entgelt"	"Variable Label"	"0"
"entgelt"	"1"	"1"
"entgelt"	"2"	"2"
"entgelt"	"3"	"3"
"entgelt"	"4"	"4"
"entgelt"	"5"	"5"
"entgelt"	"6"	"6"
"entgelt"	"7"	"7"
"entgelt2"	"Variable Label"	"Gegen Entgelt geliehen (Summenscore)"
"entgelt2"	"1"	"nichts geliehen"
"entgelt2"	"2"	"1-2 Dinge geliehen"
"entgelt2"	"3"	"3-6 Dinge geliehen"
"gener2"	"Variable Label"	"Generationeneffekt"
"gener2"	"1"	"mind. Matura & bis 50 Jahre"
"gener2"	"2"	"mind. Matura & ab 51 J."
"gener2"	"3"	"abg. Berufs- od. Handelsschule & bis 50 J."
"gener2"	"4"	"abg. Berufs- od. Handelsschule & ab 51 J."
"gener2"	"5"	"max. Pflichtschule & bis 50 J."
"gener2"	"6"	"max. Pflichtschule & ab 51 J."
"generat"	"Variable Label"	"Generationeneffekt"
"generat"	"1"	"mind. Matura & bis 50 Jahre"
"generat"	"2"	"mind. Matura & ab 51 Jahre"
"generat"	"3"	"abg. Berufs- od. Handelsschule & bis 50 J."
"generat"	"4"	"abg. Berufs- od. Handelsschule & ab 51 J."
"generat"	"5"	"max. Pflichtschulabschluss & bis 50 J."
"generat"	"6"	"max. Pflichtschulabschluss & ab 51 J."
"gesamt"	"Variable Label"	"<keine>"
"gesamt"	"1"	"Gesamt"
"gewbild"	"Variable Label"	"<keine>"
"gewbild1"	"Variable Label"	"<keine>"
"gewicht"	"Variable Label"	"<keine>"
"gratis"	"Variable Label"	"Gratis ausgeliehen (Summenscore)"
"gratis"	"Variable Label"	"0"
"gratis"	"1"	"1"
"gratis"	"2"	"2"
"gratis"	"3"	"3"
"gratis"	"4"	"4"
"gratis"	"5"	"5"
"gratis"	"6"	"6"
"gratis"	"7"	"7"
"gratis2"	"Variable Label"	"Gratis ausgeliehen (Summenscore)"
"gratis2"	"1"	"nichts geliehen"
"gratis2"	"2"	"1-2 Dinge geliehen"
"gratis2"	"3"	"3-6 Dinge geliehen"
"neuwert"	"Variable Label"	"Grad der Ausprägung \"neuer Werte (sehr umweltbewusst/sehr idealistisch u. opferbereit\"). Summenscore"
"neuwert"	"Variable Label"	"0"
"neuwert"	"1"	"1"
"neuwert"	"2"	"2"
"schicht"	"Variable Label"	"Schichtung nach Bildung und Berufsstellung"
"schicht"	"1"	"Akademiker in Berufsstellung"
"schicht"	"2"	"sonstige Akademiker"
"schicht"	"3"	"Maturanten in Berufsstellung"
"schicht"	"4"	"sonstige Maturanten"
"schicht"	"5"	"Studenten"
"schicht"	"6"	"Berufs- od. Handelsschüler in Berufsstellung"
"schicht"	"7"	"sonstige Berufs- od. Handelsschüler"
"schicht"	"8"	"Pflichtschulabsolventen"
"schicht2"	"Variable Label"	"<keine>"
"schicht3"	"Variable Label"	"Schichtung nach Bildung und Beruf"
"schicht3"	"1"	"Akademiker in Berufstellung"
"schicht3"	"2"	"sonstige Akademiker"
"schicht3"	"3"	"Maturanten in Berufstellung"
"schicht3"	"4"	"sonstige Maturanten (keine Studenten)"
"schicht3"	"5"	"Studenten"
"schicht3"	"6"	"Berufs- od. Handelsschulabsolventen in Beruf"
"schicht3"	"7"	"sonstige Berufs- od. Handelsschulsabsolventen"
"schicht3"	"8"	"Pflichtschulabsolventen"
"tätigk3"	"Variable Label"	"<keine>"
"tätigk4"	"Variable Label"	"<keine>"
"v10"	"Variable Label"	"Wieviel % teurer dürften abfallarme Produkte sein, dass Sie diese noch kaufen?"
"v10"	"9"	"W.N./K.A."
"v10rec"	"Variable Label"	"Akzeptable Preissteigerung für abfallarme Produkte des täglichen Lebens"
"v10rec"	"1"	"keine"
"v10rec"	"2"	"bis 5%"
"v10rec"	"3"	"um die 10%"
"v10rec"	"9"	"W.N./K.A."
"v11"	"Variable Label"	"Wie oft gehen Sie persönlich einkaufen?"
"v11"	"1"	"täglich"
"v11"	"2"	"ca. 2-3mal pro Woche"
"v11"	"3"	"einmal pro Woche"
"v11"	"4"	"seltener"
"v11"	"9"	"W.N./K.A."
"v12"	"Variable Label"	"Einkaufsgewohnheit: Mit Einkaufsliste oder ohne?"
"v12"	"1"	"nach Liste (Einkaufszettel)"
"v12"	"2"	"teils-teils"
"v12"	"3"	"ohne Liste (nach Gefühl)"
"v12"	"9"	"W.N./K.A."
"v13a"	"Variable Label"	"Leihwagen für den Urlaub"
"v13a"	"1"	"Ja, gegen Entgelt"
"v13a"	"2"	"Ja, ohne Entgelt (von privat)"
"v13a"	"3"	"sowohl gegen Entgelt als auch privat"
"v13a"	"4"	"Nein"
"v13a"	"9"	"W.N./K.A."
"v13arec1"	"Variable Label"	"<keine>"
"v13arec2"	"Variable Label"	"<keine>"
"v13b"	"Variable Label"	"Leihwagen für einen anderen Gebrauch (z. B. Übersiedlung)"
"v13b"	"1"	"Ja, gegen Entgelt"
"v13b"	"2"	"Ja, ohne Entgelt (von privat)"
"v13b"	"3"	"sowohl gegen Entgelt als auch privat"
