variable	value	Label
"doi"	"Variable Label"	"digital object identifier"
"f1"	"Variable Label"	"Information 0ber Steueramnestie"
"f1"	"1"	"ja"
"f1"	"2"	"nein"
"f2b1"	"Variable Label"	"Einstellung zur Steueramnestie Ablehnung der Amnestie"
"f2b1"	"1"	"stimmt"
"f2b1"	"2"	"stimmt nicht"
"f2b1"	"3"	"wei0 nicht"
"f2b2"	"Variable Label"	"Einstellung zur Steueramnestie teilw. Einbringung von Steuern"
"f2b2"	"1"	"stimmt"
"f2b2"	"2"	"stimmt nicht"
"f2b2"	"3"	"wei0 nicht"
"f2b3"	"Variable Label"	"Einstellung zur Steueramnestie Weiterbestand/Hinterziehungen"
"f2b3"	"1"	"stimmt"
"f2b3"	"2"	"stimmt nicht"
"f2b3"	"3"	"wei0 nicht"
"f2b4"	"Variable Label"	"Einstellung zur Steueramnestie Erfordernis von mehr Kontrolle"
"f2b4"	"1"	"stimmt"
"f2b4"	"2"	"stimmt nicht"
"f2b4"	"3"	"wei0 nicht"
"f3"	"Variable Label"	"Einstellung zum Steuernachla0"
"f3"	"1"	"f0r totalen Nachla0"
"f3"	"2"	"f0r teilweisen Nachla0"
"f3"	"3"	"lehne Nachla0 ab"
"f3"	"4"	"wei0 nicht"
"f4"	"Variable Label"	"R0ckgang der Gastarbeiterzahl"
"f4"	"1"	"g0nstig"
"f4"	"2"	"ung0nstig"
"f4"	"3"	"wei0 nicht"
"f5a"	"Variable Label"	"Aufenthalt von Gastarbeitern"
"f5a"	"1"	"hierbleiben"
"f5a"	"2"	"zur0ckkehren"
"f5a"	"3"	"keine Angabe"
"f5b"	"Variable Label"	"Aufenthalt von Gastarbeiterkindern"
"f5b"	"1"	"hierbleiben"
"f5b"	"2"	"zur0ckkehren"
"f5b"	"3"	"keine Angabe"
"f6b1"	"Variable Label"	"Gastarbeiter im pers0nl. Umfeld Arbeitskollege"
"f6b1"	"1"	"angenehm"
"f6b1"	"2"	"unangenehm"
"f6b1"	"3"	"gleichg0ltig"
"f6b1"	"4"	"keine Angabe"
"f6b2"	"Variable Label"	"Gastarbeiter im pers0nl. Umfeld Hausbesorger"
"f6b2"	"1"	"angenehm"
"f6b2"	"2"	"unangenehm"
