variable	value	Label
"datum"	"Variable Label"	"Zeitpunkt des Interviews"
"datum"	"1"	"9.11.-12.11.1995"
"datum"	"2"	"13.11.-15.11.1995"
"datum"	"3"	"16.11.-19.11.1995"
"datum"	"4"	"20.11.-22.11.1995"
"datum"	"5"	"23.11.-26.11.1995"
"datum"	"6"	"K.A."
"doi"	"Variable Label"	"digital object identifier"
"v01"	"Variable Label"	"25 Jahre SPÖ-Regierung sind genug"
"v01"	"1"	"voll"
"v01"	"2"	"teilweise"
"v01"	"3"	"gar nicht"
"v01"	"4"	"weiß nicht"
"v02"	"Variable Label"	"Grund für Bruch der Koalition"
"v02"	"1"	"Angespannte Budgetlage"
"v02"	"2"	"Starre Verhandlungstaktik der ÖVP"
"v02"	"3"	"Starre Verhandlungstaktik der SPÖ"
"v02"	"4"	"Starre Verhandlungstaktik beider Parteien"
"v02"	"5"	"Schüssels Wunsch, Bundeskanzler zu werden"
"v02"	"6"	"Weiß nicht"
"v03"	"Variable Label"	"Budgetsituation in Österreich"
"v03"	"1"	"sehr besorgniserregend"
"v03"	"2"	"etwas besorgniserregend"
"v03"	"3"	"nicht besorgniserregend"
"v03"	"4"	"weiß nicht"
"v04"	"Variable Label"	"Keine Ausgabenerhöhung, keine Steuersenkung"
"v04"	"1"	"ja"
"v04"	"2"	"nein"
"v04"	"3"	"weiß nicht"
"v09"	"Variable Label"	"Geschlecht"
"v09"	"1"	"Männlich"
"v09"	"2"	"Weiblich"
"v10"	"Variable Label"	"Beruf"
"v10"	"Variable Label"	"Andere"
"v10"	"1"	"Hilfsarbeiter"
"v10"	"2"	"Facharbeiter"
"v10"	"3"	"Leitende Ang./Beamte"
"v10"	"4"	"Angestellte"
"v10"	"5"	"Beamte"
"v10"	"6"	"Rentner/Pensionisten"
"v10"	"7"	"Hausfrauen"
"v10"	"8"	"Selbständige"
"v10"	"9"	"Landwirte"
"v11"	"Variable Label"	"Bundesland"
"v11"	"1"	"Wien"
"v11"	"2"	"Burgenland"
"v11"	"3"	"Niederösterreich"
"v11"	"4"	"Oberösterreich"
"v11"	"5"	"Salzburg"
"v11"	"6"	"Tirol"
"v11"	"7"	"Vorarlberg"
"v11"	"8"	"Steiermark"
"v11"	"9"	"Kärnten"
"v12"	"Variable Label"	"Alter"
"v12"	"1"	"Unter 20 Jahren"
"v12"	"2"	"20 bis 25 Jahre"
"v12"	"3"	"26 bis 35 Jahre"
"v12"	"4"	"36 bis 50 Jahre"
"v12"	"5"	"51 bis 65 Jahre"
"v12"	"6"	"Über 65 Jahre"
"v13"	"Variable Label"	"Bildung"
"v13"	"1"	"Volksschule"
"v13"	"2"	"Hauptschule"
"v13"	"3"	"Berufs-/Handelsschule"
"v13"	"4"	"Matura"
"v13"	"5"	"Abg. Hochschule"
"v14"	"Variable Label"	"Parteipräferenz"
"v14"	"1"	"FPÖ"
"v14"	"2"	"KPÖ"
"v14"	"3"	"ÖVP"
"v14"	"4"	"SPÖ"
"v14"	"5"	"GAL"
"v14"	"6"	"LIF"
"v14"	"7"	"Keine"
"v15a"	"Variable Label"	"Kronen-Zeitung"
"v15a"	"Variable Label"	"Nicht genannt"
"v15a"	"1"	"Genannt"
"v15b"	"Variable Label"	"Täglich Alles"
"v15b"	"Variable Label"	"Nicht genannt"
"v15b"	"1"	"Genannt"
"v15c"	"Variable Label"	"Kurier"
"v15c"	"Variable Label"	"Nicht genannt"
"v15c"	"1"	"Genannt"
"v15d"	"Variable Label"	"Presse"
"v15d"	"Variable Label"	"Nicht genannt"
"v15d"	"1"	"Genannt"
"v15e"	"Variable Label"	"SN"
"v15e"	"Variable Label"	"Nicht genannt"
"v15e"	"1"	"Genannt"
"v15f"	"Variable Label"	"Standard"
"v15f"	"Variable Label"	"Nicht genannt"
"v15f"	"1"	"Genannt"
"v15g"	"Variable Label"	"Kleine Zeitung"
