variable	value	Label
"doi"	"Variable Label"	"digital object identifier"
"v0"	"Variable Label"	"Article ID"
"v1"	"Variable Label"	"Headline"
"v10"	"Variable Label"	"Government of Experts"
"v10"	"0"	"not mentioned"
"v10"	"1"	"mentioned"
"v11a"	"Variable Label"	"Economy, Budget and Taxes"
"v11a"	"0"	"not mentioned"
"v11a"	"1"	"mentioned"
"v11b"	"Variable Label"	"Welfare State"
"v11b"	"0"	"not mentioned"
"v11b"	"1"	"mentioned"
"v11c"	"Variable Label"	"Education and Culture"
"v11c"	"0"	"not mentioned"
"v11c"	"1"	"mentioned"
"v11d"	"Variable Label"	"Security and Army"
"v11d"	"0"	"not mentioned"
"v11d"	"1"	"mentioned"
"v11e"	"Variable Label"	"Foreign Policy"
"v11e"	"0"	"not mentioned"
"v11e"	"1"	"mentioned"
"v11f"	"Variable Label"	"Europe"
"v11f"	"0"	"not mentioned"
"v11f"	"1"	"mentioned"
"v11g"	"Variable Label"	"Infrastructure"
"v11g"	"0"	"not mentioned"
"v11g"	"1"	"mentioned"
"v11h"	"Variable Label"	"Society"
"v11h"	"0"	"not mentioned"
"v11h"	"1"	"mentioned"
"v11i"	"Variable Label"	"Environmental Policies"
"v11i"	"0"	"not mentioned"
"v11i"	"1"	"mentioned"
"v11j"	"Variable Label"	"Immigration"
"v11j"	"0"	"not mentioned"
"v11j"	"1"	"mentioned"
"v11k"	"Variable Label"	"Labour Market and Employment"
"v11k"	"0"	"not mentioned"
"v11k"	"1"	"mentioned"
"v12"	"Variable Label"	"Conflict"
"v12"	"0"	"not mentioned"
"v12"	"1"	"mentioned"
"v13"	"Variable Label"	"Language of Games, Sports and War"
"v13"	"0"	"not mentioned"
"v13"	"1"	"mentioned"
"v14"	"Variable Label"	"Reference to EU"
"v14"	"0"	"not mentioned"
"v14"	"1"	"mentioned"
"v15"	"Variable Label"	"Social Media"
"v15"	"0"	"not mentioned"
"v15"	"1"	"mentioned"
"v16"	"Variable Label"	"Fake News"
"v16"	"0"	"not mentioned"
"v16"	"1"	"mentioned"
"v17"	"Variable Label"	"Polling Institutes"
"v17"	"0"	"not mentioned"
"v17"	"1"	"mentioned"
"v18"	"Variable Label"	"Scandals"
"v18"	"0"	"not mentioned"
"v18"	"1"	"mentioned"
"v19a"	"Variable Label"	"Positive Sentiment - Rauh"
"v19b"	"Variable Label"	"Negative Sentiment - Rauh"
"v19c"	"Variable Label"	"Overall Sentiment - Rauh"
"v2_l1"	"Variable Label"	"Medium Level 1"
"v2_l1"	"1000"	"TV"
"v2_l1"	"2000"	"Print"
"v2_l1"	"3000"	"Online"
"v2_l1"	"4000"	"Radio"
"v2_l2"	"Variable Label"	"Medium Level 2"
"v2_l2"	"1100"	"Public Service TV"
"v2_l2"	"1200"	"Commercial TV"
"v2_l2"	"2100"	"Quality Print"
"v2_l2"	"2200"	"Tabloid Print"
"v2_l2"	"2300"	"Mid-market Print"
"v2_l2"	"3100"	"Quality online"
"v2_l2"	"3200"	"Tabloid online"
"v2_l2"	"3300"	"Mid-market online"
"v2_l2"	"4100"	"Public Service Radio"
"v2_l3"	"Variable Label"	"Medium Level 3"
"v2_l3"	"1110"	"ZIB 1"
"v2_l3"	"1120"	"ZIB 2"
"v2_l3"	"1130"	"ZIB (other)"
"v2_l3"	"1140"	"Regional News (TV)"
"v2_l3"	"1210"	"ATV"
"v2_l3"	"1220"	"Puls 4"
"v2_l3"	"2110"	"Der Standard"
"v2_l3"	"2120"	"Die Presse"
"v2_l3"	"2130"	"Salzburger Nachrichten"
"v2_l3"	"2210"	"Kronen Zeitung"
"v2_l3"	"2220"	"Oesterreich"
"v2_l3"	"2230"	"Heute"
"v2_l3"	"2310"	"Kurier"
"v2_l3"	"2320"	"Kleine Zeitung"
"v2_l3"	"3110"	"derstandard.at"
"v2_l3"	"3120"	"diepresse.com"
"v2_l3"	"3130"	"sn.at"
"v2_l3"	"3210"	"krone.at"
"v2_l3"	"3220"	"oe24.at"
"v2_l3"	"3230"	"heute.at"
"v2_l3"	"3310"	"orf.at"
"v2_l3"	"3320"	"kurier.at"
"v2_l3"	"3330"	"kleinezeitung.at"
"v2_l3"	"4110"	"Oe1"
"v2_l3"	"4120"	"Regional News (Radio)"
"v2_l3"	"4130"	"Oe3"
"v2_l4"	"Variable Label"	"Medium Level 4"
"v2_l4"	"1111"	"ZIB 1"
"v2_l4"	"1121"	"ZIB 2"
"v2_l4"	"1122"	"ZIB 2 am Sonntag"
"v2_l4"	"1123"	"ZIB 2 Spezial"
"v2_l4"	"1131"	"ZIB"
"v2_l4"	"1132"	"ZIB Spezial"
"v2_l4"	"1133"	"ZIB Nacht"
"v2_l4"	"1134"	"ZIB Nacht Spezial"
"v2_l4"	"1135"	"ZIB Flash"
"v2_l4"	"1141"	"Wien Heute (Vienna)"
"v2_l4"	"1142"	"Niederoesterreich Heute (Lower Austria)"
"v2_l4"	"1143"	"Oberoesterreich Heute (Upper Austria)"
"v2_l4"	"1144"	"Steiermark Heute (Styria)"
"v2_l4"	"1145"	"Tirol Heute (Tyrol)"
"v2_l4"	"1146"	"Kaernten Heute (Carinthia)"
"v2_l4"	"1147"	"Salzburg Heute (Salzburg)"
"v2_l4"	"1148"	"Vorarlberg Heute (Vorarlberg)"
"v2_l4"	"1149"	"Burgenland Heute (Burgenland)"
"v2_l4"	"1211"	"ATV Aktuell 17:20"
"v2_l4"	"1212"	"ATV Aktuell 18:20"
"v2_l4"	"1213"	"ATV Aktuell 19:20"
"v2_l4"	"1214"	"ATV Aktuell: Im Fokus Spezial"
"v2_l4"	"1221"	"Puls 4 News 08:00"
"v2_l4"	"1222"	"Puls 4 News 18:45"
"v2_l4"	"1223"	"Puls 4 News 20:00"
"v2_l4"	"4111"	"Oe1 Morning News 07:00"
"v2_l4"	"4112"	"Oe1 Morning News 08:00"
"v2_l4"	"4113"	"Oe1 Midday News 12:00"
"v2_l4"	"4114"	"Oe1 Evening News 18:00"
"v2_l4"	"4115"	"Oe1 News (other)"
"v2_l4"	"4121"	"Radio Wien News (Vienna)"
"v2_l4"	"4122"	"Radio Niederoesterreich News (Lower Austria)"
"v2_l4"	"4123"	"Radio Oberoesterreich News (Upper Austria)"
"v2_l4"	"4124"	"Radio Steiermark News (Styria)"
"v2_l4"	"4125"	"Radio Tirol News (Tyrol)"
"v2_l4"	"4126"	"Radio Kaernten News (Carinthia)"
"v2_l4"	"4127"	"Radio Salzburg News (Salzburg)"
