gene_id	gene_name	Pat_03_biopsy	Pat_03_surgery	Pat_05_biopsy	Pat_05_surgery	Pat_06_biopsy	Pat_06_surgery	Pat_07_biopsy	Pat_07_surgery	Pat_08_biopsy	Pat_08_surgery
ENSG00000000003.15	TSPAN6	738	472	1207	1710	711	314	553	704	1170	230
ENSG00000000005.6	TNMD	6	6	0	12	6	17	4	0	28	0
ENSG00000000419.14	DPM1	613.999	589	942	820	1526.999	272	808	577	1276.169	467
ENSG00000000457.14	SCYL3	107	122.991	75	109	87	84	119	84	114	99
ENSG00000000460.17	C1orf112	11	26	28	49	54	0	30.363	23	44	2
ENSG00000000938.13	FGR	82	84	105	133	51	46	346	48	84	118
ENSG00000000971.16	CFH	109	269.86	195	314.636	93	153	206.882	253.978	178	428
ENSG00000001036.14	FUCA2	123	194	213	248	571	140	246	248	346	84
ENSG00000001084.13	GCLC	242	329	317	539	610	151.488	333	210.523	513.594	309.525
ENSG00000001167.15	NFYA	179	175	302	368	1012	99	427	133	417	194
ENSG00000001460.18	STPG1	57	70	58	35	30.999	24	25	24	38	106
ENSG00000001461.17	NIPAL3	187	320	293	111	108	191	146	191	440	230
ENSG00000001497.18	LAS1L	25	64	61	74	89	53	58	9	51	25
ENSG00000001561.7	ENPP4	191	175	144	295	182	47	140	187	178	128.038
ENSG00000001617.12	SEMA3F	224	178.367	89	14	90	37	265	144.026	208	172
ENSG00000001626.16	CFTR	283	200	363	133	132	41	194	332	220	22
ENSG00000001629.10	ANKIB1	194	257	312	331	519	95	244.001	176	417	194
ENSG00000001630.17	CYP51A1	437	966	683	397	1116	428	566	448	925.999	242.801
ENSG00000001631.16	KRIT1	569	541.428	511	776	683	307	532	770	675	958
ENSG00000002016.18	RAD52	27	27	41	149	41	50	98	71	99	29
ENSG00000002079.14	MYH16	0	1	1.153	0	0	1	3	0	0	0
ENSG00000002330.14	BAD	217	289	82	66	166	79	146	88	177	179
ENSG00000002549.13	LAP3	131	196	193	302	185	117	286	169	287	154
ENSG00000002586.20	CD99	2.029	669	0	0	1.014	6.23	333.955	661.981	652	10.062
ENSG00000002586.20_PAR_Y	CD99	354.971	0	494	951	907.986	419.77	338.045	13.019	0	938.938
ENSG00000002587.10	HS3ST1	58	38	44	26	64	8	37	15	91	37
ENSG00000002726.21	AOC1	317	584	557	129	416	175	455	273	369	460
ENSG00000002745.13	WNT16	2	0	0	0	0	0	0	1	0	0
ENSG00000002746.15	HECW1	16.102	7	0	1	1	4	1	0	1	16
ENSG00000002822.16	MAD1L1	123.067	119.872	40.893	139.383	159.853	113.043	111.026	63.446	132.359	90.092
ENSG00000002834.18	LASP1	2620	6552	3774	3374	5978	1301	2645	3503	6089	5110
