month,AOD_500nm,AOD_870nm,AE_440_870,obs_days,Total_AOD_500nm[tau_a],Fine_Mode_AOD_500nm[tau_f],Coarse_Mode_AOD_500nm[tau_c],FineModeFraction_500nm[eta]
2010-07,0.274226,0.213953,0.531175,27,0.277313,0.098392,0.178921,0.368267
2010-08,0.47034,0.389411,0.476961,24,0.350614,0.12172,0.228894,0.358619
2010-09,0.234899,0.169284,0.758553,28,0.235283,0.096488,0.138794,0.455413
2010-10,0.358978,0.309412,0.414574,25,0.359424,0.091416,0.268009,0.318977
2010-11,0.286302,0.141943,1.200448,26,0.283441,0.212953,0.070488,0.715851
2010-12,0.316746,0.186193,0.917567,18,0.314796,0.203374,0.111422,0.603449
2011-01,0.264088,0.129864,1.242381,17,0.262736,0.202292,0.060444,0.744869
2011-02,0.188816,0.084989,1.362765,7,0.18814,0.154201,0.033939,0.788422
2011-03,0.245218,0.143391,0.837488,10,0.245221,0.156887,0.088334,0.540978
2011-04,,,,0,,,,
2011-05,,,,0,,,,
2011-06,0.271853,0.203361,0.593972,5,0.255597,0.092381,0.163215,0.375368
2011-07,0.337169,0.257182,0.526847,17,0.328584,0.108776,0.219808,0.339148
2011-08,0.468571,0.396668,0.45032,30,0.46866,0.129395,0.339266,0.325698
2011-09,0.279322,0.215713,0.554325,29,0.278914,0.098489,0.180425,0.372358
2011-10,0.309706,0.234534,0.746082,18,0.30794,0.116117,0.191823,0.461855
2011-11,0.210643,0.091554,1.402579,12,0.208372,0.182346,0.026025,0.832556
2011-12,0.278157,0.124628,1.426854,13,0.275263,0.246613,0.02865,0.88659
2012-01,0.23578,0.099339,1.511818,20,0.233474,0.210481,0.022992,0.902028
2012-02,0.187923,0.083261,1.351495,10,0.184953,0.162446,0.022507,0.851374
2012-03,0.218358,0.132407,0.983227,5,0.215771,0.131963,0.083808,0.628918
2012-04,0.15274,0.088781,1.025109,14,0.151367,0.091719,0.059648,0.601446
2012-05,0.158401,0.102385,0.918752,19,0.157644,0.082657,0.074987,0.551387
2012-06,0.201675,0.133906,0.875156,29,0.200615,0.095322,0.105293,0.498681
2012-07,0.316397,0.219693,0.773356,29,0.315164,0.142486,0.172677,0.472858
2012-08,0.300671,0.228094,0.611448,30,0.300328,0.110638,0.189689,0.391354
