season,theta_gradient_med,theta_gradient_iqr,rh_850_med,height_diff_med,soundings
1961-DJF,24.790062335473493,1.9271412147125773,98.0,2181.5,2
1961-SON,11.391347460141162,0.0,56.0,2292.0,1
1962-DJF,24.243626425342654,0.0,,2188.0,1
1962-JJA,8.9634071491256,0.0,71.0,2284.0,1
1962-MAM,13.477682618318767,2.9655796944059887,80.0,2289.5,2
1962-SON,11.2122446110194,1.582227701623225,60.0,2271.0,3
1963-DJF,23.387268318997087,0.0,,2116.0,1
1963-MAM,4.725657995249094,0.0,33.0,2203.0,1
1963-SON,11.981766003974087,7.612328690817776,65.0,2232.0,2
1964-DJF,14.390459081383256,3.088001373752661,59.0,2273.0,3
1964-MAM,15.099066459205176,0.0,86.0,2251.0,1
1964-SON,16.3410123520909,0.0,,2268.0,1
1965-MAM,11.199546074946483,0.5324140299573799,86.0,2262.5,2
1966-DJF,15.937967558007898,3.20559655866046,82.5,2175.0,2
1966-JJA,3.5903216754729783,0.0,40.0,2387.0,1
1966-MAM,15.625262627654138,0.0,100.0,2285.0,1
1967-DJF,19.23337835428532,0.0,40.0,2202.0,1
1967-JJA,11.472696007042941,0.0,50.0,2316.0,1
1967-MAM,17.538381962193256,5.365544268043692,34.0,2257.5,2
1967-SON,18.070134320100294,0.0,22.0,2291.0,1
1968-DJF,21.235387441335092,4.2706874316312735,100.0,2219.0,3
1968-MAM,13.453939726298529,0.0,60.0,2238.0,1
1968-SON,14.44707222818937,0.0,19.0,2309.0,1
1969-DJF,11.92217533294189,0.0,44.0,2261.0,1
1969-MAM,13.862277896783496,0.0,16.0,2261.0,1
1969-SON,17.01178693475015,4.911900119756012,26.0,2241.0,3
1970-DJF,11.373228780548118,0.0,100.0,2153.0,1
1970-JJA,9.597010608672406,0.0,71.0,2362.0,1
1970-MAM,11.537249218451961,3.299643641635072,79.0,2234.0,3
1970-SON,12.10378882432667,1.6728396572285078,75.0,2324.0,3
1971-DJF,18.19169953730966,0.334394783254254,31.0,2177.5,2
1971-JJA,10.75694628260618,1.4510435070206142,71.0,2343.0,4
1971-MAM,10.730031076272638,3.242300799809783,80.5,2221.0,2
1971-SON,14.161486573076076,2.4015507307943125,46.5,2321.0,6
1972-DJF,12.632106054864437,4.845760751190255,49.0,2203.0,3
1972-JJA,9.772941143480864,5.130752757222211,75.0,2306.0,3
1972-MAM,16.615884487281903,8.38836476982145,89.5,2257.5,4
1972-SON,16.709600734231458,4.825326219421271,68.05,2300.0,4
1973-DJF,16.331223317275146,6.46806907718306,96.0,2250.0,3
1973-JJA,9.836034964851478,2.4370676737811436,77.0,2360.5,2
1973-MAM,2.0846840492815772,1.2901613719454872,39.0,2269.0,2
1973-SON,18.189315662164745,1.8235679099781805,62.0,2281.0,2
1974-DJF,21.445706365116962,0.0,100.0,2267.0,1
1974-MAM,15.254095580281614,4.595429226007724,89.0,2232.0,3
1974-SON,14.977238428939813,1.6884476945585902,25.0,2289.0,3
1975-DJF,16.252852294599506,4.151340671554323,33.0,2204.0,6
1975-JJA,12.349955527120528,1.7467150214902745,80.5,2333.5,2
1975-MAM,10.218781273103474,6.1156530093793435,58.0,2263.0,6
1975-SON,11.992411500927233,0.0,92.0,2351.0,1
1976-DJF,11.123092045452665,10.60529047352037,83.0,2245.0,5
1976-JJA,9.381466331457489,2.7240740680384334,76.0,2340.5,6
1976-MAM,9.565794534012184,3.5113539324865712,67.0,2326.0,3
1976-SON,12.118472376550386,4.935477593763736,78.5,2258.0,4
1977-DJF,17.18811632855278,1.2527954587458794,76.5,2141.5,2
1977-JJA,7.46252799440407,1.3353993267790543,78.0,2302.0,2
1977-MAM,13.724180157137766,2.6490407776887253,20.0,2273.0,3
1977-SON,15.178429989956157,7.84103838606876,72.0,2328.0,3
1978-DJF,13.96915956176909,0.9247453041181473,45.0,2184.5,2
1978-JJA,10.163949073541175,1.570059431072437,72.5,2344.5,4
1978-MAM,18.626359265046972,1.6529307515717733,54.5,2244.5,2
1978-SON,15.528831669534554,5.675865323252594,34.0,2317.0,9
1979-DJF,18.984039337178217,4.623998612466892,71.0,2154.0,5
1979-JJA,11.544654378122914,5.9599962277371645,74.0,2329.5,4
1979-MAM,10.78141886964562,2.8807913807248724,68.5,2296.5,4
1979-SON,13.889261126086069,4.032718967086623,79.0,2279.0,8
1980-DJF,14.827502684265426,1.898104946290232,23.0,2204.0,3
1980-JJA,7.987731654777633,1.622308325992833,70.0,2360.0,7
1980-MAM,11.782754249195705,5.6577466436593795,68.0,2282.0,5
1980-SON,13.94494978778576,3.966851690396936,66.0,2287.5,4
1981-DJF,16.73123184298285,1.5691349459660557,88.0,2171.0,4
1981-JJA,11.8126469797553,3.15380990629329,72.0,2339.0,6
1981-MAM,10.707144646389736,5.957845793573895,71.5,2288.0,4
1981-SON,14.059898284492505,10.45059218846913,59.5,2277.5,6
1982-DJF,20.634586213605075,5.059023187713805,87.5,2214.5,8
1982-MAM,17.14902821225857,1.250080747575879,95.0,2158.0,2
1982-SON,15.753571332484057,0.0,87.0,2286.0,1
1983-DJF,12.022440277424977,3.455762665830406,71.0,2231.0,4
1983-JJA,7.076609371838742,0.0,63.0,2329.0,1
1983-MAM,11.811060822598677,6.1738863248265545,69.5,2301.5,6
1983-SON,11.884342537779219,2.1791949429896817,65.0,2303.0,7
1984-DJF,16.815888750135855,4.625686804076949,62.0,2198.0,6
1984-JJA,8.625966818676204,4.033978927628112,86.0,2339.0,3
1984-MAM,15.832078401097704,3.545216695347733,86.5,2250.5,2
1984-SON,16.850938811159494,4.473601195742333,96.0,2306.0,7
1985-DJF,14.730546100033678,0.0,33.0,2151.0,1
1985-JJA,8.406520532128752,3.877032813369965,63.0,2332.0,5
1985-MAM,15.181407514182297,0.8599973026219345,90.5,2291.5,2
1985-SON,14.749589264733146,6.873234933354894,97.0,2324.0,2
1986-DJF,12.37555666817346,7.1077296196356485,50.5,2149.0,8
1986-JJA,15.237028152912984,7.707338909793194,69.0,2336.0,4
1986-MAM,13.342562402899091,3.2380679544521627,96.0,2255.0,3
1986-SON,17.86695774293321,0.0,95.0,2264.0,1
1987-DJF,22.428524206079715,11.266937693414093,22.0,2208.0,5
1987-JJA,11.179306333264577,3.0979218150965266,77.5,2347.5,4
1987-MAM,12.041950324087566,0.7047053684894422,69.0,2289.0,2
1987-SON,11.730636760803293,3.595680003614376,94.0,2278.0,3
1988-DJF,15.64133754694734,0.7102615579476037,70.0,2161.5,2
1988-JJA,8.831128411994086,4.284378475779562,73.0,2314.0,3
1988-MAM,7.3599471977451,1.1000141668764059,76.5,2313.0,2
1988-SON,12.774631429954923,6.055235248284248,77.0,2274.0,4
1989-DJF,21.003505431770748,3.176229454212944,90.0,2239.0,5
1989-JJA,9.912226181289157,1.9752886708033657,75.0,2349.0,5
1989-SON,22.719666050651142,0.0,89.0,2156.0,1
1990-DJF,17.749305644670983,10.182474748661946,50.0,2249.0,5
1990-JJA,12.370356993764887,2.5108053810136255,63.5,2350.5,6
1990-MAM,7.9136955062490415,1.7264324762215892,57.0,2298.0,3
1990-SON,16.966214747844333,2.1720064119089955,42.0,2321.0,3
1991-DJF,20.61505959601689,4.129045181538359,67.0,2251.0,4
1991-JJA,12.201662074834246,2.089963904884229,95.0,2351.0,3
1991-MAM,10.573358600578956,5.717637643810804,72.0,2258.0,5
1991-SON,12.995329425369448,2.3307760673884843,57.0,2284.0,3
1992-DJF,13.65553014630899,6.999393204021487,54.0,2223.5,56
1992-JJA,10.433926691324302,4.187519286591382,75.0,2336.5,180
1992-MAM,10.264350063962297,6.061419098308221,67.0,2263.0,178
1992-SON,14.030599203014077,6.535035535811701,70.0,2293.0,174
1993-DJF,17.360008808090726,8.117526050491094,66.1,2207.0,168
1993-JJA,8.861420001547884,4.095058360773393,73.55000000000001,2353.5,188
1993-MAM,10.765022393147149,6.583017573889833,68.9,2270.0,181
1993-SON,12.93157754421307,5.8672044658940905,66.7,2286.5,178
1994-DJF,15.95225225123744,7.59731430256889,71.8,2202.0,179
1994-JJA,9.613941990103001,3.995552483384131,71.85,2347.0,173
1994-MAM,11.114626354737368,7.613058385836979,58.2,2258.0,179
1994-SON,13.3022189654734,5.750071523539475,59.2,2297.0,183
1995-DJF,15.249599921867741,7.472051144934085,48.6,2216.0,173
1995-JJA,10.132995811937121,2.965910530431074,75.0,2354.0,217
1995-MAM,11.198621589840059,6.99823527793356,59.5,2265.0,183
1995-SON,13.203141319152849,7.0484017616596475,68.4,2295.0,178
1996-DJF,16.02527115336187,8.40374400557991,74.75,2188.0,183
1996-JJA,9.509113364237123,3.566711758161148,72.65,2336.0,186
1996-MAM,10.865949009680492,7.949632975329109,65.0,2253.0,187
1996-SON,12.07773008013055,6.5609288619953645,69.5,2290.0,169
1997-DJF,15.338090815384305,6.969067602983202,66.0,2217.5,176
1997-JJA,8.782319283853099,3.9701554112381814,71.9,2337.0,177
1997-MAM,11.185193358747853,7.857108665952097,61.05,2243.0,176
1997-SON,12.34221953142449,7.091192457789276,73.0,2280.5,172
1998-DJF,15.28597332699195,6.157748021974271,72.5,2222.0,181
1998-JJA,9.928495890669524,3.8926408507000474,73.4,2347.0,189
1998-MAM,9.564471189911728,5.8275180611086626,66.3,2278.0,175
1998-SON,13.008430432700948,6.037379381747314,59.35,2292.0,165
1999-DJF,15.200391934732636,6.0371799522503125,60.55,2229.5,164
1999-JJA,9.377895158149983,4.873473675511988,65.0,2344.0,164
1999-MAM,11.399482314831346,8.339852466221075,58.05,2256.0,170
1999-SON,12.54665142972317,5.365281454987496,58.2,2298.0,185
2000-DJF,15.106870477870245,8.516113837054718,61.0,2207.0,179
2000-JJA,9.74357403903349,3.5116847685117136,70.4,2336.0,167
2000-MAM,10.086502535971988,7.036428281196066,56.9,2269.0,178
2000-SON,12.956643780333792,6.414730279143811,62.45,2292.0,168
2001-DJF,15.957808440695658,6.809211987467876,54.6,2190.0,164
2001-JJA,9.34303988721345,4.066717775885792,74.55,2340.5,174
2001-MAM,10.841671212728102,7.679791403483975,64.05000000000001,2253.0,182
2001-SON,12.309281253669724,5.573581351134237,62.9,2295.0,174
2002-DJF,14.285698478486438,6.4761359089042685,49.7,2225.0,181
2002-JJA,8.448187313654955,4.926846485035867,69.1,2353.0,167
2002-MAM,11.249415734131901,6.173492105242389,61.0,2270.5,171
2002-SON,13.375695470741022,5.072646208893161,75.69999999999999,2296.5,184
2003-DJF,16.66152130110973,7.565076347758776,70.0,2187.0,184
2003-JJA,9.283118380156111,3.6028223502291894,75.0,2344.0,181
2003-MAM,11.439494916231922,7.524830305376611,70.0,2275.0,185
2003-SON,12.545989757672828,5.280420478927539,72.4,2308.0,183
2004-DJF,17.04843243175037,6.913909206805755,59.1,2198.0,179
2004-JJA,9.492512818831699,3.8999826268119193,74.6,2342.0,192
2004-MAM,9.493709395814108,5.279894852815261,67.6,2283.0,191
2004-SON,13.625238556755164,4.58299350299086,75.6,2300.0,189
2005-DJF,16.462509546331205,6.254276375137238,64.75,2207.5,186
2005-JJA,9.709049604122015,3.1352243447370256,74.9,2355.0,187
2005-MAM,10.471097814436803,7.191360007228752,64.15,2255.0,185
2005-SON,12.925359682704652,4.203263369859428,67.8,2317.0,180
2006-DJF,14.253159059725732,7.603366746064765,60.85,2202.5,188
2006-JJA,8.771868576987004,3.9610280484727696,74.9,2351.0,201
2006-MAM,9.507196371055386,6.8045849225260895,60.2,2263.0,185
2006-SON,13.066765782601692,5.08210904709378,73.0,2298.0,182
2007-DJF,14.257654718139577,7.202998012257325,58.2,2213.0,183
2007-JJA,7.9799276361125635,3.639166383278848,68.0,2349.0,190
2007-MAM,10.162362916384552,8.250962713710464,64.3,2273.0,187
2007-SON,12.596851924933702,6.764601693200106,70.69999999999999,2313.0,184
2008-DJF,15.656614748252366,8.708703661417758,68.7,2220.0,193
2008-JJA,7.71484453573737,3.908613735539774,68.6,2343.0,198
2008-MAM,10.065406332152804,6.5010073549379115,60.6,2268.0,175
2008-SON,12.71861193223009,5.470440916878573,69.2,2295.0,183
2009-DJF,15.24099818521455,8.45274792380809,64.1,2205.0,181
2009-JJA,8.60123141858054,3.8859607466384176,78.05,2339.5,196
2009-MAM,12.195805063547226,7.18117211341891,63.8,2275.5,190
2009-SON,14.342905274373692,6.387348190847163,82.3,2296.0,180
2010-DJF,15.944779068597569,5.553312237377767,72.9,2187.0,190
2010-JJA,9.449785506261037,3.596341675664604,73.0,2359.0,195
2010-MAM,10.203368025860527,5.560585990520622,59.75,2277.0,187
2010-SON,12.3428131805058,6.712785668758386,59.5,2293.0,185
2011-DJF,15.390869975826831,5.552052276836264,67.2,2177.0,185
2011-JJA,9.101368842833324,4.497013251737428,68.69999999999999,2355.0,197
2011-MAM,11.036023546344182,6.7328553530176976,66.9,2273.0,186
2011-SON,11.81463199590604,5.757281893123235,71.6,2302.0,183
2012-DJF,14.80276728416976,6.736557932853103,58.8,2223.0,182
2012-JJA,7.90439809172517,3.5790454467244217,70.95,2345.0,192
2012-MAM,9.965667013781967,5.205883442615516,60.55,2293.0,183
2012-SON,13.483170784807896,5.890684544858189,66.5,2287.5,192
2013-DJF,16.333870005476115,9.428423418156001,69.69999999999999,2218.0,179
2013-JJA,9.811299564755814,3.3827143916314526,71.05,2345.0,185
2013-MAM,10.755758984443617,6.486527871621178,59.9,2254.0,183
2013-SON,13.459233102700523,6.428650124863793,69.6,2293.0,181
2014-DJF,15.529629387522874,8.426494389524763,60.0,2196.0,182
2014-JJA,10.370103174934485,3.6249790850928036,72.19999999999999,2337.0,186
2014-MAM,12.011327898508739,9.396020045333387,53.6,2272.0,187
2014-SON,13.110018721284519,5.622424490759727,69.05000000000001,2292.0,181
2015-DJF,16.517740604887706,7.272377718105417,63.65,2200.0,179
2015-JJA,9.861432036997428,4.43841508878063,71.9,2343.0,189
2015-MAM,10.310580526871234,7.5324348945445365,60.7,2271.0,184
2015-SON,13.543092291865207,5.73982286250191,64.25,2310.0,185
2016-DJF,14.768904521308684,7.157098385373473,65.6,2229.0,187
2016-JJA,9.811299564755814,3.40718697867095,68.19999999999999,2355.0,183
2016-MAM,11.136715066632007,5.867335872422075,64.4,2277.0,183
2016-SON,12.57727385530211,6.5435012265269705,66.6,2311.0,192
2017-DJF,14.504152256958491,7.662266372972184,60.6,2228.5,178
2017-JJA,8.618162800011135,4.338150144297629,68.85,2347.0,185
2017-MAM,11.538173703558385,6.640627868181241,68.9,2283.0,184
2017-SON,12.661337113373804,7.219267721637607,63.0,2308.0,193
2018-DJF,15.582340524996425,6.691816232057263,60.4,2221.0,172
2018-JJA,10.278897570247977,3.509767775329948,73.1,2351.0,175
2018-MAM,10.847568879844289,5.406286564463528,58.8,2259.0,175
2018-SON,13.439518987130953,6.307619812586552,79.0,2323.0,185
2019-DJF,16.897579683920128,6.84738879706552,60.8,2214.0,170
2019-JJA,8.872133521470118,4.253162401119454,68.5,2351.0,183
2019-MAM,10.596759831065697,6.885933469427869,66.7,2282.0,177
2019-SON,13.226553375147944,6.488046005808883,61.7,2311.0,181
2020-DJF,14.338078779934818,6.5784538925071985,66.9,2224.0,170
2020-JJA,9.103353858984178,3.1495770609355986,70.95,2354.0,183
2020-MAM,11.188832555024305,7.401017258960451,61.6,2260.0,177
2020-SON,13.751163386440197,4.695032498440526,66.4,2308.5,182
2021-DJF,16.699947745353683,7.413949236014901,69.8,2205.5,170
2021-JJA,8.737344142075528,3.339724266004737,69.1,2354.0,185
2021-MAM,10.032730867454063,6.002854946835839,58.7,2261.0,175
2021-SON,12.065430403051693,4.893115128702675,72.8,2306.0,170
2022-DJF,14.985704119655026,8.22599387263314,59.3,2216.0,190
2022-JJA,9.051898042642051,3.154602984871559,72.65,2350.5,180
2022-MAM,11.425473036058463,7.624997854816144,69.4,2292.5,144
2022-SON,13.032624723663417,5.879834978998005,68.0,2294.0,190
2023-DJF,14.951977402731899,6.7765606861832595,66.8,2231.0,178
2023-JJA,8.754275523506237,3.9112264122562976,70.7,2344.0,183
2023-MAM,10.023739550626544,6.57660492229428,58.0,2268.0,183
2023-SON,12.019131917173695,5.675865323252538,68.15,2299.0,185
2024-DJF,13.967174545618377,5.971570849206671,73.5,2221.0,179
2024-JJA,9.15348633122565,4.312057388616864,73.0,2356.0,188
2024-MAM,11.009992518958654,7.16807935776167,71.75,2285.0,178
2024-SON,13.388199216726832,5.862305309076191,64.2,2315.0,179
2025-DJF,15.146688289183714,8.747062082692764,68.2,2188.0,173
2025-JJA,9.9562088149913,3.9545473739080848,76.3,2354.0,180
2025-MAM,10.400725600513397,5.934993375175452,63.4,2285.0,177
2025-SON,11.653122200265159,5.972405507380131,71.1,2323.0,112
