month,theta_gradient_med,theta_gradient_iqr,rh_850_med,height_diff_med,soundings,AOD_500nm,AOD_870nm,AE_440_870,obs_days,Total_AOD_500nm[tau_a],Fine_Mode_AOD_500nm[tau_f],Coarse_Mode_AOD_500nm[tau_c],FineModeFraction_500nm[eta]
2010-07,9.449785506261037,3.9440966670420607,70.0,2368.0,65,0.274226,0.213953,0.531175,27,0.277313,0.098392,0.178921,0.368267
2010-08,9.843838983516548,3.0421017468687523,78.3,2356.0,65,0.47034,0.389411,0.476961,24,0.350614,0.12172,0.228894,0.358619
2010-09,9.876446425246172,6.651141958606374,60.6,2339.0,64,0.234899,0.169284,0.758553,28,0.235283,0.096488,0.138794,0.455413
2010-10,11.79637727037499,5.300728243578533,58.3,2285.0,61,0.358978,0.309412,0.414574,25,0.359424,0.091416,0.268009,0.318977
2010-11,15.332534625926144,5.642167978403819,58.2,2255.0,60,0.286302,0.141943,1.200448,26,0.283441,0.212953,0.070488,0.715851
2010-12,15.16560468676505,5.27069946708076,71.0,2163.0,65,0.316746,0.186193,0.917567,18,0.314796,0.203374,0.111422,0.603449
2011-01,15.469707880465592,6.874227441430264,67.5,2169.0,63,0.264088,0.129864,1.242381,17,0.262736,0.202292,0.060444,0.744869
2011-02,15.503570643326725,4.691797587100666,53.650000000000006,2208.0,57,0.188816,0.084989,1.362765,7,0.18814,0.154201,0.033939,0.788422
2011-03,14.405804305657199,5.094345340613486,58.2,2218.0,60,0.245218,0.143391,0.837488,10,0.245221,0.156887,0.088334,0.540978
2011-04,11.106686290134292,7.870600280603298,66.55,2269.0,61,,,,0,,,,
2011-05,8.613667141597375,3.9563963441209467,68.3,2308.0,65,,,,0,,,,
2011-06,8.831790084044371,4.184444367321646,65.0,2343.0,61,0.271853,0.203361,0.593972,5,0.255597,0.092381,0.163215,0.375368
2011-07,9.286027881413276,3.57077918550614,69.5,2364.0,64,0.337169,0.257182,0.526847,17,0.328584,0.108776,0.219808,0.339148
2011-08,9.077295114787972,4.998978322493699,69.8,2351.0,72,0.468571,0.396668,0.45032,30,0.46866,0.129395,0.339266,0.325698
2011-09,11.043193609769617,3.337188424931526,81.5,2336.5,62,0.279322,0.215713,0.554325,29,0.278914,0.098489,0.180425,0.372358
2011-10,11.81463199590604,5.488856421012173,73.35,2280.5,62,0.309706,0.234534,0.746082,18,0.30794,0.116117,0.191823,0.461855
2011-11,13.767170282764425,5.731155125957997,44.5,2283.0,59,0.210643,0.091554,1.402579,12,0.208372,0.182346,0.026025,0.832556
2011-12,15.636705842595603,6.206459755071734,51.5,2238.5,62,0.278157,0.124628,1.426854,13,0.275263,0.246613,0.02865,0.88659
2012-01,14.788414567971188,6.278977763748458,59.6,2215.0,62,0.23578,0.099339,1.511818,20,0.233474,0.210481,0.022992,0.902028
2012-02,13.243027153435264,6.905706329146483,57.2,2215.0,58,0.187923,0.083261,1.351495,10,0.184953,0.162446,0.022507,0.851374
2012-03,10.112366490081058,4.813552168454635,61.4,2287.0,61,0.218358,0.132407,0.983227,5,0.215771,0.131963,0.083808,0.628918
2012-04,10.42175322228158,8.140469468711899,49.7,2254.0,58,0.15274,0.088781,1.025109,14,0.151367,0.091719,0.059648,0.601446
2012-05,9.417644946494505,2.796066450603007,69.15,2315.5,64,0.158401,0.102385,0.918752,19,0.157644,0.082657,0.074987,0.551387
2012-06,7.8907750705457715,5.411706707983626,62.3,2327.0,63,0.201675,0.133906,0.875156,29,0.200615,0.095322,0.105293,0.498681
2012-07,7.648442354115446,2.914785550114175,71.2,2366.0,67,0.316397,0.219693,0.773356,29,0.315164,0.142486,0.172677,0.472858
