user;blinding code;replica;Time;breed;Animal ID;material;Colour Skin;Crispness Skin;Greasy mouthfeel Skin;Fried chicken flavour Skin;Salt taste Skin;Fat flavour Skin;ami Aftertaste Skin
1001;386;1;11/08/2023, 09:43:00;Dual_PurposexNo_Enchriment;DP-001;Skin;9,52;14,95;2,4;12,84;1,43;1,85;14,79
1002;386;1;11/08/2023, 09:43:02;Dual_PurposexNo_Enchriment;DP-001;Skin;10,02;10,26;1,34;12,66;10,24;10,77;12,15
1003;386;1;11/08/2023, 09:43:04;Dual_PurposexNo_Enchriment;DP-001;Skin;10,13;5,3;12,48;11,96;7,21;12,48;3,54
1004;386;1;11/08/2023, 09:43:21;Dual_PurposexNo_Enchriment;DP-001;Skin;11,56;10,48;1,91;12,37;5,14;1,93;7,12
1005;386;1;11/08/2023, 09:43:39;Dual_PurposexNo_Enchriment;DP-001;Skin;12,69;10,77;5,14;11,91;8,17;2,51;8,49
1006;386;1;11/08/2023, 09:43:39;Dual_PurposexNo_Enchriment;DP-001;Skin;10,33;13,19;3,41;11,32;3,89;0,7;12,7
1007;386;1;11/08/2023, 09:43:28;Dual_PurposexNo_Enchriment;DP-001;Skin;12,97;8,7;8,95;8,68;8,2;9,8;4,07
1008;386;1;11/08/2023, 09:43:04;Dual_PurposexNo_Enchriment;DP-001;Skin;13,14;9,43;6,2;6,79;8,88;7,08;6,2
1001;302;1;11/09/2023, 09:55:26;Dual_PurposexNo_Enchriment;DP-002;Skin;14,68;12,02;1,6;8,22;8,37;0,13;9,71
1002;302;1;11/09/2023, 09:55:30;Dual_PurposexNo_Enchriment;DP-002;Skin;10,44;8,53;2,59;10,9;6,64;6,31;7,27
1003;302;1;11/09/2023, 09:55:52;Dual_PurposexNo_Enchriment;DP-002;Skin;12,68;10,75;7,21;11,3;11,85;7,93;8,33
1004;302;1;11/09/2023, 09:56:12;Dual_PurposexNo_Enchriment;DP-002;Skin;11,65;9,71;3,14;10,07;5,34;2,55;7,43
1005;302;1;11/09/2023, 09:56:01;Dual_PurposexNo_Enchriment;DP-002;Skin;12,94;13,23;2,29;12,66;10,46;1,17;7,43
1006;302;1;11/09/2023, 09:55:53;Dual_PurposexNo_Enchriment;DP-002;Skin;11,3;13,6;9,12;11,1;5,14;5,6;13,19
1007;302;1;11/09/2023, 09:55:40;Dual_PurposexNo_Enchriment;DP-002;Skin;13,14;11,19;9,58;8;8,22;9,76;5,82
1008;302;1;11/09/2023, 09:55:56;Dual_PurposexNo_Enchriment;DP-002;Skin;11,08;9,67;11,47;6;10,88;13,69;11,96
1001;354;1;11/10/2023, 09:05:36;Dual_PurposexNo_Enchriment;DP-003;Skin;7,74;4,35;0,31;1,05;0,95;4,81;0,75
1002;354;1;11/10/2023, 09:06:01;Dual_PurposexNo_Enchriment;DP-003;Skin;6,35;7,8;2,62;9,08;4,35;2,55;7,54
1003;354;1;11/10/2023, 09:06:27;Dual_PurposexNo_Enchriment;DP-003;Skin;10,57;9,16;9,23;12,04;9,43;10,97;5,93
1004;354;1;11/10/2023, 09:06:37;Dual_PurposexNo_Enchriment;DP-003;Skin;7,45;2,86;4,7;10,51;9,76;1,82;3,93
1005;354;1;11/10/2023, 09:06:32;Dual_PurposexNo_Enchriment;DP-003;Skin;3,4;3,26;9,29;6,71;5,71;8,43;7,71
1006;354;1;11/10/2023, 09:06:20;Dual_PurposexNo_Enchriment;DP-003;Skin;3,89;10,29;6,88;9,3;1,36;6,35;10,37
1007;354;1;11/10/2023, 09:06:04;Dual_PurposexNo_Enchriment;DP-003;Skin;10,29;9,16;10,73;7,91;10,35;11,05;4,37
1008;354;1;11/10/2023, 09:05:56;Dual_PurposexNo_Enchriment;DP-003;Skin;7,8;1,76;14,33;3,98;4,48;14,7;5,91
1001;170;1;11/13/2023, 09:34:49;Dual_PurposexNo_Enchriment;DP-004;Skin;14,42;10,64;4,95;7,01;7,52;7,63;9,21
1002;170;1;11/13/2023, 09:35:16;Dual_PurposexNo_Enchriment;DP-004;Skin;9,8;9,71;1,91;12,53;3,38;2,35;7,98
1003;170;1;11/13/2023, 09:35:31;Dual_PurposexNo_Enchriment;DP-004;Skin;12,57;9,69;9,98;6,68;12,33;12,26;3,71
1004;170;1;11/13/2023, 09:35:50;Dual_PurposexNo_Enchriment;DP-004;Skin;12,18;3,27;2,77;8,04;6,55;3,78;4,57
1005;170;1;11/13/2023, 09:35:42;Dual_PurposexNo_Enchriment;DP-004;Skin;14,23;13;2,74;11,06;7,89;3,06;7,91
1006;170;1;11/13/2023, 09:35:31;Dual_PurposexNo_Enchriment;DP-004;Skin;13,25;11,08;7,43;10,18;2,68;2,59;10,97
1007;170;1;11/13/2023, 09:35:13;Dual_PurposexNo_Enchriment;DP-004;Skin;11,38;11,6;7,85;8,13;8,48;9,21;5,56
1008;170;1;11/13/2023, 09:35:10;Dual_PurposexNo_Enchriment;DP-004;Skin;10,64;8,33;6,35;3,08;10,35;5,96;6,77
1001;366;1;11/15/2023, 09:24:17;Dual_PurposexNo_Enchriment;DP-005;Skin;8,7;12,4;8,59;13,76;6,13;8,48;4,24
1002;366;1;11/15/2023, 09:24:32;Dual_PurposexNo_Enchriment;DP-005;Skin;10,31;11,69;2,51;10,59;10,29;9,63;8,73
1003;366;1;11/15/2023, 09:24:40;Dual_PurposexNo_Enchriment;DP-005;Skin;10,66;11,08;8,22;11,32;13,14;8,18;10,57
1004;366;1;11/15/2023, 09:24:54;Dual_PurposexNo_Enchriment;DP-005;Skin;7,91;9,27;5,45;13,71;6,55;3,14;7,56
1005;366;1;11/15/2023, 09:25:05;Dual_PurposexNo_Enchriment;DP-005;Skin;7,17;8,09;1,03;10,69;10,94;2,91;7,83
1006;366;1;11/15/2023, 09:24:50;Dual_PurposexNo_Enchriment;DP-005;Skin;4,68;4,68;11,54;11,3;6,64;3,89;10,88
1007;366;1;11/15/2023, 09:24:46;Dual_PurposexNo_Enchriment;DP-005;Skin;11,74;8,48;9,08;9,27;7,74;9,54;4,95
1008;366;1;11/15/2023, 09:24:25;Dual_PurposexNo_Enchriment;DP-005;Skin;9,78;2,97;12,07;8,68;3,98;10,55;0,53
1001;154;1;11/13/2023, 09:55:00;Dual_PurposexNo_Enchriment;DP-006;Skin;11,76;8,79;9,6;13,56;1,12;10,66;14,95
1002;154;1;11/13/2023, 09:55:04;Dual_PurposexNo_Enchriment;DP-006;Skin;9,52;1,27;1,25;11,76;4,84;2,66;5,49
1003;154;1;11/13/2023, 09:54:55;Dual_PurposexNo_Enchriment;DP-006;Skin;11,89;8,35;10,59;5,89;10,99;10,95;4,35
1004;154;1;11/13/2023, 09:55:42;Dual_PurposexNo_Enchriment;DP-006;Skin;7,91;2,11;2,33;8,68;3,69;2,44;4,24
1005;154;1;11/13/2023, 09:55:38;Dual_PurposexNo_Enchriment;DP-006;Skin;10,57;2,57;6,57;7,46;11,51;10,54;8,6
1006;154;1;11/13/2023, 09:55:31;Dual_PurposexNo_Enchriment;DP-006;Skin;12,48;7,3;6,35;8,81;2,48;2,35;11,19
1007;154;1;11/13/2023, 09:55:26;Dual_PurposexNo_Enchriment;DP-006;Skin;11,58;9,65;7,43;7,49;7,96;8,18;3,93
1008;154;1;11/13/2023, 09:55:00;Dual_PurposexNo_Enchriment;DP-006;Skin;12,46;8,75;10,77;4,37;6,99;9,96;9,82
1001;594;1;11/15/2023, 10:14:07;Dual_PurposexNo_Enchriment;DP-007;Skin;9,54;8,33;10,95;9,3;3,65;8,11;9,49
1002;594;1;11/15/2023, 10:14:11;Dual_PurposexNo_Enchriment;DP-007;Skin;5,87;7,89;5,01;8,81;6,11;6,04;6,13
1003;594;1;11/15/2023, 10:14:50;Dual_PurposexNo_Enchriment;DP-007;Skin;8,55;7,8;10,92;12,37;6,29;4,51;7,16
1004;594;1;11/15/2023, 10:14:42;Dual_PurposexNo_Enchriment;DP-007;Skin;5,8;2,66;4,62;3,03;4,24;3,6;2,99
1005;594;1;11/15/2023, 10:14:58;Dual_PurposexNo_Enchriment;DP-007;Skin;7,29;6,83;5,77;11,6;8,6;2;7,46
1006;594;1;11/15/2023, 10:14:44;Dual_PurposexNo_Enchriment;DP-007;Skin;5,89;12,77;9,03;10,29;8,22;4,53;12,88
1007;594;1;11/15/2023, 10:14:26;Dual_PurposexNo_Enchriment;DP-007;Skin;10,07;4,79;8,75;8,04;9,91;9,76;5,3
1008;594;1;11/15/2023, 10:14:27;Dual_PurposexNo_Enchriment;DP-007;Skin;4,42;11,87;9,38;6,02;6,42;12,42;11,3
1001;234;1;11/17/2023, 09:04:28;Dual_PurposexNo_Enchriment;DP-008;Skin;10,77;1,23;10,53;9,43;4,2;5,63;5,01
1002;234;1;11/17/2023, 09:04:21;Dual_PurposexNo_Enchriment;DP-008;Skin;9,67;11,63;2,55;6,07;5,16;4,48;2,84
1003;234;1;11/17/2023, 09:04:33;Dual_PurposexNo_Enchriment;DP-008;Skin;11,05;11,91;4,95;11,96;8,79;6,57;8,35
1004;234;1;11/17/2023, 09:04:57;Dual_PurposexNo_Enchriment;DP-008;Skin;10,15;10,02;4,77;13,1;5,34;3,23;6,53
1005;234;1;11/17/2023, 09:05:29;Dual_PurposexNo_Enchriment;DP-008;Skin;5,34;8,14;2,11;7,23;10,31;2,74;7,34
1006;234;1;11/17/2023, 09:05:14;Dual_PurposexNo_Enchriment;DP-008;Skin;11,08;13,19;6,24;11,3;6,2;1,1;11,12
1007;234;1;11/17/2023, 09:04:54;Dual_PurposexNo_Enchriment;DP-008;Skin;11,54;8,95;9,05;8,95;9,27;8,86;4,24
