user;blinding code;replica;Time;breed;Animal ID;material;Hardness at 1 bite Thigh;Boiled chicken flavour Thigh;Juiciness Thigh;Tenderness Thigh;Stringy Thigh;Crumbling Thigh
1001;231;1;11/01/2023, 09:07:11;High_spacexRoughage;HR-WP4-003;Thigh;1,23;14,37;11,93;12,2;2,77;8,2
1002;231;1;11/01/2023, 09:07:24;High_spacexRoughage;HR-WP4-003;Thigh;4,33;12,22;11,12;11,41;11,25;3,38
1003;231;1;11/01/2023, 09:07:38;High_spacexRoughage;HR-WP4-003;Thigh;7,01;8,88;12,57;5,1;8,04;2,95
1004;231;1;11/01/2023, 09:10:04;High_spacexRoughage;HR-WP4-003;Thigh;2,64;13,38;12,02;11,85;4,84;9,12
1005;231;1;11/01/2023, 09:08:39;High_spacexRoughage;HR-WP4-003;Thigh;1,46;9;7,23;11,31;1;1,66
1006;231;1;11/01/2023, 09:07:50;High_spacexRoughage;HR-WP4-003;Thigh;9,36;10,86;5,63;11,25;3,47;11,87
1007;231;1;11/01/2023, 09:07:33;High_spacexRoughage;HR-WP4-003;Thigh;4,4;9,41;10,46;10,4;9,03;9,1
1008;231;1;11/01/2023, 09:07:23;High_spacexRoughage;HR-WP4-003;Thigh;6,11;13,45;6,75;13,01;1,16;13,1
1001;303;1;11/02/2023, 08:55:31;High_spacexRoughage;HR-WP4-005;Thigh;9,49;4,24;10,81;6,09;8,15;2,02
1002;303;1;11/02/2023, 08:55:43;High_spacexRoughage;HR-WP4-005;Thigh;3,85;10,2;9,87;10,26;6,9;0,64
1003;303;1;11/02/2023, 08:56:17;High_spacexRoughage;HR-WP4-005;Thigh;6,7;11,91;6,68;6,44;7,54;10,09
1004;303;1;11/02/2023, 08:56:32;High_spacexRoughage;HR-WP4-005;Thigh;11,14;12,66;10,79;4,02;10,66;2,2
1005;303;1;11/02/2023, 08:56:22;High_spacexRoughage;HR-WP4-005;Thigh;7,26;4,86;5;8,51;8,2;1,11
1006;303;1;11/02/2023, 08:56:24;High_spacexRoughage;HR-WP4-005;Thigh;4,88;7,71;8,9;14,09;7,16;11,19
1007;303;1;11/02/2023, 08:55:57;High_spacexRoughage;HR-WP4-005;Thigh;8,51;9,71;8,29;8,44;8,42;11,14
1008;303;1;11/02/2023, 08:55:55;High_spacexRoughage;HR-WP4-005;Thigh;9,87;9,1;6;11,93;4,24;10,33
1001;415;1;11/02/2023, 09:05:25;High_spacexRoughage;HR-WP4-006;Thigh;2,46;10,44;10,7;10,79;4,02;7,87
1002;415;1;11/02/2023, 09:05:49;High_spacexRoughage;HR-WP4-006;Thigh;4,92;11,34;10,48;11,87;8,04;0,33
1003;415;1;11/02/2023, 09:06:03;High_spacexRoughage;HR-WP4-006;Thigh;11,74;11,98;1,41;9,25;0,44;12,99
1004;415;1;11/02/2023, 09:06:13;High_spacexRoughage;HR-WP4-006;Thigh;2,88;13,05;12,46;12,18;9,03;3,45
1005;415;1;11/02/2023, 09:06:21;High_spacexRoughage;HR-WP4-006;Thigh;4,2;8,6;3,09;9,14;6,29;5,14
1006;415;1;11/02/2023, 09:06:33;High_spacexRoughage;HR-WP4-006;Thigh;6,09;4,64;4,64;14,13;7,47;11,49
