Time (MET),Time (MJD),Exposure,rate (0.3-1.5 keV),error on rate (0.3-1.5 keV),rate (1.5-10.0 keV),error on rate (1.5-10.0 keV)
559329779.753,58383.694,1950.0,0.004,0.002,0.001,0.001
559867539.602,58389.945,749.0,0.049,0.009,0.0,0.0
560141518.824,58393.117,472.0,0.032,0.009,0.0,0.0
560373857.082,58395.454,2984.0,0.025,0.003,0.0,0.0
560411982.474,58396.248,507.0,0.02,0.007,0.0,0.0
560554384.331,58397.842,1873.0,0.048,0.005,0.0,0.0
560647777.475,58398.976,634.0,0.045,0.009,0.0,0.0
560713344.18,58399.64,2427.0,0.031,0.004,0.001,0.001
560839955.506,58401.083,1443.0,0.028,0.005,0.002,0.001
561132207.208,58403.747,477.0,0.039,0.01,0.0,0.0
561059876.803,58404.472,2178.0,0.052,0.006,0.002,0.001
561265999.498,58406.131,674.0,0.033,0.008,0.002,0.002
561466518.501,58408.453,554.0,0.032,0.008,0.0,0.0
561599309.022,58409.985,1369.0,0.021,0.004,0.003,0.002
561805173.901,58412.372,524.0,0.037,0.009,0.002,0.002
561937731.963,58413.9,1680.0,0.033,0.005,0.002,0.001
562115300.16,58415.961,669.0,0.039,0.008,0.002,0.002
562133009.768,58416.167,532.0,0.032,0.01,0.003,0.003
562345955.442,58417.362,494.0,0.026,0.008,0.0,0.0
562236229.523,58417.828,1923.0,0.06,0.006,0.002,0.001
562278769.637,58418.631,519.0,0.042,0.01,0.0,0.0
562477384.324,58420.152,584.0,0.063,0.013,0.003,0.003
562625979.976,58421.815,1913.0,0.032,0.005,0.0,0.0
562769895.023,58423.537,679.0,0.055,0.014,0.015,0.007
562899060.371,58425.007,2033.0,0.059,0.006,0.004,0.002
563027932.286,58426.525,487.0,0.064,0.014,0.003,0.003
563096705.499,58427.32,577.0,0.052,0.014,0.008,0.006
563228651.219,58428.847,689.0,0.081,0.012,0.007,0.003
563315333.395,58429.849,842.0,0.039,0.009,0.002,0.002
563332211.92,58430.046,684.0,0.054,0.01,0.008,0.004
563458307.9,58431.505,614.0,0.068,0.011,0.004,0.003
