focal0	Venus0	treatment	plate	focal96	venus96	focal_f	venus_f	r_f	r_v	w_ma	r_anc	w_anc	stma	stanc	s	st	rel	rel_unscaled	line	line2	gen	anc	rep	type	genic	exonic	intronic	intergenic	utr5	utr3	fold0	fold4	fold2	fold3	CDS	nonsynonymous	nonsense	SNP	indel
889	112	0	A	19570	46823	195700	468230	0.05619001	0.086856417	-0.030666407	0.059106246	-0.027750171	-0.359629233	-0.325430124	0.002916236	0.034199108	0.965800892	0.997083764	1373anc	1373_1	0	1373	1	anc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
498	219	0	A	11278	49990	112780	499900	0.056485357	0.080553038	-0.024067681	0.059106246	-0.021446792	-0.282245052	-0.251509518	0.002620889	0.030735534	0.969264466	0.997379111	1373anc	1373_2	0	1373	1	anc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
293	130	0	A	14521	29416	145210	294160	0.064643371	0.080461924	-0.015818552	0.059106246	-0.021355678	-0.185506367	-0.250441009	-0.005537126	-0.064934642	1.064934642	1.005537126	1373anc	1373_3	0	1373	1	anc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
229	356	0	B	4284	60446	42840	604460	0.054494849	0.077470417	-0.022975568	0.054494849	-0.022975568	-0.292237713	-0.292237713	0	0	1	1	1373anc	1373_4	0	1373	1	anc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
385	1048	0	C	4986	89999	49860	899990	0.050663865	0.070369792	-0.019705928	0.050663865	-0.019705928	-0.26960257	-0.26960257	0	0	1	1	1373anc	1373_5	0	1373	1	anc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
454	124	0	D	3435	22355	34350	223550	0.045065209	0.078094884	-0.033029674	0.045065209	-0.033029674	-0.508028827	-0.508028827	0	0	1	1	1373anc	1373_6	0	1373	1	anc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
138	98	0	A	11161	44396	111610	443960	0.069744919	0.08769294	-0.017948021	0.059106246	-0.028586695	-0.210478944	-0.33524015	-0.010638673	-0.124761205	1.124761205	1.010638673	1373L1	1373L1	770.7047291	1373	1	ma	114	66	48	11	7	22	25	6	6	0	37	26	2	102	23
12	179	0	A	423	55876	4230	558760	0.061094277	0.083813433	-0.022719155	0.059106246	-0.024707187	-0.266430699	-0.289744621	-0.001988032	-0.023313922	1.023313922	1.001988032	1373L10	1373L10	629.8660652	1373	1	ma	161	95	67	14	7	27	33	20	8	0	61	36	3	155	20
1296	729	0	B	2293	36930	22930	369300	0.029928786	0.06487178	-0.034942994	0.054494849	-0.010376931	-0.444457371	-0.13198936	0.024566063	0.312468012	0.687531988	0.975433937	1373L11	1373L11	750.5657704	1373	1	ma	145	103	42	13	4	41	37	9	10	2	58	40	5	132	26
692	159	0	A	19118	31402	191180	314020	0.058556091	0.079044872	-0.020488782	0.059106246	-0.019938627	-0.240274797	-0.233823052	0.000550155	0.006451744	0.993548256	0.999449845	1373L13	1373L13	773.4792046	1373	1	ma	198	117	81	17	12	36	44	14	10	1	69	47	3	208	7
384	464	0	B	2302	72530	23020	725300	0.042640376	0.076608918	-0.033968541	0.054494849	-0.022114068	-0.432062826	-0.281279871	0.011854473	0.150782955	0.849217045	0.988145527	1373L14	1373L14	732.1518826	1373	1	ma	132	80	53	27	6	42	22	8	2	0	32	22	3	116	43
479	243	0	A	9771	35494	97710	354940	0.055396444	0.075902527	-0.020506083	0.059106246	-0.016796281	-0.240477697	-0.19697233	0.003709802	0.043505367	0.956494633	0.996290198	1373L15	1373L15	198.0432606	1373	1	ma	5	2	3	2	0	2	0	0	0	0	0	0	0	2	5
512	206	0	A	21729	45742	217290	457420	0.063027745	0.080265428	-0.017237683	0.059106246	-0.021159183	-0.202148714	-0.248136682	-0.003921499	-0.045987968	1.045987968	1.003921499	1373L2	1373L2	683.3994287	1373	1	ma	211	138	73	23	10	57	42	16	12	2	72	49	1	220	14
413	294	0	D	1203	23174	12030	231740	0.035121992	0.069476996	-0.034355004	0.045065209	-0.024411786	-0.528413698	-0.375477246	0.009943218	0.152936452	0.847063548	0.990056782	1373L3	1373L3	677.8495255	1373	1	ma	123	75	48	17	5	22	34	1	13	1	49	41	3	129	11
705	97	0	A	4185	42501	41850	425010	0.042538013	0.087345385	-0.044807372	0.059106246	-0.02823914	-0.525462296	-0.331164325	0.016568233	0.194297971	0.805702029	0.983431767	1373L4	1373L4	689.0099188	1373	1	ma	72	47	25	7	2	25	14	2	4	0	20	17	2	71	8
372	98	0	A	14134	49661	141340	496610	0.06187531	0.088860342	-0.026985032	0.059106246	-0.029754096	-0.316457228	-0.34893043	-0.002769064	-0.032473202	1.032473202	1.002769064	1373L5	1373L5	693.415255	1373	1	ma	158	98	60	13	6	39	34	12	7	0	53	35	2	155	16
949	257	0	D	2111	26224	21110	262240	0.032313472	0.072166035	-0.039852562	0.045065209	-0.027100825	-0.612971547	-0.416837307	0.012751737	0.19613424	0.80386576	0.987248263	1373L6	1373L6	748.9369019	1373	1	ma	154	87	67	15	6	36	28	9	8	0	45	31	1	152	17
814	186	0	B	3896	36928	38960	369280	0.040295108	0.079099623	-0.038804514	0.054494849	-0.024604773	-0.493573983	-0.312960391	0.014199741	0.180613592	0.819386408	0.985800259	1373L7	1373L7	766.3732615	1373	1	ma	119	82	39	18	4	33	28	11	7	0	46	27	4	114	23
216	232	0	B	1914	47178	19140	471780	0.046711013	0.079349278	-0.032638265	0.054494849	-0.024854429	-0.415142377	-0.316135881	0.007783836	0.099006496	0.900993504	0.992216164	1373L8	1373L8	724.7115706	1373	1	ma	159	108	52	10	5	30	49	15	9	0	73	53	2	154	15
1005	261	0	A	5691	22021	56910	220210	0.042046703	0.070185589	-0.028138885	0.042046703	-0.028138885	-0.463874391	-0.463874391	0	0	1	1	1952anc	1952_1	0	1952	1	anc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1183	586	0	B	10420	18287	104200	182870	0.046648527	0.059825115	-0.013176588	0.056552875	-0.00327224	-0.161500453	-0.040106602	0.009904349	0.121393851	0.878606149	0.990095651	1952anc	1952_2	0	1952	1	anc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
370	374	0	B	21825	19827	218250	198270	0.066457224	0.065345096	0.001112128	0.056552875	-0.008792221	0.013630927	-0.107762923	-0.009904349	-0.12139385	1.12139385	1.009904349	1952anc	1952_3	0	1952	1	anc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
