Brood_ID,Year,Block,Initiation,Species,Treatment,Brood_size,Site,Nest,Feeding_rate,PC_feeding_rate,Nestling_origin,BirdID,Nestling_age,Measure_time,Age_full,Mass,Time,Baseline_CORT,Induced_CORT
2015SF1428,2015,1,123,TRES,enlarged,8,SF,1428,17,2.125,natal,2015SF14281natal,2,1437,2.1,2.77,,,
2015SF1428,2015,1,123,TRES,enlarged,8,SF,1428,17,2.125,natal,2015SF14281natal,5,1243,5.02,11.43,,,
2015SF1428,2015,1,123,TRES,enlarged,8,SF,1428,17,2.125,natal,2015SF14281natal,8,1243,8.02,18.19,,,
2015SF1428,2015,1,123,TRES,enlarged,8,SF,1428,17,2.125,natal,2015SF14281natal,11,1243,11.02,13.2,,,
2015SF1428,2015,1,123,TRES,enlarged,7,SF,1428,17,2.125,natal,2015SF14281natal,14,1431,14.1,16.35,,,
2015SF1428,2015,1,123,TRES,enlarged,8,SF,1428,17,2.125,natal,2015SF14282natal,3,1437,3.1,4.53,,,
2015SF1428,2015,1,123,TRES,enlarged,8,SF,1428,17,2.125,natal,2015SF14282natal,6,1243,6.02,12.53,,,
2015SF1428,2015,1,123,TRES,enlarged,8,SF,1428,17,2.125,natal,2015SF14282natal,9,1243,9.02,22.12,,,
2015SF1428,2015,1,123,TRES,enlarged,8,SF,1428,17,2.125,natal,2015SF14282natal,12,1243,12.02,18,,,
2015SF1428,2015,1,123,TRES,enlarged,7,SF,1428,17,2.125,natal,2015SF14282natal,15,1431,15.1,20.84,,,
2015SF1428,2015,1,123,TRES,enlarged,8,SF,1428,17,2.125,natal,2015SF14283natal,3,1437,3.1,5.06,,,
2015SF1428,2015,1,123,TRES,enlarged,8,SF,1428,17,2.125,natal,2015SF14283natal,6,1243,6.02,17,,,
2015SF1428,2015,1,123,TRES,enlarged,8,SF,1428,17,2.125,natal,2015SF14283natal,9,1243,9.02,22.27,,,
2015SF1428,2015,1,123,TRES,enlarged,8,SF,1428,17,2.125,natal,2015SF14283natal,12,1243,12.02,19.2,,,
2015SF1428,2015,1,123,TRES,enlarged,7,SF,1428,17,2.125,natal,2015SF14283natal,15,1431,15.1,21.25,,,
2015SF1428,2015,1,123,TRES,enlarged,8,SF,1428,17,2.125,natal,2015SF14284natal,3,1437,3.1,3.45,,,
2015SF1428,2015,1,123,TRES,enlarged,8,SF,1428,17,2.125,natal,2015SF14284natal,6,1243,6.02,12.52,,,
2015SF1428,2015,1,123,TRES,enlarged,8,SF,1428,17,2.125,natal,2015SF14284natal,9,1243,9.02,18.85,,,
2015SF1428,2015,1,123,TRES,enlarged,8,SF,1428,17,2.125,natal,2015SF14284natal,12,1243,12.02,12.6,,,
2015SF1428,2015,1,123,TRES,enlarged,8,SF,1428,17,2.125,natal,2015SF14285natal,3,1437,3.1,4.02,,,
2015SF1428,2015,1,123,TRES,enlarged,8,SF,1428,17,2.125,natal,2015SF14285natal,6,1243,6.02,14.54,,,
2015SF1428,2015,1,123,TRES,enlarged,8,SF,1428,17,2.125,natal,2015SF14285natal,9,1243,9.02,20.35,,,
2015SF1428,2015,1,123,TRES,enlarged,8,SF,1428,17,2.125,natal,2015SF14285natal,12,1243,12.02,19.2,,,
2015SF1428,2015,1,123,TRES,enlarged,7,SF,1428,17,2.125,natal,2015SF14285natal,15,1431,15.1,18.38,83,4.3468,29.1659
2015SF1428,2015,1,123,TRES,enlarged,8,SF,1428,17,2.125,foster,2015SF14284foster,3,1437,3.1,3.55,,,
2015SF1428,2015,1,123,TRES,enlarged,8,SF,1428,17,2.125,foster,2015SF14284foster,6,1243,6.02,13.51,,,
2015SF1428,2015,1,123,TRES,enlarged,8,SF,1428,17,2.125,foster,2015SF14284foster,9,1243,9.02,20.49,,,
2015SF1428,2015,1,123,TRES,enlarged,8,SF,1428,17,2.125,foster,2015SF14284foster,12,1243,12.02,18.5,,,
2015SF1428,2015,1,123,TRES,enlarged,7,SF,1428,17,2.125,foster,2015SF14284foster,15,1431,15.1,21.11,163,17.5863,38.563
2015SF1428,2015,1,123,TRES,enlarged,8,SF,1428,17,2.125,foster,2015SF14285foster,3,1437,3.1,4.26,,,
2015SF1428,2015,1,123,TRES,enlarged,8,SF,1428,17,2.125,foster,2015SF14285foster,6,1243,6.02,14.58,,,
2015SF1428,2015,1,123,TRES,enlarged,8,SF,1428,17,2.125,foster,2015SF14285foster,9,1243,9.02,19.73,,,
2015SF1428,2015,1,123,TRES,enlarged,8,SF,1428,17,2.125,foster,2015SF14285foster,12,1243,12.02,6.6,,,
2015SF1428,2015,1,123,TRES,enlarged,7,SF,1428,17,2.125,foster,2015SF14285foster,15,1431,15.1,21.63,,,
2015SF1428,2015,1,123,TRES,enlarged,8,SF,1428,17,2.125,foster,2015SF14286foster,3,1437,3.1,3.42,,,
2015SF1428,2015,1,123,TRES,enlarged,8,SF,1428,17,2.125,foster,2015SF14286foster,6,1243,6.02,14.77,,,
2015SF1428,2015,1,123,TRES,enlarged,8,SF,1428,17,2.125,foster,2015SF14286foster,9,1243,9.02,19.85,,,
2015SF1428,2015,1,123,TRES,enlarged,8,SF,1428,17,2.125,foster,2015SF14286foster,12,1243,12.02,17.1,,,
2015SF1428,2015,1,123,TRES,enlarged,7,SF,1428,17,2.125,foster,2015SF14286foster,15,1431,15.1,22.62,,,
2015GR1028,2015,2,122,TRES,enlarged,8,GR,1028,22,3.1429,natal,2015GR10281natal,2,1503,2.13,3.59,,,
2015GR1028,2015,2,122,TRES,enlarged,8,GR,1028,22,3.1429,natal,2015GR10281natal,6,1243,6.02,10.45,,,
2015GR1028,2015,2,122,TRES,enlarged,7,GR,1028,22,3.1429,natal,2015GR10281natal,9,1243,9.02,10.77,,,
2015GR1028,2015,2,122,TRES,enlarged,8,GR,1028,22,3.1429,natal,2015GR10282natal,2,1503,2.13,3.78,,,
2015GR1028,2015,2,122,TRES,enlarged,8,GR,1028,22,3.1429,natal,2015GR10282natal,6,1243,6.02,12.23,,,
2015GR1028,2015,2,122,TRES,enlarged,7,GR,1028,22,3.1429,natal,2015GR10282natal,9,1243,9.02,18.07,,,
2015GR1028,2015,2,122,TRES,enlarged,7,GR,1028,22,3.1429,natal,2015GR10282natal,15,1323,15.05,15.26,,,
2015GR1028,2015,2,122,TRES,enlarged,8,GR,1028,22,3.1429,natal,2015GR10283natal,2,1503,2.13,4.13,,,
2015GR1028,2015,2,122,TRES,enlarged,8,GR,1028,22,3.1429,natal,2015GR10283natal,6,1243,6.02,13.13,,,
2015GR1028,2015,2,122,TRES,enlarged,7,GR,1028,22,3.1429,natal,2015GR10283natal,9,1243,9.02,19.05,,,
2015GR1028,2015,2,122,TRES,enlarged,7,GR,1028,22,3.1429,natal,2015GR10283natal,15,1323,15.05,19.85,,,
2015GR1028,2015,2,122,TRES,enlarged,8,GR,1028,22,3.1429,natal,2015GR10284natal,2,1503,2.13,4.41,,,
2015GR1028,2015,2,122,TRES,enlarged,8,GR,1028,22,3.1429,natal,2015GR10284natal,6,1243,6.02,14.69,,,
2015GR1028,2015,2,122,TRES,enlarged,7,GR,1028,22,3.1429,natal,2015GR10284natal,9,1243,9.02,18.77,,,
2015GR1028,2015,2,122,TRES,enlarged,7,GR,1028,22,3.1429,natal,2015GR10284natal,15,1323,15.05,19.99,67,6.5542,20.9957
2015GR1028,2015,2,122,TRES,enlarged,8,GR,1028,22,3.1429,natal,2015GR10285natal,2,1503,2.13,3.91,,,
2015GR1028,2015,2,122,TRES,enlarged,8,GR,1028,22,3.1429,natal,2015GR10285natal,5,1243,5.02,9.95,,,
2015GR1028,2015,2,122,TRES,enlarged,7,GR,1028,22,3.1429,natal,2015GR10285natal,14,1323,14.05,12.98,,,
2015GR1028,2015,2,122,TRES,enlarged,8,GR,1028,22,3.1429,foster,2015GR10284foster,2,1503,2.13,4.72,,,
2015GR1028,2015,2,122,TRES,enlarged,8,GR,1028,22,3.1429,foster,2015GR10284foster,6,1243,6.02,14.58,,,
2015GR1028,2015,2,122,TRES,enlarged,7,GR,1028,22,3.1429,foster,2015GR10284foster,9,1243,9.02,21.1,,,
2015GR1028,2015,2,122,TRES,enlarged,7,GR,1028,22,3.1429,foster,2015GR10284foster,15,1323,15.05,20.63,,,
2015GR1028,2015,2,122,TRES,enlarged,8,GR,1028,22,3.1429,foster,2015GR10285foster,2,1503,2.13,4.16,,,
2015GR1028,2015,2,122,TRES,enlarged,8,GR,1028,22,3.1429,foster,2015GR10285foster,6,1243,6.02,13.06,,,
