Brood_ID,Year,Block,Species,Treatment,Initiation,Avrg_Brood,Site,Nest,Fate,Avrg_Mass,Avrg_Baseline,Avrg_Induced,Feeding_Rate,PC_Feeding_Rate,Video_time,d9_Brood,Measure_time
2015SF1428,2015,1,TRES,enlarged,123,7.8,SF,1428,survived,20.97,10.96655,33.86445,17,2.125,,8,1431
2015GR1028,2015,2,TRES,enlarged,122,7.8,GR,1028,survived,19.49,6.09375,12.67925,22,3.1429,,7,1323
2015SF1462,2015,2,TRES,reduced,123,4,SF,1462,survived,21.3,5.8115,14.8085,11,2.75,,4,1114
2015GR1003,2015,3,TRES,reduced,126,4.2,GR,1003,survived,21.77,3.97795,24.06345,13,3.25,,4,1109
2015SF1489,2015,3,TRES,enlarged,126,4,SF,1489,survived,19.94,12.5396,35.03365,7,1.75,,4,1202
2015SF1407,2015,3,TRES,control,129,5.6,SF,1407,survived,21.14,9.7476,18.5894,13,2.1667,,6,
2015SF1458,2015,3,TRES,control,124,4,SF,1458,survived,20.49,3.712,17.3117,14,3.5,,4,
2015SF1417,2015,4,TRES,control,124,2,SF,1417,survived,22.57,5.65955,10.7737,12,6,1617,2,1357
2015SF1461,2015,4,TRES,control,125,4,SF,1461,survived,20.63,4.9229,10.5093,29,7.25,1631,4,1515
2015SF1482,2015,4,TRES,reduced,127,5,SF,1482,survived,21.68,5.4091,15.15995,4,0.8,,5,1230
2015SF1478,2015,4,TRES,enlarged,127,7.8,SF,1478,survived,15.99,19.86775,30.3626,26,3.25,,8,1255
2015SF1435,2015,4,TRES,enlarged,128,7.2,SF,1435,survived,17.16,11.3374,42.39645,18,2.5714,,7,1232
2015SF1402,2015,4,TRES,reduced,123,3,SF,1402,survived,21.33,6.1266,12.7813,27,9,,3,1330
2015GR1005,2015,5,TRES,enlarged,123,7.4,GR,1005,survived,15.72,,,21,2.625,,8,828
2015SF1479,2015,5,TRES,reduced,127,3,SF,1479,survived,20.33,6.0675,18.3956,21,7,,3,1208
2015SF1469,2015,5,TRES,control,132,5,SF,1469,survived,21.09,2.44295,8.6337,12,2.4,,5,1243
2015NCA16A,2015,5,TRES,control,132,5,NCA,16A,survived,18.335,5.17855,7.9975,12,2.4,,5,1035
